"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,12.804896859509375,13.460120797065123,16.684235751086973,13.03003928247825,14.519403314028446,11.556807753331569,11.237009197071055,16.707249810870387,11.486862360028196
[8.0-8.5),,,,,,,,,,15.968380175698007,13.502047428181815,13.068621260488325,12.082880152225021,11.567206007977601,11.356756427105466,12.210862317207287,15.944133134208046,10.746954344872059,11.690494536217635
[7.5-8.0),,,,,,,,,,17.125248853763317,18.002536909637573,15.641964399951547,12.043164710741625,13.869986043649867,13.763153932442538,12.791376198959044,10.704371894728988,9.41617854203906,9.293208681825497
[7.0-7.5),,,,,,,,,,15.3795715789451,14.154448697463327,11.563938892513132,12.591197133785242,16.926892141891223,13.46434856220717,13.46846855594575,11.79122661031073,11.550813083026533,10.91004872995502
[6.5-7.0),,,,,,,,,,14.947884773597512,13.687647387221922,12.617633086892818,15.999496116319479,23.846732509723413,11.415546843782556,18.157857943198294,13.293082758427735,11.527572474677678,9.902319580185097
[6.0-6.5),,,,,,,,,14.966440279804548,18.068755967582327,11.462509467630593,14.224765240861235,14.039640429684113,13.614166337857952,14.386977610245038,11.240795680999584,11.071189904529511,12.262567376673594,10.95773451375906
[5.5-6.0),,,,,,,,,13.101892026976603,18.615013451730825,14.053031528876637,17.04948117632111,15.883291536365888,11.929685245727322,16.36452420767246,14.646683999556807,10.270611791327559,11.013000297030306,10.680844758655844
[5.0-5.5),,,,,,,,12.950295211769427,14.983469731683352,13.57902100139777,12.591335514444673,19.249403077168463,16.921589216759777,11.804824695662717,15.567730703293169,12.116061622146553,10.238555361205602,14.041003328265482,8.755965093248784
[4.5-5.0),,,,,,,,19.99564600002462,12.963043521386583,16.872765263174294,16.010538191829852,15.005897174938106,11.508192857991885,13.460753198513823,13.626454149784074,10.938127475038323,10.20419478210225,11.157604715167295,9.137320844086043
[4.0-4.5),,,,,,,13.689906183733228,15.985021605499506,14.718845330750487,11.998581708154918,13.045440955482984,13.265321754315883,13.521421325251534,10.24227841588053,11.436384445932905,13.80601231162819,12.810046872267986,10.978214756702497,12.400922407023765
[3.5-4.0),,,,,,15.016028962631149,15.654505684768795,12.558995914881699,14.14502505604873,13.814168333795955,16.23030427715096,15.148899160893484,13.118174289952067,11.87789207367313,14.955897437381003,11.285853666503153,13.700632567705426,11.378809075572981,9.633059643561205
[3.0-3.5),,,,,,20.973185597485855,19.199866144620575,11.753408885918398,13.2366232218287,16.22558161903557,13.339576896957155,14.34042939426798,14.817208949471244,12.064851369355827,11.26328611601218,13.787836095755491,11.792383030962842,12.33522992425067,10.069808888009732
[2.5-3.0),,,,,,15.297822132945324,12.743598578549381,15.919480942181155,15.36284142932538,15.126916795329082,15.52280009381151,12.82752514839277,13.982244053157794,12.230310496971065,14.624006464825298,11.796229555183812,11.153999552123505,12.156382858860134,9.260422600896966
[2.0-2.5),,,,,16.76235214278206,12.619335425713283,14.58513844797902,13.757639378104082,15.324234939487754,12.094914047236397,14.474569752513018,14.38838265152142,13.513581891449041,11.164338131119944,13.325237515342222,13.01103461620524,12.123114337803957,12.108092663227296,9.054652203104961
[1.5-2.0),,,,14.461873093755537,15.287952839830018,15.13516459182427,14.857708693500914,15.293960874519081,13.074350386932895,15.530563084047735,11.621028500038376,12.514977335699056,15.445181744291515,12.874739974127841,11.468467580281978,11.745938307118248,10.711182821361351,9.53490892011368,10.287735726936884
[1.0-1.5),,,14.826790511285449,15.426945687694342,15.950511564519243,12.467849019738516,14.079675904710882,13.51038104122114,20.00622158545215,15.067297029792622,13.408520041919555,14.379735225405668,18.258263263203606,13.76116153910101,15.482157399675406,12.364452333658098,10.590352964598152,11.149670833320814,12.208336686685048
[0.5-1.0),,18.442406288181466,14.419514348646244,16.447545343035916,15.851933047545833,19.679022337102317,13.892774220626505,14.253854298155222,16.092147291081645,12.857186144601004,13.254140233294564,14.45327065874297,15.536073645178682,12.465611323372817,14.753490172990814,12.59156491306083,10.776831440827806,9.233805133982772,12.511807694431432
[0.0-0.5),17.646153187559285,15.322919674874234,14.342196622154633,12.14443350712717,18.37968685160792,12.843601506425928,14.418955728921935,13.177378600565044,17.238162967201003,14.132562066746608,18.06042404956329,16.101980237979024,12.726893202233182,14.177056760093125,13.772765324514063,10.727138362366182,12.529185608406767,9.47331456595974,10.80223929483593
