"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Average [N·m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,73152.87449879643,61613.23426289057,52696.121251514305,46294.70338122378,39994.10156313998,35085.06198143557,28368.09066457151,26822.569198554025,25383.389759452035
[8.0-8.5),,,,,,,,,,81783.17329291409,69088.3078311292,59138.36849396874,50510.448522323546,43770.39113897663,38017.55356675301,33227.34163739306,26531.86864256873,25364.921202516107,23866.044084734647
[7.5-8.0),,,,,,,,,,76764.67846049246,64585.117183402595,54970.02899817612,47304.957277399626,41211.705944237445,35703.113704965785,31257.342559706474,25231.704329331365,23906.957307271052,22395.41254557854
[7.0-7.5),,,,,,,,,,71791.9558296038,62115.52754863884,52858.93861766924,44718.83825276415,38224.12397072285,33222.123820426044,29146.133085995087,23623.381543408814,22406.41224769713,21107.17737609054
[6.5-7.0),,,,,,,,,,67379.00275650591,57283.167151613285,48834.656885023476,41452.324658386075,35897.33356595243,31249.896581308465,26982.339178952603,21977.38463874783,20769.760514378817,19719.969289852426
[6.0-6.5),,,,,,,,,76575.73083015688,63598.53859435176,53761.29816585142,45465.67935351903,38648.72434961395,33644.98418358008,28966.670362509754,25240.227451416275,20423.421880475227,19301.171337796648,18199.822163112305
[5.5-6.0),,,,,,,,,70646.22390228098,58558.126235121395,48789.30789248231,42032.67110398489,36111.91761420864,31057.016591903764,26768.90125550815,23197.015385166338,18850.543335421917,17817.886837015787,16854.116456381733
[5.0-5.5),,,,,,,,81741.64819089093,64599.85737552373,53592.224071538796,45270.92458279588,38169.03046410233,32471.421251372954,28315.100043179387,24321.14934110699,21159.506084846955,17273.306246356617,16324.096258004138,15377.401706433651
[4.5-5.0),,,,,,,,74087.1266196553,58778.6134797333,48425.47470808534,40953.10546593553,34861.43626083097,29836.56172754969,25492.026342295314,22349.033036052922,19260.102815700455,15558.730594764851,14795.991183446657,13875.239702881088
[4.0-4.5),,,,,,,83219.23817523076,67029.48242274087,53453.41111371417,44174.10365812712,36994.65380286093,31223.692575056997,26497.85995819134,23171.01369738183,19929.11838633631,17248.55309465803,14004.507830313209,13198.440895859972,12491.928310062083
[3.5-4.0),,,,,,89123.08467048492,73596.03922035357,59394.5543355075,46913.8818714116,39551.72601288984,32862.396598525105,27508.57500605031,23630.585845194382,20253.567982630462,17530.70465808082,15247.979005474954,12458.36003816331,11710.660917069603,11036.838973723654
[3.0-3.5),,,,,,78325.19786288425,64987.5550472577,52578.88616588542,41641.565641869456,34322.12440682303,28458.68982242479,24097.544134152056,20693.61169985085,17665.23516479003,15152.578510872325,13302.370074800869,10798.070154581992,10233.743504088752,9552.927069007932
[2.5-3.0),,,,,,66071.43482167867,55111.7598432735,44503.032779259265,35214.36208566411,28950.99644793631,24314.974050586894,20623.02263926628,17483.40562433299,15062.381764172733,12922.690818297808,11226.013673897289,9128.471690140417,8602.468642304946,8126.977437737829
[2.0-2.5),,,,,66463.01824258822,54621.87708652895,44948.12351731181,36607.698718433545,29238.218830117952,23901.378463101097,20025.755797773665,16790.900949357496,14371.70870231016,12401.822562607585,10617.030243727486,9186.520596587767,7488.279839136782,7071.875528079672,6658.688221560886
[1.5-2.0),,,,58749.91322378899,51987.356393157344,42899.946903158336,34793.610149660126,28819.040008327316,23012.322224571537,18798.517868311494,15670.250206791798,13149.38411406966,11138.260759924413,9617.298136446949,8303.189597286533,7201.556246843219,5880.7616238339415,5542.296845291506,5166.312456486691
[1.0-1.5),,,41760.43630613204,42772.717141924215,38216.830481466124,31881.889392409874,26187.596769421536,20630.16270304156,16242.23859662197,13474.680150442991,11374.585357217655,9520.641539591852,8022.204419294278,6865.253669548132,5960.296545245144,5172.4877530131635,4194.591543769601,3934.3908841185353,3704.31354969573
[0.5-1.0),,14854.929525554146,25264.370248218762,25779.64021070624,22938.23037894948,19061.698544158397,15580.240199250944,12671.326856727286,9750.945537750249,8133.966482526386,6774.500911333684,5711.517624376978,4823.143766692972,4172.836775145873,3603.1098501786387,3104.5616564217166,2525.7717778954748,2372.535281139914,2219.526210019944
[0.0-0.5),1242.0624286390225,4856.50472524889,8758.664948378973,8989.363996453594,7964.9500122220725,6541.605921660026,5257.450619330615,4222.803490614441,3318.1928730530367,2739.4057386265004,2266.984076386081,1908.5879622654218,1608.4567590474664,1393.6746258217897,1193.881690236768,1041.9544713839746,845.4387524514078,793.8920628507843,743.9314258783377
