"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Maximum [N·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,64216.84684765372,65723.12935840774,51639.15868331955,42761.28150082751,28563.469776677746,22852.13620803611,24196.788295497547,29989.215554464583,20303.362715066654,17440.679953533454,16157.839547318288,12566.832888971778
[8.0-8.5),,,,,,,,,,80285.81384801731,60298.840820291836,49111.22242113825,45768.23627306836,35894.62643916602,22770.30404402247,20764.89957984679,24930.149236224646,22124.87888662156,20914.822780136856,16721.563146352666,14267.935570909875,14964.459948678817
[7.5-8.0),,,,,,,,,,81728.4266662431,63784.70448975997,55052.699475526395,41532.082655165024,35708.031146434514,22264.384847425736,21179.563509534455,21488.267500770064,19164.29541247569,16773.699738609506,15121.332851466997,14283.45107048058,12394.729593273558
[7.0-7.5),,,,,,,,,,66890.97897302643,49230.62495199749,46321.1197274083,41955.10593136103,34066.81010791051,21244.58439825631,19248.42009644256,20370.250454237463,17980.270956237306,16376.492950353264,13665.64121370044,13085.870039213101,11404.513220099176
[6.5-7.0),,,,,,,,,,64550.92927718649,51174.701756930786,43914.521638879676,41576.113075555164,39720.175188918765,18264.96836721222,24221.62990682742,18731.34266300564,17868.44341169722,16053.274722521488,13215.068076137966,11667.834587831243,10824.855936474189
[6.0-6.5),,,,,,,,,72755.82668445421,61425.14363211351,47787.100792610356,40743.148205143705,35472.381144273706,30052.622830777967,17607.723415789485,16907.97399712914,16687.970641149663,17516.85088224264,14570.886886873188,12054.215449785153,10739.945192802128,9964.176663759557
[5.5-6.0),,,,,,,,,73892.91306701212,66757.14928220797,42440.600547592774,38595.25742261632,34627.55938791251,26465.95682946089,18603.406134296605,15718.192253609843,14663.968018171328,15589.064295371663,12745.309751975823,12003.027887932645,9897.646503100592,10827.749826782076
[5.0-5.5),,,,,,,,78910.6954989664,58423.990526735266,50243.63944238096,38720.04173514004,37186.23834459379,30111.1308145236,23630.455550845556,15015.409804898518,15414.881338316956,13711.477487783284,14530.556961899192,11475.485765000894,11265.957942035264,9652.246699494814,8815.50196347867
[4.5-5.0),,,,,,,,91056.13943383149,61528.33578652174,47579.475149429985,38587.37212478644,26193.41194044526,24308.040184886184,21582.65883080428,12682.45650758032,12262.12338405096,12111.41162634287,12449.339336005947,10447.190882120243,10809.503194745377,8367.116498248635,7458.614520925571
[4.0-4.5),,,,,,,81156.15613877635,73107.7194789502,49806.06612419951,44715.51618814707,30141.65566511725,28690.34235575794,23564.08708181176,18115.460379491327,12025.729861567814,12665.655367947009,11787.530127984204,10888.942288083717,10160.171948078018,9184.293716544518,7533.48605667288,6661.500439810107
[3.5-4.0),,,,,,97072.35533351985,86803.84172182804,56479.16042428707,45600.77621741356,38757.967290300505,29782.412124991937,22953.636436400106,21237.85632282119,15857.505056729606,10773.062775125753,9543.698293719299,10803.78297262097,10528.332030314948,8213.806337275071,7599.112925667976,6867.851243842446,6315.453480128679
[3.0-3.5),,,,,,87380.97908523493,72267.2608211535,50117.88571352867,36629.479149180486,35932.669953282275,24816.867799342916,21215.909335656324,17781.01605516745,15890.650430081612,8184.190728389393,9574.798187819968,9083.822057487023,8388.05304578261,7031.48070902523,6156.9119606458735,6110.686038993119,5007.748421376199
[2.5-3.0),,,,,,75224.12981146615,61018.35439661525,44277.41021678604,36038.02637134308,30760.898915462774,21973.439126227328,16683.632352734472,16017.864443640585,13323.807052274,8514.361523515512,7549.265202298733,7445.610973484832,7313.21217361697,5992.928100256993,5755.730680674892,4883.090218661762,4191.052754149194
[2.0-2.5),,,,,76019.95696244028,58914.08996619207,45323.827504168396,35974.306761173975,29370.833873775526,20286.704311572943,16966.9472227159,12797.471557252888,12582.823949017953,10236.815030224847,6367.870197779531,6359.188055367324,6281.963529047252,6138.828877221154,4844.761568567629,4880.989847046645,4041.6082715956068,3651.825894177843
[1.5-2.0),,,,86874.19536223762,66548.70297035784,50262.85773304195,35323.85074726857,35466.703908172174,19944.93891475957,18208.997182941024,12810.674593522856,10479.909622818946,10045.172707247171,8015.111815853542,4973.869637202025,4705.744167619167,4484.860844550499,4775.368190782097,4084.9179610400106,3715.5771981130038,3217.439401588857,2942.386880591823
[1.0-1.5),,,67574.37486471517,55733.461730662355,43305.23758062302,30356.966581330424,25306.372403270252,19751.932201060503,17008.197585375525,12130.125315161578,10110.558237051735,8499.271417829335,7213.193497775432,6536.103536621111,3938.5998813112337,3377.4626582638375,3293.0993596074436,3351.6463658087177,2945.84548757125,2441.1690162999657,2346.4681256997333,2112.6383477390527
[0.5-1.0),,38654.77874043659,43948.174414225185,33512.51843931725,30253.12928249815,24572.302235983047,15698.779884946114,12261.297098250723,10100.76681876914,6850.4711192099385,5514.21172194217,4927.157811970086,4261.034366658892,3185.5171903110327,2185.865792902236,2129.28478940253,2051.4533740093834,1823.8521605852886,1820.0531977508995,1446.319367604687,1397.4086406744711,1246.7471418058226
[0.0-0.5),6619.446093259259,13784.75314547783,16566.206025201944,11245.657322585059,9910.76756657842,7085.832043385571,5906.509205659074,4237.961567373542,3273.487210155529,2627.8915922084975,1883.8523083141558,1745.7502543109001,1401.8453359526113,1093.558774071314,786.9370672859365,681.877640980453,713.5061958851634,629.8429761704123,578.0851953911919,497.00030504622634,477.9376973569133,360.82287116149325
