"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,11713.83399194188,10824.996649692524,12553.667610751996,9317.935564701202,10251.32596229632,16517.72550397155,8698.584381226156,8941.856549264172,10607.289230114977
[8.0-8.5),,,,,,,,,,16481.496157284873,11924.986730998133,10666.010981999725,10226.696311013515,10712.02008865085,9667.486080790772,8456.476771869253,7520.057168139942,12020.169523752582,7651.432930862309
[7.5-8.0),,,,,,,,,,12140.645214150587,8887.142572430084,9070.165990348822,8585.949109333993,10176.7435968579,11737.943955845543,9156.907534164033,8543.442458851234,7701.500309911065,7155.258486325249
[7.0-7.5),,,,,,,,,,9280.217912722897,8493.26808783719,10511.379131959591,8943.326467719562,7556.431211486113,10870.960060833431,8221.334657601057,8653.333282992517,9206.864120911936,6785.058633574334
[6.5-7.0),,,,,,,,,,11175.784837870384,8749.65384267413,9318.659223755347,8998.384185037079,8935.771380652124,7812.670313375852,6752.572001186747,6057.751012807026,7191.797507833677,5831.336188075519
[6.0-6.5),,,,,,,,,8077.479468064885,7760.723485404296,8118.600042852327,8485.627593174775,7682.174197717493,7691.690486537758,9504.236997401198,6464.757733345074,5412.375507307068,5943.4656125266465,6741.6061779726415
[5.5-6.0),,,,,,,,,7839.973584703188,8001.323864879909,7833.63613268669,6713.09779968433,6157.767141033692,7596.200033215302,7479.201221046416,5420.532022631554,5545.175402150886,5983.025687466875,6386.8838010798645
[5.0-5.5),,,,,,,,6954.766797766057,7740.549480190979,6423.719869403677,7284.837295388621,6136.712786015682,6656.399788401008,5475.886008552401,5394.611214091732,6437.168633249449,4360.502830900862,5014.827445436653,4366.081009079596
[4.5-5.0),,,,,,,,7494.411844141507,6651.336645222456,6844.975435425871,5815.382872641064,5479.4091929882525,6599.345527815009,5654.0381258652615,4958.005701869792,4757.349999373924,4025.5584214485125,3812.593301201859,4194.279062453193
[4.0-4.5),,,,,,,5132.75854570382,5520.252515826001,5589.379452696172,4599.946083247905,4596.755148899873,5050.101102398263,4887.937071148475,4016.6379260174094,4594.778702660791,4052.0714475999366,3722.80682890473,4009.97551903048,3451.5161820353446
[3.5-4.0),,,,,,5215.994248115759,4894.881339229204,4567.305878990004,4284.993785368218,4573.948877369107,4399.830557145446,3921.7249140094946,3872.979386943041,4576.048123574386,3725.987742586421,4311.091979148442,3389.2735642316907,3905.91102943479,3332.5434752454207
[3.0-3.5),,,,,,3454.4619667123084,3401.1226403641867,3553.217284651439,3605.654981923929,3532.7557554305668,3096.267445614916,3211.3963018142113,3175.258942395829,3196.504036772766,2982.851596525481,3278.4433735333355,3197.4545165837635,2618.402454086589,2626.088333340667
[2.5-3.0),,,,,,2848.722354651229,2463.016205518143,2887.429277850162,3168.696053554681,3779.3363579337542,2587.975312442294,2698.011680929516,2918.5586293750794,3071.5617598518998,3206.1870491843033,2784.9500159191543,2656.485052969737,2723.977318004594,2529.021665298789
[2.0-2.5),,,,,1658.6229058839206,2199.5496039032623,2344.650238783058,1654.4483214161537,2265.265590707158,2558.359099732244,2607.2649027378056,2263.71383181752,2008.3322550316743,2571.009298484717,2231.0891495566857,2166.539823520018,2242.8704340683034,1956.685654377657,2030.7719090544103
[1.5-2.0),,,,1396.7179006026831,1339.7615952631486,1188.1743277431347,1190.4710229258926,1605.6563634008987,1330.9268178015052,1657.854988941769,1452.4054192021117,1458.4145829951892,1720.2207730308355,1784.4654545712024,1494.0892433846377,1724.1317998716836,1266.8374547828182,1290.9055816718487,1509.6582797220426
[1.0-1.5),,,852.6668603701255,648.5553010875464,808.4495567524041,962.1263103293929,756.2206956449255,771.8627783527172,758.788020116156,888.3891989021008,851.050001130473,962.7783755719878,1223.3287347355165,980.288430323526,1070.272549522101,1012.2260428897707,1006.0294900337444,1086.4488998631937,872.4451026679321
[0.5-1.0),,215.36415135853395,255.452046209898,403.8175456671137,383.9026323691958,316.1266582252156,402.60456394649725,308.325058630368,385.58982812400467,364.3845648158419,401.2351304623119,548.9640291049848,534.5333379416647,520.5300031685985,569.7718116920721,644.3110425757682,587.8664881796669,517.9140881000574,541.6340972158348
[0.0-0.5),104.98999432127367,118.62080912134252,151.266241614273,158.19204903038704,173.26543533096117,203.37136592475434,244.41746809431052,208.99919928559189,228.0424118261501,228.1269580961423,219.62586140940343,265.28118638259696,242.95897055991924,218.65403778276948,208.83075248271365,204.77799948016133,246.45258348479422,220.1194409724185,210.7893380660699
