"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,23253.298724086246,21291.928544300754,18317.458161294428,19359.39901894166,18575.901440318175,18098.737592579866,14733.624972749032,15281.117013139881,14768.453069238718
[8.0-8.5),,,,,,,,,,24541.744862661584,21773.41996069404,19977.460308049118,17485.335891170176,17592.330697852678,15987.92964136722,14896.082451862061,13978.909868415756,14183.181228367488,12363.139003991186
[7.5-8.0),,,,,,,,,,19685.323815764037,18558.9702171308,17323.93392923188,16430.86747362888,14092.661407421489,13591.95719092257,13092.123757171075,12786.857874716954,12352.978794576327,10345.971133046705
[7.0-7.5),,,,,,,,,,17429.833835311427,15581.406565287025,14498.584351802778,13848.124985037683,12291.272163915099,11977.140818728622,11485.41829446349,10917.541455223334,10593.31352298914,8981.030312091156
[6.5-7.0),,,,,,,,,,14892.765643236777,14032.770315727117,12859.508821869907,12378.439374333371,11019.188111001404,11190.759369967516,10329.275616482768,10179.440357055766,8887.355565540965,8015.6714949908355
[6.0-6.5),,,,,,,,,14810.680244042713,13013.336878145634,12261.678967187137,11183.61285482519,10649.70668740669,10751.023219775754,9280.1237578045,8905.35967169147,7979.561842512678,7556.99764152461,7555.307291223114
[5.5-6.0),,,,,,,,,12813.934192851564,12073.029282409247,10495.435459454466,9267.882378701093,8769.703829252356,8266.57440835473,7745.021738675827,7298.496027707841,6686.4044350622535,6551.124396320623,6299.044036409362
[5.0-5.5),,,,,,,,11435.43462812607,10336.673862619975,9379.336733774511,8740.354842253562,7753.065911394987,7229.837538189487,6505.693451843403,6463.376104433373,5663.0900194617625,5306.439452501581,5649.20356052501,5093.119849420195
[4.5-5.0),,,,,,,,9572.659377514621,8501.485677913439,7423.2031599246475,6911.635361902687,6677.1732422409505,5972.715909469715,5782.042196555231,5433.879693852325,4704.982051240345,4668.724588198265,4281.02628145099,4171.445047072256
[4.0-4.5),,,,,,,8204.181299042864,7435.0016880631965,7134.357086705116,6364.460330947008,5586.591257743954,5324.807141110657,4968.474107474723,4560.872936474227,4331.001752639109,3988.073117243974,3859.7359888931,3516.394874850873,3591.8620187387864
[3.5-4.0),,,,,,7300.615420886124,6642.0340664582645,5740.515926437752,5254.068603109381,5077.707381432909,4503.462692884714,4060.1176324161024,3729.0089544238617,3730.250020124854,3156.5258878024238,3342.149135988001,3033.2477484938668,2674.2542206470343,2812.3651108979707
[3.0-3.5),,,,,,5443.618831172964,5002.890546005849,4411.715148531705,3877.5540853631487,3563.4569650806357,3266.9405260607878,3049.189362540479,2913.3013268029404,2656.7358640393218,2485.6938496866237,2379.7810345313474,2332.343119769724,2018.3479639059844,1791.9335807310665
[2.5-3.0),,,,,,3905.0199266662203,3603.2811346493627,3258.1379393620427,3043.302445782671,2606.6802532789457,2458.0972865435906,2169.162500147811,2118.038258444847,1895.5994917290625,1761.2335267014787,1615.4370809108677,1627.6129009871456,1404.0097195016974,1468.12213957297
[2.0-2.5),,,,,2953.582769707117,2643.123247409193,2452.54216585203,2147.9150363973476,1952.6271016602086,1892.630586090298,1671.6619945373095,1548.433358715416,1375.6355336976512,1208.170177097837,1194.997490070657,1112.0470028721168,1019.7675696059936,949.0077231971519,982.7043086444319
[1.5-2.0),,,,1991.8498147740277,1830.3913894564705,1634.7502802681388,1460.3477315380014,1344.2509017585814,1242.809299841067,1090.1315862834304,993.6056981501144,855.2260375256329,859.9127824872623,780.3809067159491,746.8508171851331,682.7318021693844,665.848823962548,615.3217393265523,561.609340569834
[1.0-1.5),,,1067.9026333600648,1041.2534112856306,951.1189777760028,846.1727474393034,750.7821361200937,703.0244886446269,606.9891820344773,553.0463709589369,508.79404300151856,475.3486833400187,468.1244882603743,404.70115899453174,376.9239776960086,372.2824402226947,339.7696443593353,322.35390590447884,290.38235043178554
[0.5-1.0),,329.41054276927974,405.89637476277676,391.68357511851957,353.9305512694598,312.7708449395247,278.35982559177256,247.37641088416817,231.27313161707005,206.3122998585778,185.00329983809735,180.29082761321425,166.2003926553033,150.10170275211263,133.99401585104548,137.40038393136473,128.15734294633899,112.99951291821777,107.45566853068797
[0.0-0.5),15.16160430303467,39.80224004861432,47.75226263546892,46.107563488280256,40.868021872618385,35.73191367235282,31.364126234797084,28.127053113169254,27.06422997854208,23.204159876739382,20.6893970716722,17.86124244487321,17.39355965977145,15.856773158149732,16.41558445403759,13.928393717866555,13.963051701376509,12.298217633933548,12.470924531414243
