"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Maximum [m/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,5.080916660713968,4.295277140581036,4.092803953576887,4.383535620537389,3.7409602825137407,3.3924920823805733,3.4726921017260133,3.1990404224761626,3.1975430293775005
[8.0-8.5),,,,,,,,,,5.117919106007189,4.299910125742086,4.485599264481107,4.100587112488407,3.9202973094248277,3.4904192377786414,3.3057912362659994,3.1377531520260766,3.1986899465986496,3.4068337266049573
[7.5-8.0),,,,,,,,,,4.834864670912537,4.99897241613542,4.250525471134006,3.555136147913807,3.707208431736365,3.454027460157748,3.427984547819647,3.1993263004894046,3.404615472395705,2.9765358484652937
[7.0-7.5),,,,,,,,,,4.473653981896349,3.9028968862181292,4.092702485674952,3.942741836065357,4.305713320350175,3.3392840665708796,3.035571050969762,3.2356388047985876,2.736489487373702,3.107882926043232
[6.5-7.0),,,,,,,,,,4.079867352591169,4.156660873896364,4.042092069441679,3.5665301949127706,3.0804944941115364,3.37751601140351,3.0428693604229466,2.7149798581664646,2.76686202279139,2.6413284612501977
[6.0-6.5),,,,,,,,,4.7698800960032255,3.9682031214037536,3.5409515658187174,3.7191664649348324,3.7746425163590445,3.165652918889413,3.2532456060858284,2.7982680124796544,2.4412703515006466,2.3566464100404207,2.959419159140848
[5.5-6.0),,,,,,,,,3.8765528327447036,3.5989353994498288,3.996175250107403,3.2672892034246117,3.2694958867424435,3.30017512656819,3.437727626865375,2.890155458721452,2.426281021058087,2.4241352585549376,2.71666133514773
[5.0-5.5),,,,,,,,4.104800537769576,3.6333708619525247,3.3930115486895702,3.2441403002867553,3.3118398181756685,2.942961540459706,2.7360339485739233,2.4609953008542433,2.713206020720915,2.277006569861579,2.392612098641087,2.106345871220936
[4.5-5.0),,,,,,,,3.6114784740630097,4.210825889044134,3.306652403017577,3.205758531058212,2.705488781286223,2.5789109174316724,2.267883869518327,2.4264938221429966,2.449319217280058,2.044376615040804,2.231599952931234,2.633489964772133
[4.0-4.5),,,,,,,3.657644265943639,3.7114964675790194,3.248669253929325,2.7819012558964147,2.8512903624418295,2.678025384366751,2.7678453971567896,2.467422522811491,2.5883443689117573,2.0752324763138095,1.9380000179682986,2.0409764481316843,1.9600199987503468
[3.5-4.0),,,,,,3.806636345942772,3.3715943689737324,2.9512299954602508,2.769828203956382,2.7079001921195816,2.4246207902084373,2.339921900637483,2.5771070970119236,2.315163809211447,1.9709753189711385,1.8678427402416093,1.7496561790206249,1.6411880794220626,1.6965284926660213
[3.0-3.5),,,,,,3.047338750522842,3.051903660151542,2.832211325236203,2.5490768448167826,2.2085684719586602,2.1400342973492066,2.1952598371367045,1.9524034150285936,1.859142811726572,1.608542470316033,1.6901266181156387,1.4527012810670237,1.4399540529082424,1.4455630092547664
[2.5-3.0),,,,,,2.721453662752414,2.763607651994173,2.5598239877442257,2.559185359522524,2.06713465023068,2.034226834699903,1.7266707903945602,1.682371894395699,1.6438251946959714,1.829786528665341,1.4378043633150288,1.252043762088357,1.3092943123514988,1.2462357183132444
[2.0-2.5),,,,,2.4079129861022457,2.4600368430056982,2.456874804178708,2.1047492028640025,2.2896722561652485,1.8138134003997846,1.9647094530650404,1.3540703572597805,1.4641574141829532,1.5610010836178339,1.2977812993370945,1.2512462402518787,1.23658183628889,1.3323804344821657,1.0840501170971895
[1.5-2.0),,,,2.581440544593779,2.3281629321298114,1.8503958926328237,1.7204322207082863,1.5969848284313384,1.9292597555165576,1.512788745849853,1.340330283420503,1.2985204607765992,1.2317107708342778,1.1648498160260428,1.2979903444741445,0.9152449875435922,0.9502607317193654,0.910121066200549,0.9336744910839514
[1.0-1.5),,,1.748827000487424,1.6065430590336307,1.487704214328978,1.509167043082554,1.3704791201637352,1.3858492300332712,1.0983790082903038,1.1054726005348152,1.09323406451385,0.9049369228255572,0.9865151911664102,0.8144448886254341,0.807798366933679,0.7675145498566506,0.821994391342876,0.7056751216857037,0.6197605323565502
[0.5-1.0),,1.17081119833327,1.1902831581025242,1.2057981479401256,1.0842925099532867,1.1897145710021468,0.911202686231809,0.8733032424256267,0.8104094298836558,0.6100085039223022,0.6701139767968728,0.6281312012650749,0.5279500222315737,0.5150313414720867,0.5059349703741735,0.5370579174215088,0.46179677115919077,0.4042440289636355,0.4174775360178319
[0.0-0.5),0.2783140278220767,0.41925447299752766,0.436152808963905,0.40831287977719455,0.3698219424564109,0.33571157558159365,0.31429170651343097,0.2773716773810224,0.28876561575066745,0.23319765365165585,0.25693659376201033,0.2513932376243495,0.21139837226337796,0.18967583376323213,0.19956318419634916,0.15671060735757866,0.14177185066710227,0.15201439762518432,0.1242292364776855
