"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Force Ratio [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,6.2224261278001665,8.19318789054172,7.399802981146434,7.011934261129953,6.851704519174565,8.753055499583771,6.802047480143212,8.045876170674372,6.751321739390985
[8.0-8.5),,,,,,,,,,8.306325620379594,6.915189090330004,7.775144524677799,6.208219703571596,6.32902033722186,7.044916271448078,6.680173019912601,6.36128310603829,7.836571888760469,6.830678479646706
[7.5-8.0),,,,,,,,,,7.537701388193119,6.880653808235348,6.280254859677083,7.734115336187294,7.322442223260301,8.141560699445007,8.114004839085215,7.197619262789127,9.277567171882385,6.3549092582735724
[7.0-7.5),,,,,,,,,,6.5274614886495685,7.116435448908927,7.933048232790687,6.922681375598358,7.083631294591666,7.624632525245233,7.097294254829861,8.21356623294027,8.02496303117842,7.253467990975848
[6.5-7.0),,,,,,,,,,9.220764741821835,8.420205292998263,7.028631620304561,6.858698032608609,6.673928089511919,6.737751170879391,6.82638839629149,6.6681964367310105,7.255804884400874,7.1898846797222475
[6.0-6.5),,,,,,,,,7.000738479637436,6.5753820886963394,7.509311088043274,6.91794641403087,6.806216453155314,7.657634635303171,9.259242837137837,7.872591569671716,6.550209133581894,7.160526357554901,8.864035882644282
[5.5-6.0),,,,,,,,,7.972518399766515,7.271734563629829,9.364429277210677,7.030046542971565,7.12487548732453,7.296964401834534,7.778425977719124,7.580495411978973,7.30188049070137,7.1643119999604075,7.815158655074611
[5.0-5.5),,,,,,,,6.459533704371169,7.730688969605471,7.398244107309724,8.226684107083862,6.669020712250641,7.639153932452532,7.0654566444137235,6.719451284937073,7.664337744999675,6.379502435456957,6.782923293993058,6.882610088582287
[4.5-5.0),,,,,,,,6.72793815560488,6.849835399402699,7.326853808491477,7.313217826522001,7.153561389978496,7.129747323134437,6.329060328433805,7.297786449887019,6.778964272607205,7.24308112395511,7.152602276942799,7.930890806268848
[4.0-4.5),,,,,,,6.344113093595905,6.73508604329721,6.515632656896428,7.413916451644731,7.506831515278875,7.063933315321005,6.640545643137883,6.7459218172787585,7.1744849564121065,6.93166813464632,7.675336674129098,7.5860990290758075,7.388585491384045
[3.5-4.0),,,,,,8.707498705464833,7.8370318407636494,6.652308182160462,6.421609970753898,6.525648701235179,6.5876116320246885,6.76795342530365,8.28638917250805,6.849057948416642,7.748638104450138,7.3196990764451275,6.629597598037146,8.215126791376273,6.822913294146758
[3.0-3.5),,,,,,6.905746282327589,6.4644862358640465,6.118305334741104,6.717751395934932,7.152151716411703,6.5479232879317815,8.371981782685518,7.104954816218788,7.056978167069814,7.555973482001544,6.551548245267153,7.939822420117129,6.452857133349305,6.923896409910542
[2.5-3.0),,,,,,7.363335854907414,6.742044117498133,6.906066065456952,7.665686829683293,7.3675552989576705,6.487422113188583,6.853145726144641,7.743353393419335,7.428517668386047,6.716219918431184,6.936046423644805,8.063472961876657,7.909207968762994,8.205878524301163
[2.0-2.5),,,,,6.561375604812112,6.768420191256002,6.693389808916146,6.767017700710333,7.817592339772535,7.854696122642256,8.790363263016221,6.940656680417295,6.866049394470977,8.498339110051734,6.996976183176727,8.19305509875325,9.009986319768515,7.176557863549392,8.504548598765838
[1.5-2.0),,,,7.075914080663943,6.4088449776736685,7.01312291802196,6.336890687739692,7.760696842310638,6.545708305866198,6.901800721120427,6.998657351995825,7.062518122099975,7.1880814902750485,7.389861206711248,7.647450322189657,8.08241603256869,6.37488025610932,7.426216573325228,8.096882496437606
[1.0-1.5),,,7.189906603490087,7.185711562795376,6.957832375925462,7.873635673336249,6.498665307487266,7.13756555749838,6.975023215001549,7.764639866399608,7.152887696794068,6.979324883931651,7.883339405002259,7.033920623510611,7.477337756348237,7.554210546284503,7.88749176528675,6.649238488283829,5.742676725571703
[0.5-1.0),,8.434718088421661,6.93752932209864,8.291496432436361,6.755710156447506,6.83942428919402,6.757753397796033,6.853727927713563,7.4547528804084555,6.057538415455016,6.988780346281212,8.26130747457376,6.853358361243882,7.598480622342378,7.265512859089436,6.711524662192065,6.839412796583387,6.243393588830132,7.315555765142371
[0.0-0.5),9.179795687899993,8.232999696828722,7.494958468003854,6.677593517572333,7.5975559973393505,6.597430927520969,6.595648628191635,7.332633359865856,6.621970891950346,6.302492766988276,6.622770359287374,7.1334107716739075,7.645016600530947,7.918170886433048,7.042456831641462,6.660246773392017,6.835072693815334,8.026501909673287,6.528639481261633
