"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Minimum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-6.630145992562044,-6.7739636635206795,-6.8901272207411015,-8.042952695785587,-6.825326211247418,-8.492926380426008,-5.658799296257676,-7.129321572755281,-7.987364819605068
[8.0-8.5),,,,,,,,,,-7.684718936114995,-6.387116175111563,-5.821913550331256,-6.2473329810736145,-6.83255406442212,-5.898360325215242,-6.276220672071271,-6.108047954941697,-6.827974419574758,-6.7991247046260375
[7.5-8.0),,,,,,,,,,-7.832379363808863,-6.522635924972268,-5.836409551415113,-5.765470514461879,-5.56591710468867,-6.087977012563336,-6.691870116747252,-6.546030589168307,-6.8508811927133,-6.246319374428025
[7.0-7.5),,,,,,,,,,-5.5776400259738335,-6.131450673971279,-5.252332889390753,-6.210886249399638,-5.29780136262114,-5.821387290715683,-5.374730691061445,-6.359754272188052,-7.076238917134349,-5.600894880172651
[6.5-7.0),,,,,,,,,,-5.291145533068222,-5.875773047342397,-5.363495537222714,-5.223198797876398,-5.511904634816885,-4.824997356453121,-4.968392867977427,-5.535974155921897,-5.127791493649825,-5.215350088419365
[6.0-6.5),,,,,,,,,-5.884937156537436,-5.35319080819946,-5.811762630861282,-5.684640232532077,-5.06884553547516,-4.653355644976623,-6.251561558943901,-4.9595011379783704,-4.036309916338066,-4.6338737599097115,-5.935314318392048
[5.5-6.0),,,,,,,,,-5.928396284995372,-5.019192775532845,-5.595980679597963,-4.6965821647308665,-4.495514308696501,-4.889017897254207,-4.703742714575898,-4.405882182618468,-4.215954686041594,-4.635525660472166,-4.972169765625408
[5.0-5.5),,,,,,,,-4.696013388498351,-4.901877819735102,-4.474881991376489,-5.271427833674911,-4.551552499108041,-4.261533557108097,-3.9324517192060857,-3.8135720698727416,-3.988459268009544,-3.9084766416490075,-4.075844589023088,-3.6262759480456452
[4.5-5.0),,,,,,,,-4.109005576984847,-4.940273849509061,-3.6787319778675194,-3.742175179625468,-3.987303641331739,-4.080361793733418,-3.6629546390110885,-3.7440732124579714,-3.721021287902821,-3.2076117972385165,-3.6287548083779746,-3.6248366391477695
[4.0-4.5),,,,,,,-3.653501991518793,-4.093939944667184,-3.6600394389398025,-3.530165590706162,-3.5947861648704573,-3.427903772477999,-3.6081823650490383,-3.424037822891335,-3.8867642235691457,-3.434892574138855,-3.605093396894192,-3.3646670914189216,-3.40948182187191
[3.5-4.0),,,,,,-4.102285048488612,-3.595365226285979,-3.0599384874677766,-3.3121913632224187,-3.280561296269716,-3.0606466917498816,-3.015818797531548,-2.902305211465904,-3.119253028217867,-2.779032277288577,-3.3388383660827943,-2.8815608586892476,-2.6740735454698914,-3.065430716867312
[3.0-3.5),,,,,,-3.1289700030729874,-2.960306925316147,-2.6366855647565113,-2.821604344507997,-2.4710718827269287,-2.418630430432994,-2.6663782262935185,-2.592634170770547,-2.502053830165811,-2.653117603389319,-2.3654112917878476,-2.9736551922988705,-2.2556941773518657,-2.2533332964945316
[2.5-3.0),,,,,,-2.6038930641357068,-2.5267986859155234,-2.8266757816816463,-2.645934710141071,-2.684196989720812,-2.0585855981629035,-2.4295395616057838,-2.4022928830657255,-2.289355021100483,-2.2901745193647063,-2.2849340980553046,-2.183850791909135,-2.196807601640975,-2.24820167696276
[2.0-2.5),,,,,-1.9842234560683811,-2.0953188480809177,-2.333371279832751,-1.7492258332979196,-2.6488927658522368,-2.0736612936431036,-2.4298808357734716,-1.9104995546151187,-1.6857364496350626,-1.7556688135908922,-1.76672819200779,-1.8323042705763903,-1.8219471999177324,-1.8025059757662811,-2.269331843846522
[1.5-2.0),,,,-1.8412403802164832,-1.6278446488611893,-1.5395138445596015,-1.4839381949669237,-1.6496770523397144,-1.8569717483717945,-1.7031923989978952,-1.6750469361554121,-1.361246446017073,-1.520413025083513,-1.545765448638779,-1.6427202845081426,-1.4385931389363233,-1.1978720954473827,-1.646657846262462,-1.2859606290326766
[1.0-1.5),,,-1.1483785512299154,-1.047920444264181,-1.1770235358311285,-1.414965184500694,-1.2010996726446055,-1.160019906020956,-1.1706128085363958,-1.1291983174180125,-1.0941676770059026,-1.0393758936674744,-1.4118235301127031,-0.9800265802273953,-1.0556471949347803,-0.9124148359472407,-0.8934258943150971,-0.9847606196210797,-0.8185371869303211
[0.5-1.0),,-0.590897372518633,-0.7157854133077914,-0.8826642229862319,-0.7822084489076998,-0.7610706922374573,-0.6780033351099951,-0.6500906852272459,-0.7213100698024937,-0.6747766103755933,-0.6350913148259371,-0.8907023206192934,-0.604938752452264,-0.7644746810945706,-0.6243612968478885,-0.5564174616620051,-0.6442159789963269,-0.6511480064746575,-0.5507705205356668
[0.0-0.5),-0.09944394622570167,-0.22652473244888754,-0.2639657400984771,-0.2630704315672456,-0.2573341690903933,-0.24095043219745613,-0.2284458227085092,-0.21148271638345145,-0.21729315666676585,-0.23735262273151936,-0.21484364284603003,-0.1869063958046606,-0.20159608257204348,-0.1817324633373263,-0.24843197950410603,-0.20650930804524342,-0.2213879848832191,-0.22275477479506273,-0.18720488781006503
