"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,3386497.0154783716,3922165.406655252,3476182.1310716253,2970249.57994848,2905220.029737983,2436081.28251076,1703517.3133575688,1878706.5165586928,1819498.73035646
[8.0-8.5),,,,,,,,,,6593871.737866142,4202461.610221085,2411251.116440229,3154939.230575859,2492060.449118893,2624497.772630837,1658640.6389077052,1594276.5134273295,2178867.9703184348,1478564.3794162292
[7.5-8.0),,,,,,,,,,7877139.048697823,4675827.381908251,1818783.0328932134,2343529.1945263827,2118200.6917975163,2800405.0423723296,1766154.6714728917,1741570.3816275161,1875125.9575332024,1445262.1123063958
[7.0-7.5),,,,,,,,,,3013006.490750567,2751264.960540118,1811523.5669612708,2168938.4208821193,2688576.987484874,2337054.29904896,1541186.7660243486,1838625.132986514,1429670.9152651434,1224887.3846486392
[6.5-7.0),,,,,,,,,,1262259.9576795949,1059075.3083650032,981450.0876763568,927818.119134867,1514037.3728085665,941673.2382987827,1258438.2603136017,1654517.6186173074,941832.2337377642,863309.3207833775
[6.0-6.5),,,,,,,,,1023675.3212457328,971041.243447091,956909.1992630478,965602.121328317,899573.9732521233,1044833.1978047693,1096382.0768634141,1317189.5138617225,818025.7781856853,877250.6488265616,1250996.0474362639
[5.5-6.0),,,,,,,,,1045801.8530857882,1052355.711966782,1057021.0627996563,864454.4402880323,884988.4586495294,919702.713710832,882498.708255961,926213.5697189851,825596.3190183125,785845.0223845133,834137.7757819375
[5.0-5.5),,,,,,,,924299.6040818614,974150.6198187699,869873.5828409523,889090.659535487,784066.2042952019,826107.4719924016,833991.2670162488,764135.3345578312,789629.6123684784,726046.6365916259,786049.5023884824,732335.0189245456
[4.5-5.0),,,,,,,,870443.9633615466,869664.1578770713,886782.0405823935,846582.364080185,807023.9353750069,768408.4787545094,752413.5548714267,772582.8874536318,741933.4905534061,782620.1920217166,776449.4891715273,744179.1039552634
[4.0-4.5),,,,,,,801626.0015639293,810702.0643421629,780403.363028018,773964.6701566092,750132.3867238835,726054.5968078524,737729.2943438386,739781.6074249226,741717.4045512677,758296.3061677091,690921.3919170193,751613.0016439515,696474.126190917
[3.5-4.0),,,,,,907621.9627191124,853630.1540757294,742246.2532118717,702556.7282511267,727861.2822212402,702764.3989744367,742471.6108634577,764917.119473964,659908.8476382147,681197.3240653761,709589.849726218,670435.113234015,701166.1434732873,651585.7542236716
[3.0-3.5),,,,,,732212.6631697126,667377.309401402,694592.7720089284,677285.5894189405,669024.9686657168,685264.7987901313,744137.2857672854,659827.4838765822,632931.036450267,620356.7323533598,650296.8895965223,655524.5923342613,581598.5376356439,589739.001729899
[2.5-3.0),,,,,,619554.5240499761,667578.3533075998,631706.8755489746,672165.5609126596,636436.4500391206,619551.7984392832,588188.035703311,599468.7406502417,626157.8574045982,583894.0307566623,583408.624315421,631251.9477580376,625332.7934116665,581450.1074658462
[2.0-2.5),,,,,487216.9250151789,512482.08003561775,548988.1465258419,544581.2681797118,601197.6718313538,618427.5213121496,597589.0868613767,555302.5412925369,543701.2665988281,597681.0123954976,542187.4584987962,569167.6683489503,592934.7231884752,543551.7909709467,532707.332281044
[1.5-2.0),,,,405541.4901194492,453505.974111215,467776.2546353212,461078.2463127851,513860.1148724483,494740.15417459793,520902.701027512,515090.88020910404,500025.33056968084,509786.5122587224,524576.8729629691,497374.6336284815,504399.1487194837,473329.24020381464,449332.30234174425,489203.9234822348
[1.0-1.5),,,323787.92552385444,343597.44389626937,387919.31128696783,413400.59716054454,421104.4814794652,432142.87615943106,450653.6176031806,445163.09430783597,448403.53489424527,453723.70293574524,448125.3893670066,433071.69380872993,436246.8073356005,450324.45668333676,446206.4082633485,424771.75763167464,407371.07970081264
[0.5-1.0),,289289.9794966797,306446.3157768097,318301.6204511953,330188.10727092717,342160.48933674593,361774.95264777396,351333.728134986,386270.941893386,359958.32504655863,377121.54168901336,400679.950835988,374733.1916506997,380909.5130469985,371946.6781595244,372566.4402337495,365932.17157617235,348001.36590663216,356246.61271416314
[0.0-0.5),279137.97157026915,282510.7261825473,287055.27701602323,290265.2800025358,292800.02025265805,294543.3059023163,299192.02557302336,301946.475284052,302818.18745285313,304443.4382220149,302041.02664949204,301698.1779927196,305543.82872229576,303622.8743338439,304474.5981523085,300125.8846523096,301495.7520233837,302919.0386735858,301671.0387685354
