"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,22845665.360396113,34559505.79970831,23788352.391054936,27954960.90514347,15461646.694615874,24942147.568410747,12483141.019504938,11761562.919313207,20119557.393388353
[8.0-8.5),,,,,,,,,,33418232.848041996,23676312.952583052,15533881.631117273,15863437.755874468,18640509.890166715,14914853.027779404,11462652.389382262,10855137.20185031,15025340.210661631,10342373.886082258
[7.5-8.0),,,,,,,,,,34831061.740435995,17113857.9857143,15058092.391699135,20174287.910509646,17337484.150193535,20964156.751615167,14615353.768071638,13160152.728351913,12286515.863658985,7025555.367180845
[7.0-7.5),,,,,,,,,,15586228.290570589,20414791.90836253,14342853.057651922,10295526.688809834,10227358.299237384,16434091.97539033,8321753.06345014,13183385.582022142,12679634.121678185,7741324.158135585
[6.5-7.0),,,,,,,,,,8004176.87621994,5238150.5839136625,4019617.1773897195,3222094.85303349,12669964.082299866,3118077.4658670984,7054081.030515544,7974194.450323598,2414566.2635737406,2629309.6671197303
[6.0-6.5),,,,,,,,,7310837.256897113,5250524.991318243,4298107.932189815,4713950.206740118,3882588.360182354,3147775.016415613,14492507.425104372,5927216.600471806,2070647.544821657,2248603.6160301385,8122824.619012464
[5.5-6.0),,,,,,,,,5480943.549668159,5022472.640999094,6167271.184660682,3101059.6226635743,3259684.8817674583,3322488.586367566,3196817.800850078,2259489.6213611024,2180395.071590597,1853318.2776237219,1876824.7693031174
[5.0-5.5),,,,,,,,6468465.445058081,4610283.544651007,3740404.3107522805,4202335.489369324,3516080.8806412015,2625906.0809580935,2387908.0195385385,2181055.305310323,2194624.794182491,1728254.2626875562,1861964.1829334812,1668247.5330853327
[4.5-5.0),,,,,,,,3802646.701709865,5112817.499560982,4388655.203650766,2952135.470377894,2542284.1661269865,2284403.3937756866,2109394.7780225137,2104387.77392642,1818549.3930269587,1891819.4326613965,1565726.97630017,2029293.762544835
[4.0-4.5),,,,,,,4572229.201302978,3921058.2982869465,3306287.917906471,3551545.1874788967,3219538.3825180684,2334283.1514340723,2259914.61941279,1964042.5310583897,2210120.2874854486,1755750.546897621,1528164.763927768,1692208.4304267482,1435937.9446931714
[3.5-4.0),,,,,,4038190.6783196693,5192658.9375355095,2860358.718407413,2591504.415517329,2768867.0126609392,2160754.6364317527,1953909.1136094893,1863459.642946932,1816277.8505701628,1439259.644349989,1454525.24378396,1463906.348837044,1600225.0180353206,1197914.5884332964
[3.0-3.5),,,,,,2300267.6631680625,2558525.1091389935,2650186.46907916,2299231.3339394527,1919851.2070467582,1653461.829088544,1808621.1055905456,1348223.6694881949,1490124.7362541927,1350210.40201059,1199190.1345476988,1304528.0727242099,968457.0506667552,1069029.6663162187
[2.5-3.0),,,,,,2039744.2665580404,2074011.2359550819,2295941.1811351487,1959647.5177433915,1867186.838911974,1533039.6888343752,1352581.7924993578,1265359.6951564653,1355459.2292808732,1177368.5798711886,1023947.7105544686,1127618.845334002,940855.2908440537,962903.1196855712
[2.0-2.5),,,,,565825.7199184762,793901.7110121544,1305509.918337604,1727377.7329256039,1788873.2970317649,1494275.0271280594,1625695.486444688,1091931.841857857,989628.6974554918,1136782.403584687,853148.9794411015,965760.5721048047,1088333.1721053515,772999.037179834,870655.8850805777
[1.5-2.0),,,,484886.66710462025,427640.9658368897,659435.9070404522,721730.7259107148,1039104.9211196537,1434047.0125850982,1037093.1612092684,883013.9871062478,808108.8062954482,854237.4573252866,818567.667343395,863790.4260163739,703825.694372852,527865.9206637872,598477.5411447515,616272.9873031457
[1.0-1.5),,,303002.89517873403,277233.5822045864,238185.43459454502,396539.3441902008,478304.5655002681,533886.6580705906,664494.6036003123,554505.6826859998,579390.5290302056,567835.0071450749,623533.827119928,463204.05720816704,484926.68433709175,475541.4874565251,445989.19794516545,358202.4758711889,326736.1865718737
[0.5-1.0),,149058.39308366738,203837.41356956615,209596.60120710853,126989.6281676977,162671.90220417446,233771.40159069578,213542.35120883043,365280.6441600484,258019.5670869899,323755.2336206903,389545.859042939,252725.17499541558,307346.28599572356,276894.8384957339,240014.33104477095,225324.8676211806,185453.30885731496,196121.80528726152
[0.0-0.5),23968.310579021305,47752.42548612636,63054.01990715136,54739.94433575988,39943.5931435848,48076.94630877141,60971.44295958261,76612.98781736931,79733.50906029258,81000.22502831806,84956.63870334245,78929.08525022157,82171.95804609612,81288.4867313345,82276.4468747188,71631.4253282784,65842.40743770747,74929.54169515052,57197.303096025054
