"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1326737.4829089637,1652845.2280262157,1342243.3711422693,1326584.065662075,1375311.5779557345,1475986.8736139848,1243811.4713206487,1479244.5220551132,1235271.2927471036
[8.0-8.5),,,,,,,,,,1543112.3652983687,1346107.2914974173,1540843.7499918942,1134460.6141064216,1217312.5326440358,1402822.2037368943,1192201.159256928,1116943.3226116379,1555452.9396248895,1249431.5460236953
[7.5-8.0),,,,,,,,,,1290077.8978492252,1254471.0919399518,1215098.0359555068,1343136.6941374382,1277250.3528812055,1387512.4433685946,1296126.1036639404,1193001.2413571565,1592630.476010325,1021497.0284985591
[7.0-7.5),,,,,,,,,,1136583.7672262336,1203175.5603091079,1339481.2362538497,1055483.3888531688,1144634.2650725194,1197501.0502798746,1043282.2565358643,1183194.9413584834,1338744.104971519,1088687.7293455922
[6.5-7.0),,,,,,,,,,1509293.0073460469,1368298.878800671,1218366.3306987726,1118776.1590883348,1041640.8125077288,1084458.9389550756,924779.194212863,1061824.077437759,1214349.2049257492,990724.544535454
[6.0-6.5),,,,,,,,,1130069.0458697183,1026619.376947992,1146231.2370576798,1057045.577475432,976198.0343614928,1213883.1344604217,1181759.4378663844,971002.1335126243,859447.3616998075,1078180.2512267884,1122386.8592622953
[5.5-6.0),,,,,,,,,1244792.2428147711,1128949.5145858715,1331210.406547311,946562.8926201349,988840.4644236226,993361.8583770375,1027667.7901380936,917405.4932178368,894556.6577735897,956459.3336771856,1047401.0204330338
[5.0-5.5),,,,,,,,888269.6625285303,1118652.1198442455,981065.5470084512,982704.5723674723,874796.9591369982,916369.7600660102,915714.8305443515,893432.9632891781,847174.0770743425,697867.5767112215,901385.6621454998,846661.2804748289
[4.5-5.0),,,,,,,,843853.102290302,885639.275472895,919297.2524816253,813014.9098036558,870990.6585319248,811258.7164603693,717915.2650886836,854291.1293006394,681313.1877385777,805486.2237728435,827823.8565917768,853186.7563335284
[4.0-4.5),,,,,,,722587.2710003869,774953.1149112143,807971.2678160927,826535.8324808339,853478.5766676061,818268.6279615302,733227.1286162724,728105.5019363341,827764.1275325898,703067.448326664,729103.4177948091,808229.9483880353,765639.9394582437
[3.5-4.0),,,,,,778760.8576295259,796410.2992081696,714386.9731008651,667563.6919184905,684306.8679384104,636706.9860900617,710036.1144237522,771017.329676422,683535.939066211,774120.6673110086,665228.7839547518,618969.4266877689,713119.1582563223,614738.6351702161
[3.0-3.5),,,,,,593913.769697088,571927.4076685202,557549.5783725175,625085.5745592131,620865.2766566488,572459.2409336467,737531.5079779278,583906.6423318986,626098.4656129441,624962.7796829471,504333.40897970943,624396.440090684,545826.735487898,487733.1749093051
[2.5-3.0),,,,,,531775.7936201614,532796.9214428264,559371.6127891251,621210.7855504109,550599.2543556723,503534.81628250895,533111.1090508489,562763.1859277731,539570.3008647428,463913.87333706324,469199.9823700924,522082.5671315026,560716.2485026496,552715.6666091925
[2.0-2.5),,,,,378191.3664581274,441347.29232749605,440414.4859572267,445275.97395866277,545053.459605701,521445.06646701536,541789.2330768544,478192.42317966215,421792.9948112545,509144.1740436839,421995.840088633,431204.91339988617,491387.62910347106,442485.5282351633,510758.3800301456
[1.5-2.0),,,,272902.22386370687,325349.9093999977,361272.1789314675,350689.1852544906,409204.39183179935,386855.91056341777,375061.13229739055,387119.3684253562,369789.65325012675,367127.07395476976,370237.8604978742,391032.4805765369,355178.7436146348,298896.4515261823,329543.42608536244,363218.77690907405
[1.0-1.5),,,195414.42987645365,213624.49534028125,276910.30293021555,313259.2091183379,289066.38625435217,287391.1500940844,287525.17181608157,314423.72194781323,298108.8946365729,294218.04699710413,304500.0506873128,266594.78211656085,285256.22751658596,267671.624330715,265803.4016283454,270864.324950011,226380.8710152307
[0.5-1.0),,107823.57797803511,139823.15827281453,177395.19959692156,188114.42571038412,203693.8402909771,204361.769534999,197710.2205139779,220244.62465513524,193695.11279441827,203493.97000044727,226767.62835278336,200148.27301148587,198604.1254149191,210238.40394931377,188222.8463992746,177591.14029980107,179437.40112370145,184127.14323286613
[0.0-0.5),80037.91782807717,85075.34473893279,97331.3822199664,100677.39937759265,110374.7598399641,117150.04974222997,118641.95083532749,117127.0524888906,123195.30274200806,112969.87920137457,112235.46332814814,117787.75450182288,116415.71298810294,119108.80466256787,117287.1216917734,110243.588527316,111035.42221389139,117897.59505606009,110996.08043041872
