"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Minimum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-6.113019277494828,-5.5794887878787325,-6.035373489259278,-6.086831991163691,-5.594238540653066,-5.589838424450925,-5.567658195113426,-6.274449913971748,-6.227174680567398
[8.0-8.5),,,,,,,,,,-5.873355254136011,-5.3770215882289385,-5.502164728895774,-5.141661837472333,-5.383386611110919,-5.126600191330537,-5.74989912209037,-5.733489097706055,-5.785949592012362,-5.022168041980811
[7.5-8.0),,,,,,,,,,-5.58698148508213,-6.14459078295026,-5.452352191312293,-4.925349618534678,-5.357193060918409,-5.421390266719966,-5.897363693636303,-5.310606661997697,-5.544509625135549,-4.790837999681235
[7.0-7.5),,,,,,,,,,-5.397588286069761,-5.3499486562414855,-4.802066162785712,-5.249367836176646,-4.739906364825788,-4.414270346398078,-4.03343626517242,-5.451438502158416,-6.53163097819018,-4.946697195663635
[6.5-7.0),,,,,,,,,,-5.019800198837737,-5.63231954818587,-5.190377355887238,-4.654469590790099,-4.888123306366005,-4.542504553576708,-4.25001649747001,-5.36217714739567,-4.963467769867396,-4.144790836640596
[6.0-6.5),,,,,,,,,-5.483088399397356,-5.072761617599759,-4.9845948073176425,-5.291791449616752,-4.042682743107937,-3.938618585713905,-3.824608718933022,-4.132250836949595,-3.615465802396694,-4.049557479012027,-4.518268089886391
[5.5-6.0),,,,,,,,,-5.227905961830967,-4.685460605706967,-5.583819825231166,-3.960125811299827,-4.187499066711793,-4.649599315876319,-3.7888031232540103,-3.5842375661368933,-3.5009954281214215,-3.803459105177066,-5.162909074208899
[5.0-5.5),,,,,,,,-4.574491645597949,-4.7941604645340385,-4.244621499409368,-3.8902378238080457,-4.114500837197872,-3.8058278379730357,-3.388061407700876,-3.236870379324621,-3.4256166752972503,-3.1701717231472153,-3.494081870379369,-3.6653439453404744
[4.5-5.0),,,,,,,,-4.143592092554415,-4.855118563923681,-3.6718514132633677,-3.3428658380861433,-3.535882009556723,-3.4737943347618003,-3.1170314960609824,-2.879648662949352,-3.069518855253615,-3.238364949962457,-3.4809611554691626,-3.263491710451093
[4.0-4.5),,,,,,,-3.7585647936724373,-4.015074772495927,-3.624436395285105,-3.4204852277373674,-3.615185366655216,-3.3849708541093766,-3.5538938379607963,-3.447157296345894,-3.6057382299097718,-3.1318170717482188,-3.226599079210318,-3.064995147365747,-3.0534392947768865
[3.5-4.0),,,,,,-3.828081490284113,-3.5952999466609312,-3.201403252689635,-3.268503519768037,-3.380627565703255,-3.0245048580830916,-2.9068837882342433,-2.5632516652557276,-2.562839416267976,-2.766211848958862,-2.915158654778489,-2.867234754403908,-2.7427182205202314,-2.754125742980374
[3.0-3.5),,,,,,-3.038731134698939,-3.012732791355328,-2.7669901687185234,-2.9437072556063137,-2.4531657798819615,-2.4692340479291492,-2.500750559835774,-2.3906631816420387,-2.5274530855158854,-2.3146602393196436,-2.447632702978303,-2.60381948003839,-2.1751109420648325,-2.0549978670967826
[2.5-3.0),,,,,,-2.669085978347509,-2.5871910257133894,-2.9892323853086387,-2.678725637879552,-2.6775176072042526,-2.213572410498292,-2.3444596271403455,-2.3310935920048594,-2.262240512146094,-1.9469061098487903,-2.4005183663600844,-2.0267901663241785,-1.9499941256445785,-1.9822134167146086
[2.0-2.5),,,,,-1.873998816423723,-2.0470223982621065,-2.4114681376348606,-2.0195341534876765,-2.734636158756029,-2.0238753994367684,-2.529470892150415,-1.7876220726790424,-1.7139124396013825,-1.7871722334796072,-1.652869833318213,-1.7428678778286217,-1.795195395284718,-1.5900217331804336,-2.362382844724996
[1.5-2.0),,,,-1.5091808194571208,-1.624408392512431,-1.5919689351365953,-1.580622879967235,-1.6940332787186427,-2.060628535810676,-1.6861268315746558,-1.7024940637578059,-1.5151073326876456,-1.532552577507131,-1.5976738777522774,-1.623473445202289,-1.2892217731723543,-1.0998023676695505,-1.2989383078147878,-1.3488864260005788
[1.0-1.5),,,-1.0163170597001583,-0.9626182862890036,-1.201895700754866,-1.46538500265898,-1.3495384941060953,-1.242079377838634,-1.099927865245502,-1.199022897244517,-1.1920944646801173,-1.0075802286062645,-1.3564801334909722,-0.9771235100813742,-0.9981476779721047,-0.9072064912415986,-0.9130418714273122,-1.0001982682728825,-0.8718586617244184
[0.5-1.0),,-0.34780222056639043,-0.5497652605986739,-0.7692642723119677,-0.8093445384754432,-0.8038832446621755,-0.8137307654105681,-0.7434024518572354,-0.769568719921147,-0.6497298229403956,-0.6710378180641334,-0.8284116849290694,-0.5972341234530963,-0.6529881603389786,-0.6514256205299126,-0.5921309153132087,-0.6778831358931473,-0.5741921294243528,-0.5255005713644476
[0.0-0.5),-0.01857174736390186,-0.12593826865351118,-0.1762939075179761,-0.2061150668909973,-0.234439841447857,-0.24943862467138342,-0.25137744440025106,-0.22244704071638294,-0.2440828953330198,-0.21917066188847473,-0.20195588745107768,-0.19124392676396731,-0.22103320705548948,-0.17165456911696791,-0.23413881416270987,-0.1931762809813072,-0.20077417339759848,-0.21767743661270783,-0.18645233235155304
