"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,165532.71181540383,217203.4357146545,164493.37600527905,164134.00898379536,169822.3576961852,170970.26850253777,148105.13597460976,186667.606208518,138634.5585868387
[8.0-8.5),,,,,,,,,,218537.39591800058,170725.76988536445,201607.74771264452,141564.3516043662,151166.90728664538,166092.36482720528,149332.93925896307,130184.97787012607,176310.00394959084,125299.5934135069
[7.5-8.0),,,,,,,,,,192460.3447090032,147341.2262232507,142534.03969398772,163638.16221460653,148783.34854881567,171987.15322219182,158300.73396534892,136957.51564038813,175311.39280125775,107274.81781796062
[7.0-7.5),,,,,,,,,,137053.07004836723,140744.94715079747,174124.09412776443,141146.94764444185,131629.5170561576,125601.30675693906,125687.15598021037,147538.12629698432,147037.35670037492,130045.29512839053
[6.5-7.0),,,,,,,,,,201856.8559166222,160166.2459386399,141257.14709326118,131604.3159136511,119306.06454605717,126364.02784745033,110394.66504072704,111090.71407443426,118542.32151687416,109822.65418627532
[6.0-6.5),,,,,,,,,121713.54627961371,109736.28346380843,129914.00811072104,120101.88966752987,111180.93659324758,123232.31013228837,140379.68335275736,118167.404452588,96759.31632754879,119160.96208000997,133608.94696034965
[5.5-6.0),,,,,,,,,146933.44826751394,116728.64938782169,156074.2367705051,106044.99311166187,109510.5522963654,98202.78388339702,119978.46445585531,97957.07585071692,99379.6381735681,106623.95658968345,105344.40914026355
[5.0-5.5),,,,,,,,81511.30784867813,106667.33371360529,98877.79083098806,117763.65482866086,97865.29724944111,97663.52228837846,89830.85019976897,96255.29138329523,92789.72794266634,75144.78609518055,93443.8779791568,88264.84634477826
[4.5-5.0),,,,,,,,74040.00964881752,86982.73861340038,83250.03649147203,81841.46318680423,98036.51295981144,88035.94344968762,79463.62867983176,98858.4776947538,76373.10687152662,80062.41266624874,81183.79338579607,86438.77310475895
[4.0-4.5),,,,,,,50003.096147631775,61825.30630865296,75185.07342617653,72744.71219880952,85481.31994791325,78833.13035744076,72794.34934777002,69663.53976776867,78571.15819315893,69931.18984508925,76191.28153662074,76524.23728182535,73556.00902705203
[3.5-4.0),,,,,,49144.379767932,57066.60578129164,49053.429003265075,60061.47528028789,59974.88874688635,61164.969592486945,69105.62046673136,82721.68792100601,71413.30700966757,69784.05703640165,69197.56777559388,56921.672014708936,70424.32809643279,63370.6828254315
[3.0-3.5),,,,,,30934.406704436336,29502.98547497027,39864.49549414089,39691.84565527096,45293.40450753924,45955.71258688456,65061.61197134643,57955.23627534063,49498.84756719163,50832.065066844574,52871.15940362726,61059.16538078466,54634.90649549275,45967.934180828874
[2.5-3.0),,,,,,21544.290070632487,23233.278757306773,29798.15913325848,45666.15149820258,49116.8536296711,37357.85386958996,41016.25445146618,47877.072943940155,46955.830610642566,49762.88046433196,43096.7589377722,50477.928817489876,42132.361941205076,53078.80096765665
[2.0-2.5),,,,,13618.616392563807,15492.433523651438,19041.582735192886,17180.97021243443,28540.298215946976,31968.42718038624,43497.890437442016,38392.80455590853,34625.85284872123,38543.921043829134,37671.702713914536,31718.586541824538,40530.194013127926,38939.74156814127,35842.83209926133
[1.5-2.0),,,,8595.526795194322,8570.152227620376,10521.220185621909,10664.067565297115,18560.336159903418,22357.45168380061,15951.293918935828,21833.192699900712,26051.52370827116,23402.613059089326,24624.265430176187,26973.423771908674,27210.182266822474,24271.102205305375,27994.350310211346,28776.67813933299
[1.0-1.5),,,5631.743715436947,5489.853048772273,6469.859897011647,7096.229420402609,8902.568403914192,16688.644807613022,16619.167503357712,16134.202046769438,13618.760296271126,16032.854023242537,19011.5730777475,14305.116077130073,20354.721182943467,17067.544745420204,17150.58126415398,18718.1724978265,17439.623811402627
[0.5-1.0),,4408.290576734248,5758.436916052843,6033.525703483256,7049.96522821265,7472.773463158463,8142.930698088167,9069.476416538138,12199.246243558431,10324.287862490208,10985.222534669876,15289.111690036903,12109.981100220017,10633.759114335697,9798.57649086285,9481.185787750015,11099.65572689804,12450.084798003663,9796.114976293777
[0.0-0.5),3812.845926146393,4189.658577849784,4686.838311629237,5069.230169126606,4917.862496531247,4955.213403149403,5589.776667852043,5771.375276297006,5719.988149369693,5812.25342953581,5718.091746597458,6420.459265385526,5500.403199551336,5468.565154247337,5730.149649088131,5440.791348557215,5380.576886338016,5783.02861338369,5721.520362394054
