"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,120035.03668724823,104641.66317459637,93071.6928826891,94284.56908892277,90724.88328646102,85501.34222860461,71852.65149003158,77486.8583905722,75835.9276842475
[8.0-8.5),,,,,,,,,,128274.38991248382,111427.47796677028,100348.1963968314,88702.76151504827,87889.33821158663,78065.92511424409,72194.35617296892,69433.56197581242,70289.25914192409,62566.10310106537
[7.5-8.0),,,,,,,,,,105826.55427300761,96839.59855315254,87861.33316372862,84580.53996885013,71833.84364406393,67863.899567425,63661.9561491157,63732.20353074179,62922.67421626533,53789.12085112058
[7.0-7.5),,,,,,,,,,95188.42145550261,85210.57281415611,74128.30509143653,71990.04410384338,63422.74061142476,60247.93715873083,55783.87929892482,53286.22293148281,53680.98745669945,46930.423651005025
[6.5-7.0),,,,,,,,,,83982.16536362814,76533.90983692803,67173.6140614475,64275.30457175609,57377.34095326217,55384.3315338286,52058.463454564015,51085.9069940137,44906.027632342935,40841.294741158534
[6.0-6.5),,,,,,,,,83751.74119397957,73875.94294885565,67725.52417867209,59867.27699368576,55895.63271624849,55393.866325252384,47030.43320259107,45360.921960600695,41351.16496035504,38857.09059182499,39091.88104772867
[5.5-6.0),,,,,,,,,73091.0403785184,69209.8623218362,58414.103654002545,50267.893399371096,48113.82836549119,43218.467361179384,39423.71842209245,37458.382826187175,34664.097638591345,34071.22417966343,32785.001414668746
[5.0-5.5),,,,,,,,66450.79022141002,59922.932817379224,54123.8672774449,49817.96503778859,42900.10350736733,39768.74193066081,35387.54403736984,34130.11709625403,29978.53941114621,27589.34168876473,28653.37085450285,27410.076753284204
[4.5-5.0),,,,,,,,55315.87386824648,49705.20358473881,43792.71463243957,39814.34902188615,37679.794147800785,33309.491421488296,31413.103732690026,28735.4535253823,25084.938631683464,24547.169626771607,23223.665560814312,22578.602656736275
[4.0-4.5),,,,,,,45858.491601316666,43104.32241119477,41889.424563640205,37988.02372083819,32875.2228066469,30139.597552941672,28422.016470666942,25683.6832484315,23467.360873523736,21584.885502769775,20710.570501801943,19184.06834223107,19325.788986324136
[3.5-4.0),,,,,,38164.925470355316,37255.58758541914,33191.73936799571,30997.955619052667,30151.46070895223,26471.914290657674,23659.25970265994,21859.762245984137,21026.80998832721,17619.566989246003,17853.84223623541,16222.884241054377,14648.114303917831,15272.414511819323
[3.0-3.5),,,,,,28411.086203810686,28249.898837142428,25778.45259400722,23127.705747902368,21352.759119852282,19717.224526238573,17911.087782567676,17061.468941386018,15463.630297047941,14011.98028081469,13451.385731274437,12926.247579678007,11181.56996079706,9925.095775945667
[2.5-3.0),,,,,,20439.003523150594,20352.548693456054,18973.87408825984,18313.124262413945,15697.357508825631,14706.309885451612,12993.35821907982,12620.946578492472,11308.508640835156,9974.777449006018,9322.412933371748,9245.440624747664,7891.178224307982,8202.608129354367
[2.0-2.5),,,,,14195.965054277129,13957.189887434322,13785.840994898907,12512.283105740351,11719.90162410594,11363.946642051675,10142.821813542136,9295.212552402874,8285.184345257112,7381.381583039105,6998.104368040252,6480.156210694966,5942.906423199979,5438.899924660331,5624.13483035166
[1.5-2.0),,,,8023.753060096183,8690.313917501939,8649.654102376635,8250.958552519161,7808.086795585763,7525.135863492326,6648.35901470966,6073.154083780972,5173.781903599749,5233.850402079406,4725.120613207417,4462.681737318197,4013.5486808312876,3907.1684417162382,3557.3201690355113,3341.8790789608897
[1.0-1.5),,,3255.643379769956,4196.242575630698,4542.180181005392,4488.586539505808,4266.3885493366215,4140.304819966883,3634.5965792211878,3295.863035611463,3066.4160974575566,2884.230638638576,2775.3736795104273,2430.948799143043,2269.2631708867416,2217.976688896311,2015.6951780208667,1925.4184751550383,1727.3087156993663
[0.5-1.0),,647.4293908121406,1203.6831616919653,1562.613494909604,1687.3648253458223,1675.71375151076,1602.6257400782235,1477.4001722015996,1383.284470029556,1235.1494615206152,1114.8617007107873,1065.7465140525953,987.6326092679669,863.1636080169914,810.6760996683338,824.8050004795265,768.0322011340444,683.6702281389532,660.2266277458365
[0.0-0.5),12.008989071682121,77.08946844051256,141.88009549949615,184.80038663269968,200.13977628457266,194.80123643117028,188.81284839805102,178.34001152412918,174.49799952044984,148.3607952510836,131.5797007567568,116.81751095858385,110.71080680221459,102.4331378728583,106.2581522666101,90.19381219192536,91.52730463702638,85.77627350117153,84.54830851611042
