"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Power Average [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,4716.482555294251,4038.572922251581,3236.5084903741417,2922.734246638299,2710.5965287226363,2301.085727470366,1711.2672398535435,1542.6683180542298,1313.3821021816532,1254.6597472019023,1039.097209088122,825.2271014789382
[8.0-8.5),,,,,,,,,,5042.899402059471,4095.3340415399066,3721.0804002839413,3052.626000250653,2780.912019593203,2201.6335320144967,1863.5411430170138,1531.6033208584477,1438.4829649410558,1151.1494603241172,900.5834030658699,828.5054157268182,722.4334356202412
[7.5-8.0),,,,,,,,,,4318.755758478477,3754.0512543649465,3197.611345620623,2761.01578714608,2206.366473688442,1881.5978546392862,1605.143824332644,1369.2750978680597,1138.319172386968,876.1872014260773,789.8135915618694,717.4112935679127,636.2938901513319
[7.0-7.5),,,,,,,,,,4024.4341084392854,3227.0450550246096,2707.2809704322094,2334.0343109249998,1891.8869847958426,1554.7642208851773,1356.234801904605,1145.7726299523251,1009.7656962777598,724.8369856778298,619.5993416382519,584.9723696000191,489.2700663054803
[6.5-7.0),,,,,,,,,,3309.6917575427897,2776.4692097258203,2330.9970896638188,2038.2487028706382,1587.8509448979662,1426.5417015558903,1123.6774989345183,989.8691145481974,784.6986476320915,637.8991424350974,569.1063831398603,530.6117959626407,480.49501823713655
[6.0-6.5),,,,,,,,,3514.2184748784734,2795.718847700465,2419.5071761801264,1981.4545697995998,1551.2544168630104,1399.563620905448,1163.1864171112204,970.706849069344,733.6852341966018,636.8596618329976,536.1797736327037,442.5778015198406,435.64023854756374,329.10223904894286
[5.5-6.0),,,,,,,,,2995.3930405664037,2500.790486331703,1976.5497398777065,1601.313899477108,1283.317723487023,1080.501963203245,884.1219993464412,762.028419057923,560.2499352775482,500.9473525251835,424.3506816566015,400.6407509579138,311.8756893675614,270.7585544255984
[5.0-5.5),,,,,,,,3089.930025396331,2462.144208910517,2012.638530850195,1585.4752986428143,1244.9536649942154,1069.1104254800834,841.3398704743174,696.6531548615555,550.805471364671,441.69183487024173,394.8721484167224,315.6427891625441,273.7097221801643,250.0152585797972,172.70756837050547
[4.5-5.0),,,,,,,,2527.4868683488057,1926.6934161058437,1442.6398543246778,1233.7243958950653,1001.5475163870485,782.2886784956978,662.0153434975014,547.4509471822109,426.6297380685458,370.5629329289496,287.15840875821124,236.1316529197373,202.37269667257496,162.8482515389203,171.70344672819604
[4.0-4.5),,,,,,,2530.3235687631545,1935.3892289269131,1584.539348990747,1154.7220593528803,955.2688282120047,768.2675623686258,606.8650016833897,490.4169314843574,417.90903436171794,324.67496098900915,268.55566878648455,210.11040372072986,202.7313913255531,156.26715714209874,121.44252107310807,119.04975957630843
[3.5-4.0),,,,,,2560.3808024134764,1916.9354855195293,1446.2512780110471,1078.170717219737,889.8940627535615,706.2576657978624,555.6000059280624,435.7358486325004,368.1849329882453,274.14562388363913,243.71360084485687,194.8567847694355,151.65076759492794,138.99888989307328,102.63826351721495,101.20379871552805,73.14191072012166
