"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Maximum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,7.150211216331434,8.992414320704636,7.598112563913602,8.139967357199433,7.915590163733113,8.881104262079198,6.733890997811628,7.751272539972522,7.392369280958048,8.21643641570045,7.704931868357228,6.167640457285153
[8.0-8.5),,,,,,,,,,7.255072863852198,7.685669631441139,8.00429491094507,6.349282545081053,6.5805194259100555,7.393048193580977,6.302114314061568,6.648250789626955,6.738684947890303,7.0635841767364855,6.821475445042431,7.383598560870224,7.453386158666255
[7.5-8.0),,,,,,,,,,6.033012355711565,6.783060312305412,6.472934415916203,6.97711693809936,7.357323949977847,6.89249765699844,7.384726744387016,6.973578876536369,8.442402350638494,6.81164623398088,8.1362305872251,7.297402715363205,5.767375682144082
[7.0-7.5),,,,,,,,,,5.864810308483495,5.397309717577777,6.974518742493588,6.684513511753811,6.109032497014177,6.294026954403606,7.812418192957709,7.319585205071317,6.85037939034315,5.5679024780668325,6.3931836203167185,7.416578017017269,6.138638078826535
[6.5-7.0),,,,,,,,,,7.416085933557173,6.1202030379871735,5.7310777424043575,6.1144277574916694,5.984569037093653,6.080953223419599,6.135623642930968,5.20015856317688,6.315413725438467,5.361555321595965,5.883724614698883,6.005628280105592,5.62799460569032
[6.0-6.5),,,,,,,,,5.376591157953301,6.470372582527296,5.37703736744822,5.037406065518175,5.411000433708481,6.6460009035676535,6.505062360323733,6.108540786762985,5.714635545421603,5.355910675815182,6.230485822792068,5.44467698865234,5.765260256209687,4.619104321832407
[5.5-6.0),,,,,,,,,4.981860825302794,5.774807959185664,5.845033354830418,4.815784920421126,5.014561724755886,4.7127398808627206,5.360148536872568,5.862041826042264,5.349634107661581,4.338869525975524,5.78273485641086,5.053739844304033,5.414138811933977,4.930734704921514
[5.0-5.5),,,,,,,,4.795603809774141,4.945517658379362,4.558187484195643,5.11993293657296,4.171436077110811,4.827488206563,4.443501849377453,4.81188305582912,4.355306030335783,3.9150581093088905,4.920380938785569,4.122610001370075,4.188993315975998,4.5444915297725945,3.959008774553338
[4.5-5.0),,,,,,,,4.687014800152228,4.01266032139,4.412605082175418,4.428998840203349,4.190273808204534,3.663206970577898,3.9723133235016372,4.250840073726341,4.0461643821547755,4.4811175201467215,4.303494328368292,3.8092070778226743,3.7296603527834247,4.434555540097647,4.630226267718512
[4.0-4.5),,,,,,,3.80791071548899,4.185951811204461,3.573775772318086,3.7965281900751355,3.699209384531435,3.5047993670255027,3.7294626025271986,3.673520188147598,3.986358031492896,3.9182887170179446,3.5078353810372844,3.790099740309483,3.6667482143496652,4.111079644595501,4.097673653997722,3.4012205444242856
[3.5-4.0),,,,,,3.807895120966678,3.922031999789801,3.1673419950653128,3.2079009103785547,3.8226662063284462,3.2910695025112395,3.6481383373150065,4.3101351397673335,3.2496238880107637,3.52972324835293,3.741214942608447,3.172544265235457,3.422915370984896,3.3027570860447155,3.4678357293988604,4.226495024141939,2.862289931055811
[3.0-3.5),,,,,,2.7765697018951756,3.0522236367249977,3.1142038342753433,2.9183723399648,3.020621268764632,3.1257414645889026,2.596056578975832,2.9888585903179146,2.7226354499908045,2.592044419950929,2.954812889807501,3.1251243016456303,2.47153005683333,2.5180897782658174,3.222802446308328,2.826719230514357,2.815653510397089
[2.5-3.0),,,,,,2.4442554164565045,2.4001054232794363,2.590120776842738,3.0012243213552,2.504246793280265,2.3587820997730002,2.3393884275192796,2.3323397736114435,2.703504666663435,2.1502238675371435,2.274560218548651,2.7150706925275916,2.779302130847096,2.336216542052669,2.7480084641211375,1.9686742447111345,2.3638221671519104
[2.0-2.5),,,,,2.161138848408411,2.2887801683846885,2.1284477765790606,1.9823750324469274,2.410228389551739,2.186777351840592,2.1222651243031097,1.8547757973206032,1.9614497846406327,2.3300923477354982,1.7782749091156593,1.9932657529939193,2.418480343245825,2.1849947777375447,2.1177938422937452,1.8656809554259113,2.160456407514086,1.758670454565657
