"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Wave Break Calculation [non-dimensional]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2.083333333333333,2.083333333333333,2.083333333333333,2.083333333333333,2.083333333333333,2.083333333333333,2.083333333333333,2.083333333333333,2.083333333333333,2.083333333333333,2.083333333333333,2.083333333333333
[8.0-8.5),,,,,,,,,,1.9642857142857142,1.9642857142857142,1.9642857142857142,1.9642857142857142,1.9642857142857142,1.9642857142857142,1.9642857142857142,1.9642857142857142,1.9642857142857142,1.9642857142857142,1.9642857142857142,1.9642857142857142,1.9642857142857142
[7.5-8.0),,,,,,,,,,1.8452380952380951,1.8452380952380951,1.8452380952380951,1.8452380952380951,1.8452380952380951,1.8452380952380951,1.8452380952380951,1.8452380952380951,1.8452380952380951,1.8452380952380951,1.8452380952380951,1.8452380952380951,1.8452380952380951
[7.0-7.5),,,,,,,,,,1.726190476190476,1.726190476190476,1.726190476190476,1.726190476190476,1.726190476190476,1.726190476190476,1.726190476190476,1.726190476190476,1.726190476190476,1.726190476190476,1.726190476190476,1.726190476190476,1.726190476190476
[6.5-7.0),,,,,,,,,,1.607142857142857,1.607142857142857,1.607142857142857,1.607142857142857,1.607142857142857,1.607142857142857,1.607142857142857,1.607142857142857,1.607142857142857,1.607142857142857,1.607142857142857,1.607142857142857,1.607142857142857
[6.0-6.5),,,,,,,,,1.4880952380952381,1.4880952380952381,1.4880952380952381,1.4880952380952381,1.4880952380952381,1.4880952380952381,1.4880952380952381,1.4880952380952381,1.4880952380952381,1.4880952380952381,1.4880952380952381,1.4880952380952381,1.4880952380952381,1.4880952380952381
[5.5-6.0),,,,,,,,,1.369047619047619,1.369047619047619,1.369047619047619,1.369047619047619,1.369047619047619,1.369047619047619,1.369047619047619,1.369047619047619,1.369047619047619,1.369047619047619,1.369047619047619,1.369047619047619,1.369047619047619,1.369047619047619
[5.0-5.5),,,,,,,,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
[4.5-5.0),,,,,,,,1.130952380952381,1.130952380952381,1.130952380952381,1.130952380952381,1.130952380952381,1.130952380952381,1.130952380952381,1.130952380952381,1.130952380952381,1.130952380952381,1.130952380952381,1.130952380952381,1.130952380952381,1.130952380952381,1.130952380952381
[4.0-4.5),,,,,,,1.0119047619047619,1.0119047619047619,1.0119047619047619,1.0119047619047619,1.0119047619047619,1.0119047619047619,1.0119047619047619,1.0119047619047619,1.0119047619047619,1.0119047619047619,1.0119047619047619,1.0119047619047619,1.0119047619047619,1.0119047619047619,1.0119047619047619,1.0119047619047619
[3.5-4.0),,,,,,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428
[3.0-3.5),,,,,,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237,0.7738095238095237
[2.5-3.0),,,,,,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.6547619047619048
[2.0-2.5),,,,,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857
