"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,864951.1130761728,1070741.548906525,963668.5364906224,922082.4609486142,853386.2168932402,1017353.1068406955,818311.1470534863,928408.0613913017,850190.902254033
[8.0-8.5),,,,,,,,,,1049709.29501518,862370.4054779859,988092.6599778177,820657.2280289321,810671.7625090498,855954.8714126957,778705.7851381277,758483.2797087547,939993.5516757297,827484.7433327946
[7.5-8.0),,,,,,,,,,852891.3589336955,803148.6933327873,739949.7483841586,974816.7613227817,827920.0292998676,871420.7471112846,833063.3021266821,799250.6859292666,980761.9028569596,677164.0667469099
[7.0-7.5),,,,,,,,,,747176.5465180972,762810.3575683845,843272.4198061093,783041.4827247626,743998.869343018,717581.9390103819,686781.9917175518,805326.4219799213,825450.9225825995,710851.6265326593
[6.5-7.0),,,,,,,,,,993421.5284059882,880920.2147337905,740653.2831032712,782451.8646903822,689966.7202796061,664969.5329205841,629033.7866415383,694523.2800836787,728858.738203032,648580.6549796044
[6.0-6.5),,,,,,,,,713730.3478410699,674803.0944868609,732287.2090981194,660906.0846385385,683941.4329410179,796103.5559710148,765020.0533536123,659926.580046617,580521.5463031045,651671.9344538508,769058.9033492979
[5.5-6.0),,,,,,,,,786410.9930406084,737110.1230309064,842234.4983466389,605653.6668148419,675704.760853664,648773.8449851992,637040.5572868779,608533.5618936946,597211.9674301484,587399.7831650176,682333.5600977897
[5.0-5.5),,,,,,,,579049.9226447936,694494.1705854427,642425.5512658572,650655.1906391743,535675.7898319088,627053.0345124429,597876.6060400838,538355.0346514554,539550.6838508404,458229.03784090065,540257.9190874473,546686.3017221637
[4.5-5.0),,,,,,,,550824.2932871586,559300.6273608378,604520.246170292,535842.2885955853,542090.2709327361,578705.6405613633,479421.0974151074,520340.19324047933,452449.9191103435,525321.6869524845,498385.8867293746,567351.909063682
[4.0-4.5),,,,,,,471850.4382545577,503558.1722004322,501778.01329031267,547593.4561977022,540535.3845403038,490915.1768917977,496324.911137094,475182.92977393797,489505.29808476556,447671.6904269027,476300.2807003771,488745.4355871877,499779.8724656326
[3.5-4.0),,,,,,519063.2101172705,522198.5081728899,456690.03630235366,414532.7496905006,443629.7108507815,405156.49674559967,428672.8624665237,520899.19099254225,450683.20948873047,464115.4649452419,434473.31935340445,401746.3519571208,436521.4761086954,396229.962614128
[3.0-3.5),,,,,,379409.5974760188,380680.42471733765,366203.7510969886,388912.6308201031,407954.7468667901,360278.02785792795,449105.01556052134,394423.0627485349,402447.5107880967,375976.5034191519,324403.83155757695,397657.004498272,328734.5233504508,327977.79340035445
[2.5-3.0),,,,,,349785.2931269848,349529.9887392076,355824.2211083464,384632.484394192,349840.0362295343,311561.5268539185,321225.4640553712,380541.552465923,349744.6675872427,283536.1733517687,292175.3463163044,346079.4790941936,336544.97304688295,369979.9925402896
[2.0-2.5),,,,,248663.17436279566,284279.20652258064,288658.8790571181,284206.0307400902,329809.2693241484,339159.1498721496,342390.286691887,289362.0713624035,269849.4222691966,331446.7513474685,261578.05846667284,282238.56348783575,320534.75230856123,260340.65199416268,329783.7015900302
[1.5-2.0),,,,194218.5301496681,209334.76844807464,226739.63098879438,222228.30723159615,260510.61369766665,230072.1260389619,237018.7864498056,235917.552090314,224031.07136153648,245070.6817794384,234855.68310474567,235560.86508124418,225607.75051712865,193479.26624099383,201253.62394543618,232251.41605415498
[1.0-1.5),,,124347.32041906132,146439.95312994535,176527.06408492613,196018.68995152687,181585.18612084468,180784.26914204186,177907.35767388227,196706.6986073418,179815.9535210275,170408.60109624435,204163.86012245234,173453.7317495426,170043.4148732379,162698.2902377012,171683.04354510512,159207.3405340178,141860.59133509954
[0.5-1.0),,70214.51091549109,91347.41575480791,117561.65291911789,116746.27200678921,122587.69021408483,124983.96089639804,120049.76884710844,132336.61372903272,115924.40890098497,119972.34113785603,130176.86602721973,125851.67492671077,126207.9436047275,117302.3330090235,111788.08203084463,108864.23563752916,101697.82869632306,111271.62720312255
[0.0-0.5),39196.65055467131,47878.04545914512,54649.71545552801,58682.77913335363,62716.055437552415,65759.64717092304,67678.07919602588,70063.3713996636,67680.37702826117,63681.45822797656,62336.82559333683,65154.22932368904,65175.45427131687,68628.85978870803,64471.003036743154,60085.55050690577,62881.44410482919,63015.49683664311,62334.548898034845
