"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1360696.6619184406,1984350.5072298755,1333733.0194730514,1286810.9897281465,1161097.397014472,1769800.4781228746,1001363.2973342986,1232748.8138392568,920594.2713749202
[8.0-8.5),,,,,,,,,,2030794.5299274267,1348947.359873986,1678857.0909208236,953098.2227706637,983049.6357166221,1168352.9585952424,1021388.1398116645,851585.5522959715,1263654.4276627386,871677.3217990526
[7.5-8.0),,,,,,,,,,1313756.8375811726,1163531.147986995,911650.8667477627,1366591.6427294055,1025313.6512881448,1212166.9293478345,1175684.9142561613,951347.6838626518,1375242.0174725263,570644.8972704862
[7.0-7.5),,,,,,,,,,999969.2896189815,1042936.7486232696,1206719.4543450645,864233.4852014872,820804.3816358241,806343.0175610376,782983.1746478765,970280.0165540767,961114.2976965826,636351.5974248529
[6.5-7.0),,,,,,,,,,1810873.1511862406,1409168.6624469648,918298.3378800437,863477.1222728611,698668.5016626895,686222.6687410123,649709.5826920125,707720.4484972926,741052.1621939727,522640.2306023595
[6.0-6.5),,,,,,,,,1046163.6671117205,804024.4914321208,956594.6718127517,720659.8021579856,649608.0487622557,945256.4544721447,922815.3363234407,719809.2691818947,484752.9797266863,586814.6981290693,750875.8171366632
[5.5-6.0),,,,,,,,,1290164.253705138,967973.1626269224,1282736.2151314975,597720.1323262258,633233.016445794,611614.1565684095,627141.7752561743,602433.9830886582,514796.05316797446,470142.6519906881,581949.9529470032
[5.0-5.5),,,,,,,,728998.0962244138,990210.2055703823,722479.810681645,745510.3276922257,460689.7047762449,539280.9771073383,515409.7459870409,437419.2177891022,467894.0674889123,290257.0051216281,392870.2574229857,363649.78869091737
[4.5-5.0),,,,,,,,655686.1121740806,624835.2263372614,636263.4145173284,491210.323604707,472087.0393341272,454813.5756553834,321239.8166983715,406122.4121812434,319859.81383513554,390782.15474051714,329622.0667682546,392390.72972284316
[4.0-4.5),,,,,,,513842.7233150427,541727.5939584154,493735.62660637853,513981.9598295942,501262.62193719926,379693.8749705258,327206.14683723194,313832.2468254556,355638.1459036007,312325.39093488513,316530.6052248268,316447.2235070613,298916.3162422444
[3.5-4.0),,,,,,774857.2195605707,639665.5609321389,437382.632414331,325264.58043592656,325569.00198634656,266731.69252528663,282555.9705685613,363288.2302296099,280021.10764386284,316894.71365001815,292529.08143534156,217762.38108750503,247093.48902123878,180665.87700397742
[3.0-3.5),,,,,,390809.03475106036,320769.9694469298,268939.4859497815,282572.8879261677,270970.7542753973,205948.18972556933,313307.748220509,197721.8003893962,218480.78424937432,198965.2531065098,152277.79010906362,213068.49815635628,131453.19307863232,118321.66638227188
[2.5-3.0),,,,,,326090.72939678247,265185.9337169769,251986.70214881515,276073.2609801198,192454.59595670985,148222.7430471315,148760.50722826546,182490.7157716686,159663.97794494714,105089.4284613541,119941.63276071941,156492.0257712005,138891.9364608781,155007.13766543238
[2.0-2.5),,,,,179103.0922122454,203834.08962580288,171971.47492323993,151501.69110695584,195623.64964220417,179598.45620384824,183487.02837321564,117291.49209294897,83698.46930718064,141453.81222317694,87419.78148553529,110895.00263573225,131399.9086653576,77301.88937037307,119693.19686601455
[1.5-2.0),,,,134601.60476301197,118742.3909325734,120014.46856802635,93181.45999153129,123852.06683696661,85034.97827696937,78666.95811628824,77865.77612844494,64349.4843099303,66737.01393696458,63781.855476068784,68174.8211955715,65605.88466030027,40035.60019299948,41608.39521225875,53217.09903485475
[1.0-1.5),,,65116.91883618471,65228.139805900326,77857.01944555687,84305.45774212565,56773.78527361049,51266.63173084332,45297.700200576255,50169.875889877134,40112.00990468146,32745.729446110887,43069.20965118273,30376.23797976171,30592.07327238357,29081.418395402914,29612.5836958008,23023.412964413306,15299.742171181355
[0.5-1.0),,21754.264748706708,25213.99324094709,35350.15761348415,25453.187606696203,24432.21999863,21035.61692072454,17110.767383223785,20740.523719195964,12286.840752167485,13545.94463329621,15982.626341357553,12187.994002786172,12976.456706235953,11150.486481572176,10307.35984880361,8420.307958947651,6458.935987916983,7677.459546300488
[0.0-0.5),284.434849631382,2357.0302131113517,2675.345795620496,2579.0216414834545,2658.0455982190106,2764.4906919432087,2568.1419707869527,2722.3918301033023,2154.5898729588903,1407.800085699998,1270.4909260778566,1467.831500832538,1229.4156375407024,1635.584325039896,1311.3512154515743,985.0991835563221,1095.6395695579574,1046.2196216866744,897.8833929123662
