"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Average [m/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-0.00032713457585136364,-0.00065721514323235,-0.00028050157711372026,0.00025912787359508337,2.29577071025678e-05,0.00041347466842528105,0.00018447765738603157,0.00034766680703590273,-0.00017214348425740746
[8.0-8.5),,,,,,,,,,-0.00015755145014714457,-0.0006488669922795088,-8.557841118191248e-05,-0.0005665474464577063,-0.00012638931266504487,-0.00027024694167273623,-0.0006533465675754838,-0.0003349325022527775,-0.00012237989539286816,-0.0004477482717365731
[7.5-8.0),,,,,,,,,,-0.00019833014683082086,-0.0004641654542011667,2.9285336675014953e-05,-0.0008666153327834315,9.571698303775309e-05,0.00012604365066510247,6.859304546388881e-05,0.0003672471783124866,-0.00018139994560539943,-0.00011068576665865356
[7.0-7.5),,,,,,,,,,-0.0003197404174077397,-0.0002039306052110264,-0.0004958700141634096,-8.80567172102561e-05,8.472229286161142e-05,-0.0002156961666878238,9.846502567135484e-06,-0.0002509321283289494,-0.00045878132597808004,0.00031516578200432453
[6.5-7.0),,,,,,,,,,-0.0002611499819707257,-0.0001789006502350403,-0.0003523372023356715,-0.00037328214311750554,-0.0003797509286275606,-0.00011325322590139837,-0.00010931342171895078,-0.00031763185400306257,-5.702003240483704e-05,-0.00011574494731457735
[6.0-6.5),,,,,,,,,-0.0004941095949194596,-0.00022964257081432588,0.00015049393541368235,1.5552752575810582e-05,-3.8401538889808394e-05,-3.0938235409622935e-05,8.886080878037661e-05,-0.00017997229297866146,0.00015877032424367916,-0.0005701382990041691,-0.00013356919584825262
[5.5-6.0),,,,,,,,,2.8029558327096736e-05,8.578170682078434e-05,-2.3380339924956367e-05,-6.020127904795123e-05,-0.00012105613790844116,-3.209568472301681e-05,-0.0006100676397124167,-0.00022461727695582178,-0.0002030275168497542,-0.0004038110328190679,1.2823912752905016e-05
[5.0-5.5),,,,,,,,-0.00015109321248361774,-0.00040537226397102335,-0.00041068684711512436,-3.5798560643690115e-05,-0.00021302520962712717,-4.57926704280328e-06,-0.0002717466499203509,-0.000239471537548969,-0.00023547716021422296,9.491349380391298e-05,-6.249082607219667e-05,-0.0001430272620924103
[4.5-5.0),,,,,,,,-7.01915040179162e-05,-5.036921314442805e-05,-1.0338865263505139e-06,-0.00027242499574187064,-0.00021407474486096194,-0.0003586065031740801,0.0001689178397037983,3.9643162971437526e-05,-0.00021344239678006423,7.551542779022437e-05,-0.00013098676295395163,-9.680996478073992e-05
[4.0-4.5),,,,,,,-0.00012313476229091686,-0.0001473731727553796,-0.00012830774390435118,-8.05138105782263e-05,-0.00044784614597377057,-0.00046243805793271133,1.0736203342357264e-05,-0.00012736289256589666,-0.00011876235591711781,0.00010893595978904487,0.00022558415466959462,-0.00023587667132906812,-3.665260981696558e-05
