"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Maximum [m/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,4.624015802676726,4.318874324092369,3.764714617328425,3.920655769066936,3.7177758169616313,3.238433169519118,3.701887261593092,3.312636545620354,3.461587502070526
[8.0-8.5),,,,,,,,,,4.749437914923809,4.299420531606113,4.573794888655429,4.253015415867243,3.6437565742857676,3.20981047401554,3.443891466162787,3.3296500878762596,3.0974837348524025,3.5213345818697266
[7.5-8.0),,,,,,,,,,4.788357254112804,5.019617025720926,4.1702799900692105,3.498636315023711,3.9944721752923686,3.601699527968043,3.285065030901443,3.2357839808364517,3.3347400649259304,3.0582910397516954
[7.0-7.5),,,,,,,,,,4.47728122096011,3.870086854814285,3.7228030511242727,3.8358041569742114,4.009271494368818,3.22105528057763,2.961139367017759,3.312363734973325,2.6666900788543324,2.9276363599631776
[6.5-7.0),,,,,,,,,,3.825375158756326,4.344133015637322,3.800436919112446,3.228044011782621,3.0304381193440295,3.109940337213446,3.277381016196451,2.8723987331340104,2.9160679666898304,2.839649377505978
[6.0-6.5),,,,,,,,,4.832492149700727,3.9078666888933578,3.5175769300899864,3.585037353559487,3.5083066800890874,2.9764038453233685,3.1277952720419817,2.8177534923974505,2.539383092546622,2.360337368242283,3.1265697991968837
[5.5-6.0),,,,,,,,,3.7864314671694412,3.5571486426570535,3.988298132735849,3.2354347823412346,3.094267714482317,3.1440089724849503,3.283060198390202,2.691478015685665,2.313813225316116,2.353608216037391,2.461126712596952
[5.0-5.5),,,,,,,,3.9526783537821553,3.6005956532692798,3.302286149895748,3.404604680032183,3.4035306079829173,2.748225193972175,2.5661490794791826,2.5706319725059434,2.595897376968651,2.4056077899040926,2.4360471957863514,2.1047470742966916
[4.5-5.0),,,,,,,,3.397561649595705,4.2593470175716055,2.9797931767808996,3.0898671928918895,2.758514018410475,2.48618433014702,2.3586946417773365,2.357999319594411,2.5050795123784035,2.089773747250076,2.1702849334816334,2.490124324165894
[4.0-4.5),,,,,,,3.4380370144149435,3.79330452851919,3.1051529472767556,2.8285772113111434,2.8678906693162607,2.6684928550980005,2.694526420664413,2.594308425306013,2.4768711378679096,2.1136471735205338,1.9429733696488976,1.9310926324043158,2.035035388734646
[3.5-4.0),,,,,,3.6702211827465714,3.3000865169072746,2.8167469484867347,2.7084984681749726,2.8009006881136385,2.4532315303885306,2.349178833551324,2.3833013639913148,2.289615841343675,2.0353358151731795,1.9208228244485634,1.6177376579818956,1.761493787035627,1.7899504074158834
[3.0-3.5),,,,,,2.8388964249042807,2.913691339144135,2.689525336687625,2.4960070913536727,2.2324119872780415,2.109946051491448,2.1817410833485718,1.8283557493973412,1.88952645338928,1.6407718003440355,1.7730185038733823,1.5857501387316915,1.4830737260992708,1.3875490730471083
[2.5-3.0),,,,,,2.656294993746632,2.6292327464326246,2.583150691342965,2.5475122175041585,1.9680648706613142,1.9442715561653032,1.8417227892653272,1.6250090394712926,1.7502076939529863,1.8923678770631789,1.5455164440260742,1.2380394886089594,1.3324904973530285,1.2368583047099537
[2.0-2.5),,,,,2.1312090961039223,2.21332810094721,2.398223547687719,2.0326314202870504,2.362638905780414,1.8129229602201649,2.0438122531909237,1.4424383575441777,1.5108487046764116,1.5280149524436417,1.3755953604080666,1.2781000882879956,1.251356265396619,1.2234334054400349,1.2068103225012816
[1.5-2.0),,,,1.8847096996406312,1.9847950790507898,1.5598073899691771,1.448242200889164,1.4297604295303283,1.8797961821660927,1.4541589500816277,1.3025217326483673,1.3801952914899493,1.3284561990086319,1.3153288292034928,1.3552767055669608,0.9409782501255053,0.9898923254519734,0.8880609330676807,0.9306660903432417
[1.0-1.5),,,1.3640401327994474,1.206395072807663,1.2108939671381265,1.274852476452961,1.3104070767967437,1.2640064542881753,0.9721888070476647,1.0363696988727857,1.0506205711517242,0.8735078318888092,1.0391377521371903,0.8380940960426542,0.8396570519291671,0.7929101840064458,0.853975898319289,0.7083275946465462,0.6173656372805745
[0.5-1.0),,0.7917459112817925,0.8937235142321704,0.933573648728097,0.8969622838142688,0.9362025885623095,0.7912731127899152,0.7673703910570818,0.7512127736833795,0.5618824917874957,0.6263589871662805,0.6797837605204258,0.5171147511002921,0.47970143497986406,0.4735563745787071,0.5122067548843057,0.44358474829052735,0.3747415626047863,0.4162446342805459
[0.0-0.5),0.1396189260240411,0.2824929933451077,0.2868632172302406,0.3033146873724821,0.2802369358276589,0.29660485362266376,0.2649345855156283,0.24335000349232014,0.2554635408031066,0.2273860739014422,0.22749451114579186,0.2136057021299101,0.22443549773438864,0.17188829903893982,0.20295582650680327,0.16981639940180324,0.13404814405083118,0.13376630779196796,0.14381980851953646
