"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Maximum [radian/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.5396678180878614,0.49973735176790923,0.3499650435037257,0.2259962851741372,0.18427368299013194,0.11445183395790641,0.08605120387531852,0.09524510416209164,0.29256764097048377
[8.0-8.5),,,,,,,,,,0.562281786579698,0.49318998827714466,0.3922625721411312,0.31251988023956073,0.20048586599938187,0.14745526836904557,0.1078530925738319,0.09276243022902037,0.0712815459441854,0.2731008488872026
[7.5-8.0),,,,,,,,,,0.565155999809629,0.49277665469181164,0.4012377601256976,0.2637408553887736,0.19621421965188876,0.14918407060400568,0.09929690085314954,0.07564238293867356,0.06009000226724535,0.19278474109332033
[7.0-7.5),,,,,,,,,,0.48597885998807366,0.37834042228350756,0.3730219160516707,0.2807993530108949,0.2041678770333027,0.13644996090058975,0.0909296909544898,0.07169104275272342,0.05588106001818286,0.23854253250241028
[6.5-7.0),,,,,,,,,,0.4598096117675763,0.38956713444723073,0.3466130060417928,0.2957736618283845,0.2260289958851478,0.11648348038250503,0.11148364115184337,0.07192989995930553,0.05555199722307809,0.19444217086598847
[6.0-6.5),,,,,,,,,0.5584782626398157,0.41032947666628344,0.3321090383412313,0.2941688472647915,0.23516581858736446,0.1577469909949072,0.11323341715532824,0.08186724510409614,0.06468265545565732,0.0536862396838166,0.18785085242244978
[5.5-6.0),,,,,,,,,0.578638619493391,0.4016203480360695,0.309710455053606,0.3111616954845812,0.23362401973486543,0.13248840808289428,0.12583021077158818,0.07455792805218903,0.056084185918185446,0.04778266943677671,0.18849763577792628
[5.0-5.5),,,,,,,,0.5569721499658496,0.4301556647621312,0.3328897524040196,0.3122353542330943,0.26922053425452863,0.19438887278989075,0.13254651663302547,0.09851045191305144,0.06777581021186004,0.05036969711795855,0.045183846377616715,0.12480228919952985
[4.5-5.0),,,,,,,,0.5605727690830163,0.416312216450599,0.3434516159376088,0.2778833731933814,0.20489126900182303,0.15037054564419922,0.12234251331636989,0.08112976229321776,0.057084161688277166,0.044837606380551585,0.03748710459269932,0.12002851964169195
[4.0-4.5),,,,,,,0.617769444312486,0.5154095791777518,0.39392188636863024,0.302719578887271,0.20895416346388596,0.1935351411610613,0.14722639264193352,0.09792919596950957,0.07475491399947184,0.06423909432324915,0.04137676185407029,0.033823311396846675,0.12079662954771375
[3.5-4.0),,,,,,0.7077864987986114,0.5893283233015688,0.415879849619128,0.2930714589890721,0.2788137893060278,0.20662716511389476,0.17408606239848298,0.13528971977153417,0.08754837986689169,0.0718529779492084,0.04676967206233618,0.041959226526673485,0.03247528446743146,0.10255537287029058
[3.0-3.5),,,,,,0.691369716543156,0.479928445907849,0.3542281910122357,0.28405152983698473,0.24179982020541424,0.18215208406111472,0.16551139444870988,0.11081627556307125,0.08065169844088618,0.056262527542325046,0.04520672619736327,0.0334940954736384,0.026131981687839107,0.08545802425481788
[2.5-3.0),,,,,,0.4737197537247585,0.4517658207185779,0.2719122083308064,0.24388041637698563,0.19129699676272563,0.15664877303107916,0.1235895998010459,0.09441526697712505,0.06928647896354487,0.055065190393041294,0.03466148235830071,0.027617039602112474,0.022215960224732947,0.06776459276665295
[2.0-2.5),,,,,0.5207934994757327,0.4228380137685518,0.2896768177130384,0.24719892234364468,0.18167422154291907,0.13501260342627594,0.12604324707104123,0.09253697369481882,0.07910621817052196,0.051508610676589524,0.043191921771461105,0.031058194286196494,0.022538706499824913,0.01895582155065557,0.06161455788353472
[1.5-2.0),,,,0.6452644246150965,0.44291197230060614,0.33568725873807204,0.2661450145021824,0.21491351019989,0.14116156749450595,0.11841493221497645,0.0946775423995929,0.07895940475033726,0.06292960121429095,0.04160524304327316,0.03088803070241426,0.022632258274623528,0.01681009911234064,0.01493000525542565,0.04345348337004569
[1.0-1.5),,,0.5226990026025753,0.39205648218946715,0.3168718146304194,0.19721730474197394,0.17059314546366613,0.1278036113793165,0.10854300358727248,0.08186345168622486,0.06648798064539424,0.05871929969861572,0.04476554110357356,0.03333392653182734,0.0255297364350533,0.01627662852334,0.012153462094422956,0.009941413470647791,0.035296531034865526
[0.5-1.0),,0.46441951131893894,0.35101509740471815,0.26115086897546946,0.18336718623885523,0.13293484610457873,0.10212871037706478,0.07999726467805578,0.06559244747992998,0.05101372343612938,0.038525607318870385,0.037615361308340325,0.026411187430847565,0.017223674547801465,0.013832549283269484,0.009671293275993621,0.007735553496864441,0.005544375651039218,0.019302730664635327
[0.0-0.5),0.1063408823099417,0.16436898139966702,0.12015376654654061,0.08820948333900828,0.07188384420096545,0.046696213598834885,0.03636287124511437,0.029032987690257826,0.02109771509333727,0.017614259371534116,0.014578572216597521,0.012163449120834526,0.008573905118183643,0.005607944122953556,0.004409379263163194,0.003226206628896891,0.0025545079548408697,0.0019450737518678434,0.006459545294340834
