"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Average [radian/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-5.744989748634528e-06,4.1147253138503104e-05,4.133058674361912e-05,3.841137479075337e-06,1.122645463450077e-05,-2.5886012716372827e-06,6.092994544320321e-06,2.73724862625417e-06,2.0847719790332693e-05
[8.0-8.5),,,,,,,,,,2.6724221678674193e-05,3.6394795386020364e-05,3.0941221077789946e-05,2.0684897473801853e-05,1.260703535724365e-05,5.562873713875305e-06,1.8519178798980959e-06,-2.6028674589632713e-06,6.008765872740442e-06,-7.244789179491727e-06
[7.5-8.0),,,,,,,,,,4.9362481647785646e-05,1.332806432023941e-05,1.5762827511513434e-05,1.6710990459558307e-05,1.6501058116491268e-05,4.044159862129979e-05,3.5569641439778644e-06,-5.443862408251381e-06,1.4902670059178906e-05,-1.6180288071017552e-05
[7.0-7.5),,,,,,,,,,7.968946685181133e-06,-1.027415482145661e-06,4.2522399119158164e-05,7.5180180399279845e-06,-1.0126912098606065e-06,4.058540850574315e-07,5.8661250504906e-06,7.631884986053234e-06,1.1891411447800316e-05,1.512450289091478e-06
[6.5-7.0),,,,,,,,,,1.600130658547267e-05,-4.5582151596002694e-07,-1.572568084270274e-05,2.132955169376092e-05,1.3530779319608847e-05,1.4475730563477833e-05,7.05163074936495e-06,-4.85976932272045e-06,2.4027580340169526e-06,1.8976290710579885e-06
[6.0-6.5),,,,,,,,,6.9562005465770756e-06,1.0871017654101281e-05,3.096424869617024e-06,5.22976458826718e-05,1.4211599797787153e-05,-3.84005686280741e-06,1.693456314503922e-05,2.5747604722587458e-06,-2.0836134449828015e-07,-2.164680750758711e-06,2.7690986288330596e-05
[5.5-6.0),,,,,,,,,-1.2106881143558983e-05,5.047893155436457e-06,-3.0742839774440902e-06,-4.122540438539781e-06,1.4761234196936229e-06,2.5966584928909516e-05,1.015994409548339e-05,4.623236354848198e-06,2.6476720452512285e-06,5.362627225004968e-06,-1.870233950211899e-05
[5.0-5.5),,,,,,,,5.263086172883701e-05,1.311979340793751e-05,2.371369939558539e-05,8.864545898002468e-06,1.177700279238986e-05,-5.1063423273636825e-06,6.135212308803806e-06,2.676611447618418e-06,2.5080028400966677e-06,5.4370073355216425e-06,2.470084834325419e-06,3.1738354111523505e-06
[4.5-5.0),,,,,,,,7.161515348999461e-06,1.7760806624667413e-05,1.0507345724208589e-05,3.739222171623194e-05,1.3558631423196297e-06,1.3570903708748853e-05,4.3420291582944085e-06,6.189645776332011e-06,-2.7144536527982994e-06,5.515879544105042e-06,3.9032095602304354e-06,1.2343295873590907e-05
[4.0-4.5),,,,,,,5.092128943711786e-05,-6.52422366484891e-06,-5.065952893244286e-06,1.2336067642090336e-05,7.646018783535209e-06,1.886214157797175e-05,6.694034136015986e-06,4.135546114885399e-06,6.632603551516404e-06,5.862281188343081e-07,-2.7685098518216097e-07,-2.4184029502600826e-06,-8.199975021589473e-06
[3.5-4.0),,,,,,8.114449136534988e-06,2.571469083401436e-05,-1.8657134384848233e-06,-1.6160603283284207e-05,1.438957689688241e-05,1.3948471236376051e-05,1.4792167383276911e-06,1.4319179856216317e-06,9.942185256676123e-06,-1.3820393505311694e-06,2.870475571759992e-06,3.79178336003289e-06,-1.7800567018785156e-07,-6.860774273542105e-06
[3.0-3.5),,,,,,3.151525607217274e-05,2.6728916576813223e-05,-1.148106513253287e-06,-3.5519155526056988e-06,2.290510858982863e-05,3.377122875719826e-06,5.110725853986192e-06,8.329553564331099e-06,2.154361921861637e-06,1.5719319341970863e-06,1.8329789933201405e-06,1.6152581893907222e-06,-2.5009976620370438e-06,1.8751970450414612e-06
[2.5-3.0),,,,,,1.8084439897852117e-06,4.380549374739127e-05,-2.372199429512638e-06,3.7589781013703834e-06,1.4489600093138448e-05,5.896978479534444e-06,1.4903764488922423e-05,8.890545941449862e-06,9.499403145050295e-06,2.5011419373071507e-06,3.910026302659094e-06,1.1685348454980706e-06,2.4972745163637842e-06,2.1157822211924173e-05
[2.0-2.5),,,,,1.6297081475913652e-06,1.2681729149381567e-05,9.454008808160906e-06,2.9077696838383896e-06,4.081625716952846e-06,-6.444555928373835e-07,2.161917451020111e-06,8.683506788694892e-06,3.792793971489696e-06,8.653582149163532e-07,1.4015054705902945e-06,4.245417559302391e-07,4.510087559818743e-06,3.2375381498921134e-06,5.380934095957388e-06
[1.5-2.0),,,,2.1424822672509146e-05,1.0375920977435658e-05,1.8033062351802295e-05,5.668737735935024e-06,5.432861200099411e-06,6.662486866426779e-06,1.1429774282881456e-05,5.528437891489209e-06,7.813477573150171e-06,1.618358220383738e-06,1.0947598636304893e-06,2.3180108988931094e-06,-5.115486442573405e-08,5.109788815145238e-07,-1.1487084001667836e-06,-3.446736981350336e-06
[1.0-1.5),,,1.996755175901229e-05,1.6544694075431745e-05,1.781582745666013e-05,5.325109220404405e-06,3.1568589412664895e-06,9.091884143316141e-06,3.867506812320905e-06,6.736214485751672e-07,2.1304137127312573e-06,2.9726621966389547e-06,2.7741864547498463e-06,2.5306867937557326e-06,1.0712553441669921e-06,2.6558472070246303e-06,9.542814148757317e-07,4.3009873554337366e-08,2.5613521621981672e-06
[0.5-1.0),,1.0119576264360253e-05,2.2443016217993415e-05,1.9448698094559692e-05,1.2608943873054004e-06,3.381607700629844e-06,5.173578028978508e-06,8.207541359824154e-06,1.9173527531706345e-06,1.1807081511268095e-06,9.102257745288288e-07,2.283561030914084e-06,-7.885100740693337e-07,6.694281524821972e-07,8.273191714886547e-07,3.985622360149869e-07,1.2214935379901547e-06,7.820884719344517e-07,-1.5219243710186972e-06
