"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Delta [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.7043770014085362,0.6843169573309227,0.5690242895273183,0.4559955430854365,0.32956953694983715,0.29409194048474574,0.2056399529902232,0.18181044887466655,0.6055588483455634
[8.0-8.5),,,,,,,,,,0.8928929160405229,0.5985031443135492,0.6110066395350022,0.4937693751668585,0.3917430418771032,0.2771367373990735,0.22470935469658931,0.18273374756019464,0.16211725357948764,0.6672900189914495
[7.5-8.0),,,,,,,,,,0.8012553214194172,0.734729675910758,0.6177247998898949,0.5299728928366607,0.36185983703648905,0.2850953231712198,0.22743459403144406,0.17560743908529156,0.15278967865505694,0.46274256562452876
[7.0-7.5),,,,,,,,,,0.635547093896809,0.5190488977509654,0.5188040393749853,0.5563410576326842,0.3814203368390976,0.2557204976431492,0.19424571491906784,0.18064156980661356,0.15210691740512564,0.47414768368924454
[6.5-7.0),,,,,,,,,,0.6174586166722962,0.5246076134995069,0.5216897091787853,0.4064343119856643,0.36680551861557836,0.22741415813111782,0.19498475517412756,0.1566642374707371,0.14269784919526882,0.40745057072432256
[6.0-6.5),,,,,,,,,0.7189684506631437,0.5649658316112158,0.46668379543286964,0.5266513524081556,0.34927599080120364,0.2660920107972774,0.2314433626974287,0.17216334596417432,0.14746148806518003,0.12418553408502248,0.39929118306783407
[5.5-6.0),,,,,,,,,0.7306605488347613,0.5252055163552133,0.48125153704115897,0.43185455874712086,0.33474259926879874,0.2762875444676469,0.2081233948963369,0.15828792026902266,0.12672363331271594,0.09765290382725875,0.42064582666680594
[5.0-5.5),,,,,,,,0.7069101126119357,0.5949074468421045,0.4600433753669542,0.4104967699424324,0.40797660871037594,0.27824926371278397,0.2192145666248349,0.18933991145836299,0.159424229774646,0.0991806491358311,0.1088736500646499,0.3299555952718929
[4.5-5.0),,,,,,,,0.6881862405244072,0.518579158468346,0.4349925699855191,0.37764268675718193,0.34024777969970804,0.2690358931021948,0.2089884841646873,0.1521111096154228,0.14093801766491904,0.10627549631117614,0.09071992043451102,0.26763219972701374
[4.0-4.5),,,,,,,0.7233419204982765,0.5884119401150985,0.5145950968806489,0.4094556265394257,0.31275709453463574,0.33636594465730646,0.2618222778852802,0.17591334621585597,0.1424360000188981,0.12613152199744987,0.10601567489729402,0.0822163380675488,0.26787200358611385
[3.5-4.0),,,,,,0.8647950533637558,0.6322536756260684,0.47631931036031033,0.39384264300940386,0.3577538304721599,0.2760060835970667,0.26901614361200576,0.22457711649488782,0.15344568286068183,0.14171630123785117,0.09770900897324653,0.0843457767355164,0.06937141819327222,0.23717131756888388
[3.0-3.5),,,,,,0.6910432592425173,0.6039268503595632,0.453012349633808,0.3661213081856345,0.29861841553652996,0.2563562317773851,0.22656554500316706,0.17238492641206715,0.14705060553972832,0.10168562730910646,0.0911137774261633,0.07308597415848633,0.06299788447147152,0.20328519313402305
[2.5-3.0),,,,,,0.5871097293167383,0.4673488556343628,0.3621820227209629,0.31580161273863605,0.25689323067419717,0.21944680273860906,0.18602146016205506,0.1485601182000993,0.12103957421259043,0.09734387849373469,0.07754262007429599,0.06171180315585774,0.05904353648060455,0.16648515561996013
[2.0-2.5),,,,,0.5667991608186101,0.4722018276867305,0.37860784601712527,0.31463283689001353,0.28413167918896287,0.1940142625819809,0.19587830688798322,0.15305819859674147,0.12701700348168082,0.10023747647421896,0.08066067024452284,0.06223681280313627,0.05247236374316256,0.042158240398069084,0.13922355570337783
[1.5-2.0),,,,0.6923601518222937,0.4553336456566867,0.38259279919081857,0.2839851064277676,0.2619121850383903,0.19029452876975597,0.15540669681866393,0.13760858420187677,0.13049552336004822,0.10058605559249054,0.0824666876361643,0.06176375793768756,0.04389221776448969,0.037800076858077764,0.03243962846431789,0.1152397325238827
[1.0-1.5),,,0.5104656768320324,0.4262533706354549,0.3285838592319148,0.23923407854868545,0.20189428436428375,0.18512041304927346,0.1389692138366538,0.1144476693684049,0.09265969139340596,0.08653568431972082,0.07555848405214213,0.05818531927153428,0.04209208795729064,0.03111513454987555,0.02747945582365488,0.02410445526188068,0.08529408733996538
[0.5-1.0),,0.4086028318920397,0.3615581327861215,0.2814681753839148,0.2034335745409308,0.1710240009423824,0.12310492540382287,0.09979147533268135,0.0850753173744419,0.0674672531298834,0.0578708476854289,0.055923538731966024,0.040959802607680625,0.03274443465592047,0.025101433013761366,0.021693291956875166,0.015390147316945834,0.01367099511917591,0.05190237799617114
[0.0-0.5),0.06311462172790128,0.14198191161916512,0.12106660951804049,0.09558560042575057,0.08105284135655315,0.05217211173103046,0.04193833383623667,0.03561912139961422,0.029572541240988,0.02223632105243963,0.02004051593673605,0.01875041152396153,0.014850520982313185,0.010853384707825188,0.008756404498476984,0.006393273255875177,0.005161336083350379,0.005160010930740585,0.015572810693289633
