"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Maximum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,7.150211216331434,8.992414320704636,7.598112563913602,8.139967357199433,7.915590163733113,8.881104262079198,6.733890997811628,7.751272539972522,7.392369280958048
[8.0-8.5),,,,,,,,,,7.255072863852198,7.685669631441139,8.00429491094507,6.349282545081053,6.5805194259100555,7.393048193580977,6.302114314061568,6.648250789626955,6.738684947890303,7.0635841767364855
[7.5-8.0),,,,,,,,,,6.033012355711565,6.783060312305412,6.472934415916203,6.97711693809936,7.357323949977847,6.89249765699844,7.384726744387016,6.973578876536369,8.442402350638494,6.81164623398088
[7.0-7.5),,,,,,,,,,5.864810308483495,5.397309717577777,6.974518742493588,6.684513511753811,6.109032497014177,6.294026954403606,7.812418192957709,7.319585205071317,6.85037939034315,5.5679024780668325
[6.5-7.0),,,,,,,,,,7.416085933557173,6.1202030379871735,5.7310777424043575,6.1144277574916694,5.984569037093653,6.080953223419599,6.135623642930968,5.20015856317688,6.315413725438467,5.361555321595965
[6.0-6.5),,,,,,,,,5.376591157953301,6.470372582527296,5.37703736744822,5.037406065518175,5.411000433708481,6.6460009035676535,6.505062360323733,6.108540786762985,5.714635545421603,5.355910675815182,6.230485822792068
[5.5-6.0),,,,,,,,,4.981860825302794,5.774807959185664,5.845033354830418,4.815784920421126,5.014561724755886,4.7127398808627206,5.360148536872568,5.862041826042264,5.349634107661581,4.338869525975524,5.78273485641086
[5.0-5.5),,,,,,,,4.795603809774141,4.945517658379362,4.558187484195643,5.11993293657296,4.171436077110811,4.827488206563,4.443501849377453,4.81188305582912,4.355306030335783,3.9150581093088905,4.920380938785569,4.122610001370075
[4.5-5.0),,,,,,,,4.687014800152228,4.01266032139,4.412605082175418,4.428998840203349,4.190273808204534,3.663206970577898,3.9723133235016372,4.250840073726341,4.0461643821547755,4.4811175201467215,4.303494328368292,3.8092070778226743
[4.0-4.5),,,,,,,3.80791071548899,4.185951811204461,3.573775772318086,3.7965281900751355,3.699209384531435,3.5047993670255027,3.7294626025271986,3.673520188147598,3.986358031492896,3.9182887170179446,3.5078353810372844,3.790099740309483,3.6667482143496652
[3.5-4.0),,,,,,3.807895120966678,3.922031999789801,3.1673419950653128,3.2079009103785547,3.8226662063284462,3.2910695025112395,3.6481383373150065,4.3101351397673335,3.2496238880107637,3.52972324835293,3.741214942608447,3.172544265235457,3.422915370984896,3.3027570860447155
[3.0-3.5),,,,,,2.7765697018951756,3.0522236367249977,3.1142038342753433,2.9183723399648,3.020621268764632,3.1257414645889026,2.596056578975832,2.9888585903179146,2.7226354499908045,2.592044419950929,2.954812889807501,3.1251243016456303,2.47153005683333,2.5180897782658174
[2.5-3.0),,,,,,2.4442554164565045,2.4001054232794363,2.590120776842738,3.0012243213552,2.504246793280265,2.3587820997730002,2.3393884275192796,2.3323397736114435,2.703504666663435,2.1502238675371435,2.274560218548651,2.7150706925275916,2.779302130847096,2.336216542052669
[2.0-2.5),,,,,2.161138848408411,2.2887801683846885,2.1284477765790606,1.9823750324469274,2.410228389551739,2.186777351840592,2.1222651243031097,1.8547757973206032,1.9614497846406327,2.3300923477354982,1.7782749091156593,1.9932657529939193,2.418480343245825,2.1849947777375447,2.1177938422937452
[1.5-2.0),,,,1.736097649729784,1.5943847756808591,1.6996825895073724,1.5728339908271451,1.8774901846575278,1.6718154936804215,1.5695776712761877,1.6220122424753123,1.4363651527037464,1.6977581476162784,1.7217417899407916,1.4338035268429705,1.6016616020468486,1.5529423110120726,1.3802548962875603,1.4900427833174936
[1.0-1.5),,,1.2528443922015196,1.2772746560327632,1.1951902200215303,1.121641783007043,1.091471407107854,1.1626401540900657,1.0738466851990633,1.3233880908340827,1.0328464525315857,1.1621425604735227,1.1060982393925674,1.3081735748284227,0.9947537026392284,1.169303837435468,1.160051696417124,1.0954845267829552,1.0183802130928632
[0.5-1.0),,0.7628805720754092,0.7380273512547583,0.6659193507539167,0.7147487064837068,0.6505263939093507,0.6864871638684061,0.6060935950645023,0.6997423690850484,0.6042532201401971,0.6461971666060882,0.6780489798479359,0.7048779423394204,0.5856472955249594,0.6806110544489204,0.6738968815193398,0.6048247305684186,0.6190941847665947,0.661991764986295
[0.0-0.5),0.20004559248876483,0.22691080823013873,0.2541313298290273,0.23729496993032842,0.22350676760496435,0.2405408453688378,0.212729138112979,0.23953467784219698,0.22741702072358683,0.21157637148661543,0.22703851450864743,0.19477562723699793,0.2418970303820081,0.2216019498288256,0.22616745176056097,0.19909173045429268,0.21738693262626654,0.22528270993046953,0.2047959775989821
