"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.00010891155562398298,5.3946884845413196e-05,4.566042881920265e-05,2.9745384862614384e-05,2.1835325011545018e-05,1.3730100952628505e-05,6.760905769337622e-06,4.591868295051531e-06,3.5662384042093855e-06
[8.0-8.5),,,,,,,,,,0.00023016494146138456,0.00010800908226577425,5.350038506231597e-05,4.4860928329531005e-05,3.100260112890345e-05,1.609850954406606e-05,1.0533668635989096e-05,5.630879179198719e-06,3.961997355564326e-06,3.337511513871727e-06
[7.5-8.0),,,,,,,,,,0.00022445322267299316,0.00010770840115192131,5.3908093372147585e-05,4.17069542948648e-05,2.5263610968383157e-05,1.5190375459242535e-05,9.967545954504591e-06,6.546549693450317e-06,3.888345221766553e-06,2.329869017463105e-06
[7.0-7.5),,,,,,,,,,0.00021792242330333827,0.00010495702455776663,5.2825122416574975e-05,3.910383260433329e-05,2.2507326438194435e-05,1.4558203433051898e-05,7.570948576580757e-06,6.563358594104173e-06,3.930345148525889e-06,2.3445539804004805e-06
[6.5-7.0),,,,,,,,,,0.00021847634688159083,0.00010529326568574306,5.2557059850884196e-05,3.3786141392771526e-05,2.0043827582619998e-05,1.2232818866887062e-05,7.011472233064764e-06,4.872027042962699e-06,3.5617556362822965e-06,2.380794256326314e-06
[6.0-6.5),,,,,,,,,0.00045222534302630777,0.00021891573699198914,0.00010516496520473277,5.262931049747205e-05,3.0171718910608276e-05,1.8306211002188714e-05,1.259683195082189e-05,7.1104665219247355e-06,4.671641153884162e-06,3.295695214441803e-06,2.339132563772945e-06
[5.5-6.0),,,,,,,,,0.000450964304405599,0.00021756142016087515,0.00010498872574602219,5.225516854220314e-05,2.9848325980604715e-05,1.806891648699093e-05,1.1073698047473505e-05,6.977108262334544e-06,4.597953171348796e-06,3.2149047745856014e-06,2.3299444118182874e-06
[5.0-5.5),,,,,,,,0.0008713788274903595,0.0004562398264929345,0.00021883049925024384,0.00010454187873832722,5.2027597549740986e-05,2.9042317250068715e-05,1.728951105496041e-05,1.0720598079836167e-05,6.882077388805385e-06,4.58005947156481e-06,3.218918619024513e-06,2.255641528266517e-06
[4.5-5.0),,,,,,,,0.000876414382086358,0.0004542477699922045,0.00021936394416663946,0.00010481643077518514,5.2094869054403635e-05,2.841542065704032e-05,1.7150488894407627e-05,1.0679079367254485e-05,6.807923215292982e-06,4.649106317979057e-06,3.2073112681288074e-06,2.2549374383532655e-06
[4.0-4.5),,,,,,,0.001742932520209338,0.0008855677601511777,0.00045902978676849406,0.00021893952963752841,0.00010501528201913696,5.229424963665622e-05,2.8397361931745004e-05,1.6941552042152855e-05,1.0761194599843329e-05,6.800726043554709e-06,4.605706126824892e-06,3.1758275325983132e-06,2.34090870403938e-06
[3.5-4.0),,,,,,0.0037473517839756334,0.001757423933955013,0.000899408873909907,0.00045730356095739674,0.0002201828211797585,0.00010537062215654741,5.21755876085361e-05,2.8054322510760827e-05,1.6997761650890544e-05,1.0720633255250528e-05,6.787310485428159e-06,4.658822487766775e-06,3.221608397268796e-06,2.2952965526629096e-06
[3.0-3.5),,,,,,0.003799770518937764,0.001780206243289964,0.0009041870743286889,0.00046324356379441616,0.00022091594190159594,0.00010511433209090787,5.2142032980995156e-05,2.813069068826991e-05,1.7040012470055783e-05,1.0567429388348776e-05,6.903314418283117e-06,4.6832688086251925e-06,3.234416635534528e-06,2.2737971560711592e-06
[2.5-3.0),,,,,,0.0038293950314748208,0.0018047939999666649,0.0009132834649073077,0.0004690806235396643,0.00022174391827486955,0.0001055079967943343,5.2369195875038526e-05,2.8008218831461646e-05,1.6921531151653137e-05,1.0621596590908484e-05,6.846828804323858e-06,4.6645822431375e-06,3.189642059997922e-06,2.330396676740551e-06
[2.0-2.5),,,,,0.009064659386914694,0.0038990546237598267,0.0018258144500506366,0.000924160790908608,0.00047178712086721786,0.00022274643782043113,0.00010546175561328447,5.2370116812937587e-05,2.8173438194195274e-05,1.7085488543247374e-05,1.057048892233828e-05,6.862425193991785e-06,4.647431531662043e-06,3.197006645801871e-06,2.309609359766787e-06
[1.5-2.0),,,,0.023614352368390597,0.009123656244255447,0.003957452147896551,0.0018505977632501576,0.0009349707079141393,0.0004756851298343775,0.0002236316907950177,0.00010585105154053391,5.235668176216526e-05,2.8245318333220178e-05,1.6974617489668132e-05,1.0668254729993075e-05,6.9147326889579765e-06,4.637061120187425e-06,3.270892923507484e-06,2.3300484916112393e-06
[1.0-1.5),,,0.0739254111673289,0.024218504434418097,0.009274681137334833,0.004018768267365499,0.0018699882937805124,0.0009451872798353159,0.0004780225287864235,0.00022446353420714065,0.00010616921904452177,5.26783453603513e-05,2.847723089870505e-05,1.7078099838892207e-05,1.0626016123454447e-05,6.937279353430613e-06,4.68986863361418e-06,3.2604450330516092e-06,2.336859519832082e-06
[0.5-1.0),,0.27242638664412294,0.07652958361409003,0.025056000697528523,0.009472827175350779,0.004077490171556852,0.0018885252886934956,0.0009577963288650932,0.0004822503026784476,0.00022512838531635928,0.00010633396091285028,5.262811172865995e-05,2.8465081860296505e-05,1.7182644236387537e-05,1.0637454512550524e-05,6.982657393718436e-06,4.72206305354722e-06,3.2657364411756868e-06,2.3098462020934608e-06
[0.0-0.5),0.5822040944013523,0.2867488307511596,0.08089604200459256,0.025851137279276157,0.00977890968072234,0.004159240316604571,0.0019181615078954243,0.0009706062957255917,0.0004873284754811291,0.00022568588287824148,0.00010608157020953697,5.243388527804086e-05,2.8432025873590872e-05,1.7121197708366596e-05,1.0705388633439583e-05,6.908938590769536e-06,4.681424534746077e-06,3.251930547807769e-06,2.3136840734985823e-06
