"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Average [radian/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-2.030104497514824e-05,1.4203501718814007e-05,0.00010761805053401046,1.634906996167868e-05,2.315479410481565e-05,-6.210430330240009e-07,-1.4254917744904993e-05,-2.6742700589834738e-05,1.007480946086702e-05
[8.0-8.5),,,,,,,,,,3.799339137495602e-05,3.9146429676487235e-05,2.477375822092529e-05,6.402461824545086e-05,-3.158192207116962e-05,-4.937983678824602e-06,2.855778163810183e-06,-8.620139868871888e-06,-2.5844989388099218e-05,-3.402917896036122e-05
[7.5-8.0),,,,,,,,,,-4.5846310162214585e-09,-5.680317647739505e-06,-6.70865148085295e-06,2.3059892413043332e-05,8.73888808737024e-05,9.239028981923734e-05,2.211290915290704e-05,-1.7788164477500182e-05,2.7075681828201494e-05,-6.491283019190376e-06
[7.0-7.5),,,,,,,,,,5.113431121094756e-06,-2.9073686354202204e-06,3.531606511733878e-05,1.665115544272994e-05,-3.130655757415559e-05,-4.884281679840421e-06,-4.575050997880451e-06,-4.7384518797236965e-06,4.070964632087377e-05,1.171417533637951e-06
[6.5-7.0),,,,,,,,,,3.221016012992371e-05,7.835560853782349e-06,-9.398248394526375e-06,1.2722309511598257e-05,1.996795828138284e-05,2.021743914581293e-05,4.1465277854385506e-05,-4.332050500629018e-05,-2.127133039902417e-06,-8.655841458179491e-06
[6.0-6.5),,,,,,,,,-1.3126835039904391e-05,1.5465422889775537e-05,-1.3003080674135278e-06,2.44719520230863e-05,5.1486300868910645e-05,-3.922432954964026e-05,2.2771951625683198e-05,3.4808262294285165e-06,-3.992920601736655e-06,-2.0598459854711993e-05,3.2508601852420245e-05
[5.5-6.0),,,,,,,,,1.0029916875236265e-05,2.8344126387998e-06,-5.029780401450882e-06,1.4841934780349147e-06,-1.3116442654726722e-05,2.2488566970292606e-05,-1.8513594611776687e-05,3.7900171718809243e-06,8.140376737698004e-06,1.8892713425228591e-06,-1.4999498190140886e-05
[5.0-5.5),,,,,,,,5.841560363409875e-05,3.0086504037129037e-05,1.2830439487095046e-05,8.286997158876183e-06,2.251121804112113e-06,-2.646498051576682e-06,5.3486009164724e-05,1.7563988671879287e-05,-8.8178313192058e-06,1.0105011411577052e-05,-4.1345822091955625e-06,-1.410560170611063e-05
[4.5-5.0),,,,,,,,-8.747158865649888e-06,9.822262261317794e-06,1.0096209711371894e-05,2.5841205550476443e-05,3.175308189488929e-07,3.6960195415286675e-06,-1.7728428548385906e-05,-9.379337107153178e-06,-2.2484407036940967e-05,3.6141837465160884e-05,6.865649974433463e-06,1.2795870007234095e-05
[4.0-4.5),,,,,,,6.366550177792395e-05,-8.81198991527489e-06,-6.415452341234145e-06,1.204486938638096e-05,8.05807973108104e-06,8.090283269125953e-06,-4.198873205707633e-06,-4.412762690443268e-06,6.7824920805392524e-06,-1.0681783164604111e-05,-6.2199832373618896e-06,-1.444359707506453e-05,-7.618945914898506e-06
[3.5-4.0),,,,,,5.62961827525178e-05,2.4833146280374143e-05,8.785611997938973e-06,-2.4253274529548633e-05,6.695076989923123e-06,1.292176878113714e-05,1.7176789041581144e-06,1.5034480567365475e-05,4.195754080011828e-05,-1.1814535675044955e-05,-1.264726060324879e-05,-1.3470892522799884e-05,2.4070794245522995e-06,-9.63946926320692e-06
