"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Maximum [radians]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1.573229033799436,1.5154308308292712,1.4366526404889324,1.4740849801027325,1.4955368216213485,1.403605778260373,1.3381242328265366,1.1462791635964507,1.3217045328717751,1.3190052644020518,1.3300914344043366,1.1790042199935535
[8.0-8.5),,,,,,,,,,1.6096353648153146,1.6148240460000831,1.418025022237902,1.3752853368083024,1.4223300104814192,1.4038783321243273,1.3246397459311132,1.3519156022605554,1.3317724548124446,1.2937926105937572,1.3175794991000571,1.2226421728153556,1.2086850622252596
[7.5-8.0),,,,,,,,,,1.5624819053397918,1.5577681675016914,1.406219401565727,1.5140305509846537,1.4921675957834952,1.3604230286875556,1.285430738851115,1.3476557017327924,1.3596313265600803,1.2456699582530217,1.3181334168300276,1.2571911259960604,1.3405719793041175
[7.0-7.5),,,,,,,,,,1.5844195268077106,1.5473919777484317,1.4720311646142592,1.4820296893081084,1.4419620578258754,1.4331352914041207,1.3838214970172926,1.359856061784439,1.2680331000537042,1.3588859415608368,1.3393566054693544,1.3083915908623904,1.2362994239128846
[6.5-7.0),,,,,,,,,,1.6121390578498083,1.5641504030876106,1.5236263949993496,1.4975337821003387,1.446835962280632,1.4486809098820193,1.3915683252811355,1.4065705115666753,1.3422837503688867,1.2775883470014935,1.3658190533471428,1.2946762977213226,1.2772907589034814
[6.0-6.5),,,,,,,,,1.6254593571867098,1.61007239729798,1.546734298803474,1.5317680763889343,1.4362047169426475,1.4430427286810934,1.4236051995815815,1.3586599900714509,1.372521327566502,1.3472724992399365,1.2911472959593977,1.3000667307840494,1.2290088595935977,1.3042310611325243
[5.5-6.0),,,,,,,,,1.5984910701595285,1.551561864123814,1.5301735577849769,1.450485315137403,1.4517771713115306,1.452603477599279,1.3906568882358639,1.3287056057619397,1.3554446554089694,1.3273004384056186,1.3449704128367974,1.283306631796854,1.2812888772794593,1.2890671886200882
[5.0-5.5),,,,,,,,1.6301372392161215,1.5906923075438122,1.5600467551380959,1.4883229216632683,1.475274457044406,1.4431443174122378,1.3911598249621666,1.3998155404875479,1.3531850604749416,1.3178907492329732,1.2702278636587099,1.2858815589889645,1.285728845029841,1.2318326037704168,1.189681779343424
[4.5-5.0),,,,,,,,1.5553591420237711,1.5801497028290066,1.525103615194983,1.4741651665025985,1.481287850815796,1.3841574228596087,1.3797920911718053,1.3475976072861033,1.2829513276714013,1.315157538301264,1.2532566035462565,1.2365027897946008,1.2415984200923404,1.2092557476884478,1.2072047360746716
[4.0-4.5),,,,,,,1.5612208255443198,1.6069906458977716,1.554102085813857,1.475478106263581,1.4673203062973625,1.4121604263407217,1.3836868095447903,1.314386159425896,1.3185735096776932,1.2752166177569426,1.269192138341419,1.2625082257277775,1.245295511499101,1.2239011639303172,1.1216581017344163,1.1427310820956675
[3.5-4.0),,,,,,1.5520141008657375,1.5599752887632812,1.5015759977272132,1.5046978189301286,1.4764539649274355,1.3966338969940317,1.36730948685147,1.3050218537369884,1.3265366462557306,1.2325099399777886,1.2189527570836687,1.2591457171679852,1.2561495265441627,1.149325291736565,1.146812869790559,1.15696500874764,1.1436156319535093
