"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Average [N·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,472659.77538258233,477304.2678563152,457830.9675798179,422368.14713416906,403049.84047897486,410297.54416633135,387144.7924746755,392294.8879320492,355707.61759062565,335822.8827945433,346024.224095595,326299.1317632857
[8.0-8.5),,,,,,,,,,494302.44266709115,460740.6151491807,466677.1442222604,441436.2501578206,405500.8105417516,383425.82613170677,400223.4069193282,374948.9741378565,383232.726431912,340315.879841167,323814.7747558565,333563.5947940928,305166.8968287048
[7.5-8.0),,,,,,,,,,485274.45310003386,448820.26802411693,458123.3605786764,430871.8541012873,393375.5015536286,379705.4498405284,388370.8918419557,365910.99739679205,379289.7813374125,327600.9763492273,311644.31951963576,316245.4450471714,305799.8807533639
[7.0-7.5),,,,,,,,,,472873.0559212958,437406.7187754839,441008.2199165401,416912.42078281916,383932.1123789198,368855.28024664096,378628.3511597731,357344.03286116105,361724.66534578055,315842.0772285931,291382.74866032804,307986.6793188123,285778.29801131884
[6.5-7.0),,,,,,,,,,453763.50599675113,415804.0503004032,423364.4555074067,397089.1636137912,370084.42341844446,346111.3171539795,362045.19855576195,340993.86701621866,344310.13872146246,305064.87417301256,289632.9541824327,290954.4566922653,285424.4829789766
[6.0-6.5),,,,,,,,,475295.5668350602,440053.5421347925,408065.7337333503,410579.7574008474,391987.4416452184,369425.0200536934,337477.8617619793,346179.79267226043,325262.42847466154,337229.4919435105,290595.0877415,271166.7872682248,286440.404905713,271933.74778192607
[5.5-6.0),,,,,,,,,462442.4637348517,432319.66240100353,382817.26493795606,398432.7779195336,377444.5341494374,348858.9983500254,328657.283789439,336146.9722185646,316603.7570768492,318450.64808849967,283055.1136988864,261153.7472160877,273752.50763018476,261338.49946828792
[5.0-5.5),,,,,,,,471058.22101795697,435384.7909649141,398729.23150538554,374909.24436848384,391339.60273688356,352863.72016174544,331501.59695959755,316806.5173376462,318315.90998741204,298534.21956588636,308164.90899443906,269781.10067814426,256447.73877403574,264491.0907653598,247527.7201479711
[4.5-5.0),,,,,,,,447762.31922755187,416909.3602910783,385054.2267142224,350309.5073704806,371693.51552678307,339762.79197366623,316818.25438564236,298651.5782619219,298251.4821682621,292059.78252526757,286983.6495891256,253241.29732461096,239881.10430349316,243636.69287785917,231850.44380619374
[4.0-4.5),,,,,,,426860.4568762431,411089.64704080834,383809.847887881,364693.93500292,333806.9590004278,343434.0339973817,327661.2389857343,303389.7100064783,280228.92436373566,285423.3170100019,269017.47127537365,265407.7483735443,240827.58112588324,229818.02490824825,228276.25239176094,218791.4085578159
[3.5-4.0),,,,,,373576.3135705032,392078.2943177928,375632.8507910833,354887.4273755555,341039.265498388,316358.7092924042,315618.7970112299,296111.2356324129,284070.06052328966,263128.6711061574,269542.80929508724,246943.6264418968,249241.7943880124,223404.83734215348,212913.23232144493,217674.87773821203,196602.91339761674
[3.0-3.5),,,,,,331360.0585109788,353749.0293146647,337864.2271981102,325273.4522330486,306949.4370888538,288461.27349141403,296695.9420835291,276081.45162301755,253966.89254414223,238426.73143598222,249304.28606229348,231825.16299368461,230681.66681263206,202987.3932187592,192407.8432587864,193105.41515317422,184613.71878145117
[2.5-3.0),,,,,,272736.6395075628,303256.4595723357,306592.8049527534,291309.09394779627,266180.41799014935,261796.15329594383,256674.93014872904,252222.1495485953,229622.82265080092,214643.0915790366,220231.55140953077,204354.2013290526,201735.34662604524,183333.27249531148,175026.41337981433,174218.26068143285,164379.4246941289
[2.0-2.5),,,,,195004.89619057166,223333.2238163235,239617.74072285581,248452.4396701185,247662.82341966953,241627.47641274755,224132.09162200824,227335.0266029719,212809.44008973674,193753.45741181535,189454.46523104268,182684.58322646367,179494.92977730368,176702.63275051425,162446.29792359457,156459.50135124076,152614.68679142592,145433.36068355187
[1.5-2.0),,,,230891.60597563928,148512.41786905334,169908.9951517853,188668.5449071681,195455.98775159262,204826.02927749988,192005.25777804662,184289.68394321707,181586.8288180728,179641.4268547408,162802.0944903695,157249.2186464622,153836.5976445068,151680.09054938937,146498.28618951412,132757.65606298548,125131.22788525916,123263.60200946656,113368.0901024618
[1.0-1.5),,,184062.6381089368,165068.19568022175,105776.36279760036,120025.33371491745,130524.78333238498,143785.96749720693,141788.36942548485,137103.6498783467,138155.56960794295,143220.5753519632,137037.22708821343,126876.2063108059,121052.4064812025,121157.91774416894,112567.47962307479,112130.52237203397,99888.4083957338,93610.7344817365,95698.10704286041,88064.38779019685
[0.5-1.0),,92546.85678133927,109821.62004573093,99013.8895054771,63217.447317648344,70990.88009914193,78968.62873360937,82877.58147726141,87619.62476593781,87610.22480868513,86554.05675644786,90316.42489578282,85931.70143563692,81130.01570665983,74747.6820836298,76802.11453702657,72831.17880595652,71272.36544274908,65044.402909470744,60134.08008374751,57854.047774776926,56277.2533382034
[0.0-0.5),14979.513933426939,31016.7010011238,37231.90962974951,32696.284951218604,21190.825796894824,23556.698294442245,25588.171187518466,27462.96530467765,30408.94924404319,29824.850850993167,29919.47106932329,29506.0071522202,29418.59117084113,27865.703644622514,28146.59183876961,25878.374526892876,25211.781966694383,23591.27410596354,22873.974978499064,21273.98884155336,20549.18840288088,19393.004923226756
