"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,402692.9661393311,366640.32998866745,335087.0335072225,295822.80669429357,273448.7911275374,259532.42218655022,218998.06808866354,215995.51101789842,203119.5998472132,184799.97011459613,172546.484252668,147456.33261973265
[8.0-8.5),,,,,,,,,,448671.6432184575,383915.5890423527,340503.0909667345,306294.17842764483,266109.7217511576,239773.6648894881,228717.14660258568,206729.88155609538,198562.08421992013,167819.04509246725,150659.2444325692,146616.53653779736,129211.93984335448
[7.5-8.0),,,,,,,,,,418482.01124655176,355057.4042286997,326243.2982661724,286664.93374334974,238989.10877317062,221864.65710778165,217568.361938591,194985.08546066415,196007.78178897998,149025.51133629077,144751.88290015396,130461.67724940756,122019.23044262594
[7.0-7.5),,,,,,,,,,389184.2042132069,332178.22081247316,297324.83964727353,265649.16493188456,227509.485576992,208291.07684188028,194585.82601182102,180518.39227697835,165825.59377148128,137371.4792090966,116957.18024113936,119786.19080712262,107724.2021505923
[6.5-7.0),,,,,,,,,,354677.24489423126,297785.91327144514,272088.02386086836,240640.70616609463,208227.33956161147,182725.87033748193,176077.19651178567,159397.34547032614,144866.12213263882,124924.92511171984,115164.51195612291,107024.53293677709,105038.07864763158
[6.0-6.5),,,,,,,,,390500.96039002616,334485.6893928099,282267.191215045,252515.08614006857,225855.0326801205,203370.20744579114,172366.99875709842,161039.6230749667,141724.30862966806,136507.0169543564,115175.23986983551,100172.28296025301,103957.30280277188,90078.87110403036
[5.5-6.0),,,,,,,,,369400.28616060567,316933.9934764001,250434.0967350065,236044.40253889153,207621.4393710196,179391.8325189313,160166.78440480385,149400.34488544674,131602.58423411363,121032.73368606305,106991.10343012719,93929.9195637644,91491.95901473466,82821.98133255882
[5.0-5.5),,,,,,,,378853.8792836092,322983.02925251244,270311.17004480906,237701.7148301714,224110.544114919,183379.7880152721,159849.9454255021,147262.93280917982,130299.93088351683,117911.66940854283,112963.18227685789,95341.07414415039,85128.19773320733,83574.94394339855,73104.5686812341
[4.5-5.0),,,,,,,,340983.3433095623,292644.79729172116,248176.63486869892,206988.8765179357,201160.73314039208,168656.9377071956,146804.97168236214,131240.70725670492,116266.18382517483,108853.14727223832,96365.18137933308,83546.5970809639,75256.19473117213,70396.98551824859,64854.591606740294
[4.0-4.5),,,,,,,318552.25394777866,288355.46215854737,250047.91490838391,221469.99349637772,186029.2691443559,169889.57533866394,154907.43492803446,132925.94811636783,114163.43460589043,106196.91930352477,93841.57083631879,83786.65300931339,75642.48373954599,67546.25138545444,60581.509008062974,56567.41335460921
[3.5-4.0),,,,,,258057.7930641687,272995.07638021075,239972.67760658814,214145.61730766293,192499.93113973955,164906.94976340435,145106.5753388116,129037.06264691797,116186.39065270267,98796.975921073,93394.89103448237,78664.76446790216,73539.2466956206,64367.920970376326,57879.51272447091,55000.531631184786,45104.48804664917
[3.0-3.5),,,,,,194504.46840120552,220121.9101357839,197452.46529215615,180566.8580464711,159600.55600760478,137855.3714022536,126285.07951057496,108782.064118929,93533.41044565606,82547.54812942269,79279.30217048277,68892.52181333551,61627.628316743765,53403.28889646964,48127.58487280304,43982.21300319102,39729.80661126731
[2.5-3.0),,,,,,135500.89940824365,162330.3038776916,161204.43308984168,146238.4246046679,121374.88312442994,113655.91055897514,97354.84731559128,92055.08311296457,77902.50358014434,66867.22840669959,62709.70505032959,54062.955374616424,47807.16763314197,43726.42296668253,40130.91609210651,35987.04195806522,31374.79886638134
[2.0-2.5),,,,,68835.25201082924,88652.93713348443,105904.0875160088,109798.86293475104,103845.94393024188,98317.84510471993,84470.93396297187,75947.98782707703,66125.44831565475,55298.04365760541,51614.180667976165,44486.376433023004,41278.73075298162,36261.976252168184,33731.717337665614,31217.14752834976,27251.93516042747,24508.632403466
[1.5-2.0),,,,46779.87237612177,39914.30158140545,52437.98754666956,62807.29534764909,68649.23957666801,72971.32673086671,63413.21397597791,58371.29270063837,49709.259128919446,47824.59075240165,39830.45978547871,36490.489970977986,31312.365764850187,29676.249777213117,25318.890348116747,22953.23388717736,20338.09892723643,18167.356849987686,15646.106877234974
[1.0-1.5),,,19920.69630917066,23875.56456061962,20100.201863362006,25769.134543479435,31031.504548098463,36737.38164685551,36125.05228597824,33588.20391426668,32575.859943471565,30799.25699485927,28615.70034276781,24300.54250103006,22004.97996966237,19437.572508668094,16759.445972827027,15159.782293557164,13399.253460979235,11503.51157354387,11036.02530406119,9341.104757066443
[0.5-1.0),,4168.2798582590885,7138.269746199456,8526.483490655059,7225.085312013423,9159.307910788752,11087.697410198845,12208.90733159909,13747.887818994468,13577.81357893651,13178.610326617452,12546.224392640797,11380.228342070433,10169.90377822008,8533.317829972897,8225.5220041767,7179.9462281405185,6147.4450309074555,5721.501396817698,4864.009212903763,4190.654657077438,3928.869275122851
[0.0-0.5),154.98973009381422,466.12133864923936,801.2338033172239,959.9565528270334,815.6013584600015,990.0231031912007,1183.666416631099,1371.6716167668856,1675.9122653487411,1596.5356557670655,1592.392441049591,1382.2654991137067,1358.9450122049316,1220.530443862415,1274.0952653991221,939.288118202902,886.6933562396862,698.7705473936369,717.5506674031615,625.9923666467364,528.1058398855319,467.14835003816177
