"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.09231937072489972,0.07732979416480557,0.06543957744033997,0.053787366734417384,0.04651156381892816,0.04146907114623271,0.032992776654497714,0.030781489343646898,0.027462106877030813,0.02376646924984648,0.02115847130634414,0.017278162028306957
[8.0-8.5),,,,,,,,,,0.12672554400393057,0.09900628112331972,0.08078595934373839,0.06728679073788296,0.054427398885408,0.04587695918314976,0.04110925639157717,0.03503402601618206,0.031830937905723965,0.02552298558766137,0.02179549641860011,0.020224106203521282,0.017031189038670295
[7.5-8.0),,,,,,,,,,0.13394201506257006,0.10376002469496386,0.08771238481153192,0.07136251310697475,0.055391029951028764,0.048104506083240545,0.044314018111617115,0.037444900213445896,0.035606633838831656,0.02568356717000939,0.023730106847999578,0.020392657763272964,0.01822531724000973
[7.0-7.5),,,,,,,,,,0.1423385807497652,0.11092515372523568,0.09134355403088827,0.07556686608978576,0.06025432577319679,0.05160546456645303,0.04528808771619162,0.03961321884768702,0.03442203624997927,0.027053202812265555,0.0219093631103922,0.021395627080228494,0.01838601004591173
[6.5-7.0),,,,,,,,,,0.14964741512388965,0.11471798279808891,0.09643276200037684,0.07896970530193738,0.06362018689249613,0.052226814013168144,0.0472763961388853,0.04035229393025871,0.034691277971980496,0.028381783238019976,0.024888000274035947,0.022053121681174435,0.02068185282973682
[6.0-6.5),,,,,,,,,0.21240816371780288,0.1646117932419218,0.12683387606545274,0.10438786612818478,0.08645073843492568,0.07247563561388704,0.057463903623871854,0.05043377825234423,0.04184841384129372,0.03812904705800161,0.030520891674528865,0.02525029253588889,0.024985569142192476,0.020687743368616156
[5.5-6.0),,,,,,,,,0.23739450987522756,0.18427930794278968,0.13295132392289138,0.11528710719815917,0.0938934890903867,0.07553212666927796,0.06308669950561076,0.05527957616072913,0.045911704604733726,0.03994184875773579,0.03349732322666928,0.027973521262562705,0.02598014170720066,0.02247295315238513
[5.0-5.5),,,,,,,,0.3264126220713542,0.24898330615621134,0.18853362790121334,0.15137306541048887,0.13130050858702233,0.09947909580067575,0.08073439988128561,0.06957863084583198,0.05783282038343966,0.04934383170727871,0.04471768591513058,0.035806309433881446,0.030411210631727918,0.028467659679822316,0.02379447529092546
[4.5-5.0),,,,,,,,0.35888867810419894,0.2755895344190988,0.21145458735093625,0.16102551092522552,0.14397222472426133,0.11176760916420594,0.0905770725613326,0.0757499556375306,0.0630398240922941,0.05564785907540301,0.04660086023019054,0.0383300753444718,0.03284232637213306,0.02929281585599995,0.025787172751081257
[4.0-4.5),,,,,,,0.4746508871672655,0.379109034989941,0.2941402858551175,0.23571133731085278,0.18077497806738582,0.1518838494889811,0.12823110129270893,0.1024463860119872,0.08230954593670461,0.07192549379428549,0.05992555959742222,0.05061252354369682,0.0433496951014134,0.036821567194678884,0.03148882859903669,0.02809562387413344
[3.5-4.0),,,,,,0.5698674151363219,0.5224728814343896,0.4052407162874749,0.323560716122646,0.2631549127240492,0.20583125452666107,0.16662773161539912,0.13719898628637398,0.11501578844802805,0.0914917966315419,0.08124738244875283,0.06452268041482485,0.05705814536187846,0.04738109282360929,0.040526696854954226,0.03671965821218729,0.02877447723945355
[3.0-3.5),,,,,,0.5718501540681777,0.5608775093532137,0.44392504862580123,0.363228947291193,0.29047657626797607,0.22908247598884243,0.19306699861182794,0.15398894475159466,0.12327209701513987,0.10177438720826928,0.09182097303430221,0.0752315569596801,0.06366045559429319,0.05233586531321782,0.04486485037024662,0.039093507167135624,0.033744263145615794
[2.5-3.0),,,,,,0.5564115951307408,0.5777044178404124,0.5062038050895475,0.4108707691114346,0.3085367326497381,0.26379194848997567,0.20788105750644773,0.18200417752044598,0.14340053222272012,0.11514603151878915,0.10144208439563197,0.08245729517979013,0.06897451199314984,0.05985172757402645,0.05225075415248848,0.0446760780282499,0.03721909276126181
[2.0-2.5),,,,,0.4990176643259183,0.5438103561633316,0.5630139571038542,0.5150467117410522,0.4358465723638289,0.37334535646271594,0.2928715310459492,0.2422556758489663,0.1953001437153921,0.15205806748161366,0.1327715549138611,0.1075005757148884,0.09404939112051726,0.07815332194389613,0.06897179725990271,0.06071654598619556,0.05053899354514042,0.043431443287755625
