"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Maximum [N·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,5457806.531807332,7559962.001196582,6356350.520346698,7059194.120070522,5302305.460998376,7808623.388551428,4954485.471159393,5568744.845787973,6889078.514233039,5473551.490661652,4364676.000475762,4677572.637034182
[8.0-8.5),,,,,,,,,,6742114.040887973,5513474.305645544,5048263.936019631,5249150.065740064,5648569.596746535,5003225.071268402,4825686.374104783,4592122.0315345805,6445635.361318727,4903744.041843727,4557351.920412824,3984358.052989172,5815299.055630877
[7.5-8.0),,,,,,,,,,6969018.240676958,4929800.472172106,4848700.069288799,5689518.135471238,5266522.006909607,5904240.0011016885,5512179.160386222,5495155.07890512,5942447.4680339685,3762695.4030694845,4704399.335405564,3679268.8283986896,4306254.639473448
[7.0-7.5),,,,,,,,,,4344476.554345496,5008718.866148648,4707987.342658667,4145859.444902809,4216215.863756421,5229901.799159317,3941443.7903830777,5249724.867453802,5789466.358828923,4046850.8202010235,3575290.600147259,3141386.9849945656,3805535.3650705637
[6.5-7.0),,,,,,,,,,2759076.6693476005,2203551.795716894,2028890.8683841324,1943236.2777964994,4512378.403402659,1817847.651615043,3706721.190363245,3968356.3479031837,1740426.7797454856,1738922.1017796083,1455837.1564812087,3354831.287153114,4251973.947715345
[6.0-6.5),,,,,,,,,2777526.0740004904,2309657.3825924164,2010717.624691912,2412116.930591174,1985641.8184724203,1813124.5552288454,5045551.022329008,3298983.189381372,1444397.2075601837,1393411.3857649218,4032369.906516824,1507384.5588878545,3506068.954909565,1195962.2196218406
[5.5-6.0),,,,,,,,,2390790.0129422056,2196487.2125550066,2404666.9907750636,1888806.2691374207,1883374.4468919304,2069344.4435868845,1863804.5965311523,1563632.1972985556,1417219.7280788887,1386565.655394643,1232060.6154728036,3141320.767677132,3656929.6164030246,1134358.4950430419
[5.0-5.5),,,,,,,,2675343.9962645164,2069857.2969675122,1903313.3025056836,1925505.252140386,2006195.8245868406,1684449.9765661375,1429235.9080003896,1409261.6448099923,1597074.4098689107,1371529.6426217589,1410769.1316619439,1271484.029191051,1101379.2447252206,1308189.809249636,1143146.6780131413
[4.5-5.0),,,,,,,,1903667.8793348202,2176107.7657057187,2056632.953540587,1677259.8315409175,1630589.6485881456,1514958.903773218,1442201.9658645694,1426526.517706469,1260615.3805496919,1153201.4959165177,1139380.224717619,1458437.800594048,1027745.5518268332,1063875.083574753,1137678.9533431025
[4.0-4.5),,,,,,,2126738.8539377567,1973931.301404724,1755216.8481299188,1844128.3328229554,1749647.3851393482,1492184.0700723857,1475496.006260409,1321620.1690288256,1395231.3214990087,1285601.0882507164,1080138.4709505017,1184325.1333252422,1088127.0291601215,890291.5002141555,815128.1467147069,926664.5263248227
[3.5-4.0),,,,,,2185559.5358989197,2196271.15860369,1665275.938671592,1531139.9540360125,1604823.3637746042,1320842.1930465854,1307560.2853304618,1304319.7313207083,1299214.6952808888,1010957.1167139689,1026299.9211403293,1017250.2702263261,1095855.732885727,964017.0938503292,778528.2181905229,844560.7074907166,824389.097723655
[3.0-3.5),,,,,,1547047.0080456666,1623768.5642835912,1572184.130427642,1359947.3991808796,1307342.4868545488,1121846.9510465602,1155474.5805319424,956304.1619432966,992863.0344961303,983214.5270576009,954972.8134960424,811848.9288048373,877966.8188732361,793032.7516900724,754551.2039840393,925764.9156393908,694059.8472547482
[2.5-3.0),,,,,,1398872.82629502,1455748.4283568857,1381881.7791190224,1268528.4739355291,1104127.890523283,1060993.8245525185,968045.360553405,985275.9323932678,1055702.6648205272,892674.3084557861,904115.5382328,809703.6596794617,771004.3869980259,720402.1677918512,717061.742068943,662793.6096688738,606022.9706603993
[2.0-2.5),,,,,863520.5858869047,936739.8522937844,1123102.0689778756,1238688.7100376235,1080901.3350621276,1000437.6386375428,1089501.046554998,873924.0233891137,801618.4243648308,723286.4730729413,703178.1410748236,728071.1455466994,759704.7084066229,738550.9500740455,696465.0664717791,606027.2705779007,635353.3591907832,521027.7926990784
[1.5-2.0),,,,1142271.5704194342,785822.0197952635,802413.7916933224,826144.1711017344,932968.3969463165,1095207.757252644,725264.3448551511,676527.0572194166,672501.6628399914,710712.2449480921,608720.3800552146,725820.1014952614,566633.3568908653,538356.6056958563,611450.1311836446,536479.7885906677,487042.47463731986,499492.62749071216,468658.8245719641
[1.0-1.5),,,817352.3564635632,723406.3642397699,548223.1395306574,659185.7280783734,603875.5413694978,640498.9863897873,631701.92405461,601375.0048339752,594519.8372117975,512984.50502485834,598604.4658401278,473086.5890617932,482746.65350176045,474048.5418116712,456321.45830101706,488546.7181143032,365204.65233743866,341404.95388952596,372137.91251222417,353923.86376709054
[0.5-1.0),,483080.8085735309,558146.8711292933,548619.8396642715,321153.80122215115,377685.55676286796,403239.5306207639,341386.5008903131,409884.5361962916,346618.3102246775,354170.6095141817,435587.1493512552,316917.19555729826,377137.1656053052,323351.46548347245,339926.26843467203,273199.7537618306,272135.94909492775,230424.16236166362,224911.68154102945,255816.8526823466,251399.91712021426
[0.0-0.5),75655.97009599276,146473.04534111873,184378.87699769027,146146.54283485204,100976.68563244192,111270.62473256596,121984.1626728123,130663.95798418179,140731.23329141364,139369.2532310719,129121.47410202649,133596.43771969673,144723.63494997783,124773.53156616625,130478.05010384829,112622.51644619896,109029.6062099319,107073.42198733128,87616.51031124422,106937.57803595936,87665.38975507604,94725.42855161228
