"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Wave Break Calculation [non-dimensional]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1.0416666666666665,1.0416666666666665,1.0416666666666665,1.0416666666666665,1.0416666666666665,1.0416666666666665,1.0416666666666665,1.0416666666666665,1.0416666666666665,1.0416666666666665,1.0416666666666665,1.0416666666666665
[8.0-8.5),,,,,,,,,,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571
[7.5-8.0),,,,,,,,,,0.9226190476190476,0.9226190476190476,0.9226190476190476,0.9226190476190476,0.9226190476190476,0.9226190476190476,0.9226190476190476,0.9226190476190476,0.9226190476190476,0.9226190476190476,0.9226190476190476,0.9226190476190476,0.9226190476190476
[7.0-7.5),,,,,,,,,,0.863095238095238,0.863095238095238,0.863095238095238,0.863095238095238,0.863095238095238,0.863095238095238,0.863095238095238,0.863095238095238,0.863095238095238,0.863095238095238,0.863095238095238,0.863095238095238,0.863095238095238
[6.5-7.0),,,,,,,,,,0.8035714285714285,0.8035714285714285,0.8035714285714285,0.8035714285714285,0.8035714285714285,0.8035714285714285,0.8035714285714285,0.8035714285714285,0.8035714285714285,0.8035714285714285,0.8035714285714285,0.8035714285714285,0.8035714285714285
[6.0-6.5),,,,,,,,,0.7440476190476191,0.7440476190476191,0.7440476190476191,0.7440476190476191,0.7440476190476191,0.7440476190476191,0.7440476190476191,0.7440476190476191,0.7440476190476191,0.7440476190476191,0.7440476190476191,0.7440476190476191,0.7440476190476191,0.7440476190476191
[5.5-6.0),,,,,,,,,0.6845238095238095,0.6845238095238095,0.6845238095238095,0.6845238095238095,0.6845238095238095,0.6845238095238095,0.6845238095238095,0.6845238095238095,0.6845238095238095,0.6845238095238095,0.6845238095238095,0.6845238095238095,0.6845238095238095,0.6845238095238095
[5.0-5.5),,,,,,,,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
[4.5-5.0),,,,,,,,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905
[4.0-4.5),,,,,,,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.5059523809523809
[3.5-4.0),,,,,,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714
[3.0-3.5),,,,,,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186,0.38690476190476186
[2.5-3.0),,,,,,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524,0.3273809523809524
[2.0-2.5),,,,,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285
[1.5-2.0),,,,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331
[1.0-1.5),,,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238,0.1488095238095238
[0.5-1.0),,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429
[0.0-0.5),0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476,0.02976190476190476
