"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Force Average [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,44653.04612036907,39546.19967824895,34597.29145833419,32530.598646689272,29805.19788353821,27826.12852855181,23790.888462586863,21539.672333491646,20400.06245823912,18660.59933860172,16495.726597125686,14023.06361647122
[8.0-8.5),,,,,,,,,,46701.16940534379,42871.0841205295,38158.79976419071,33762.64912120578,30734.64665314278,26883.242645078495,24957.56314784176,22577.221750970184,20814.54349513096,18543.323374944088,15949.458461107657,14856.832332642873,13016.303124387381
[7.5-8.0),,,,,,,,,,42791.23977690539,39580.12815684051,35104.57325981418,31705.041749087235,27341.483504112995,24843.631693249645,23077.974860052236,20874.972575597163,18658.20839503279,16414.877444329286,14505.790206325019,13315.2102663161,12060.13210252165
[7.0-7.5),,,,,,,,,,40450.762808332394,36133.54467128556,32031.94446977975,28891.089560893346,25243.269986559688,22618.506083034557,21277.93747883086,19009.646648838352,17200.923596280176,14886.771117728182,12718.418254785089,12392.215078448664,10562.28003859514
[6.5-7.0),,,,,,,,,,36862.084115430414,33972.45227735903,29655.127368878828,26603.27360712401,22822.656349098477,21438.44549298821,19222.330102103522,17920.58151960366,15259.822344249013,13808.500531383826,12320.309557459024,11732.476529090914,10581.109026744702
[6.0-6.5),,,,,,,,,39139.49080336692,33215.24320192487,31402.874695530812,26964.642359192625,23944.18860411727,21852.031543686608,19322.128851357946,17759.088292176162,15459.16698815442,13685.445386122912,12469.702173629852,10687.701035826713,10342.500203891037,8759.49635914533
[5.5-6.0),,,,,,,,,35714.383216820686,32073.272994642422,28013.867311636233,24135.47630022013,21579.001028304363,19174.86371306324,16844.996470600126,15707.982771960376,13655.912531900834,12295.389512491382,11152.144316616073,10131.139259395946,8714.348021789154,7985.1353579247325
[5.0-5.5),,,,,,,,36913.71915728388,32312.687824119675,28271.828968880232,25570.582757162556,21772.385344196453,19431.951638027116,17042.49174831153,14989.062185041375,13514.843811118373,12115.342338277123,10834.308403885265,9706.757963818698,8561.780636085987,7885.203621097046,6315.636467351556
[4.5-5.0),,,,,,,,33396.85045201792,28586.418848569534,24747.821812014474,22364.386457894605,19616.467379905316,17085.892882581258,15083.179165367732,13412.268160297232,12057.592546129878,11044.146322995162,9280.121994041005,8496.233504999203,7275.843886178399,6403.563363302881,6137.527083019672
[4.0-4.5),,,,,,,34161.96924407895,29327.854176539156,26161.669222956312,22172.162129328415,19975.1936000675,17123.846038123134,14876.013685169983,13167.23971639212,11722.337049782822,10504.405289167535,9314.78297205031,7978.131785644206,7732.41242749283,6469.652139276667,5627.552431068626,5183.920896898014
[3.5-4.0),,,,,,33652.54394424078,29642.41112222086,25951.402021085683,21816.442240232165,19558.44754607371,17621.09205555599,14755.476158736383,12933.286325243173,11568.61148598689,9715.266597282349,9097.933983895955,7992.696708247825,6776.8086812431575,6398.775986614829,5320.5176285672,5055.4320471258025,4146.6314500777835
[3.0-3.5),,,,,,29273.708173119936,25816.11661536417,22450.40164527482,19139.472074647463,16518.028172725993,14571.100665799644,12159.57343821457,11018.707692635466,9470.318838269763,8251.432146186342,7631.191223269097,6839.389355348692,5759.371766294292,5073.069502686397,4428.096112892412,3868.9543561053797,3586.9414692507744
[2.5-3.0),,,,,,24789.565582204526,21828.12322961648,18768.78713604756,16321.616158864808,13511.636189924546,12042.948747500286,10319.359903443747,8937.08487440211,7724.986919547608,6588.887094610231,6050.208800743981,5347.05642554052,4513.9615021231775,4249.91151173534,3754.4470426004145,3122.8495519746143,2765.0556759962706
[2.0-2.5),,,,,22569.34981786523,20578.888551704025,17792.89677791386,14967.027840354589,12994.657573647892,11366.210837936398,9721.058881594627,8196.822522531143,6989.866939627766,6051.84181489255,5236.115437540257,4768.541411161869,4180.508610535129,3474.409507562621,3240.998699727019,2777.6824144919406,2493.205441832838,2162.15788786551
[1.5-2.0),,,,18071.957700262763,17868.29510153068,16052.559824726306,13685.323664293503,11808.180239655143,10233.469998829465,8534.694818483556,7374.083543237738,6118.210771666262,5302.705550055493,4552.093677617649,3969.845272860235,3504.7101259445826,3066.349908023419,2651.0334861476845,2387.3599783570653,2007.7791771820348,1758.323177955127,1559.7612935430489
[1.0-1.5),,,11075.347123453987,13159.099550793859,12934.777035801078,11751.035731317505,10071.592138107975,8434.651815421019,7140.248446666462,5976.949309103049,5204.924057832267,4299.330209706146,3728.89547331696,3144.798445474154,2651.0370395259783,2418.435453004097,2113.2234122548903,1798.8949421328832,1591.7324651386027,1329.6614939127019,1197.6022284471653,1018.0449507006427
[0.5-1.0),,4008.173900855937,6704.118919364881,8183.027990726395,8047.717786242866,7246.797694083729,6173.84994304579,5232.932379278618,4337.686380138707,3653.877878473909,3116.1632010211465,2578.073330689679,2194.655344731492,1868.0670057901161,1563.1320480717884,1418.0807029251193,1227.657507974669,1035.8560374905471,908.7324104815659,759.7086672603041,662.2468014051224,572.1980006624804
[0.0-0.5),444.98183164328077,1366.071354803882,2283.8088679419734,2808.5310379893567,2875.3852540472203,2586.9238695737236,2203.6211265018314,1819.1791240134814,1529.3956382936187,1258.7090677420722,1058.9352203444228,864.4667576389378,742.3788701248573,621.7181768329743,526.3190894323905,472.91039341996316,407.9556171263408,341.14918843055955,302.1375114194453,246.22787221188148,216.4030513627515,181.6021692232962
