"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Delta [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,6.020527140415405,7.799011140059266,7.059840424656335,6.8869717712805425,6.974721428077283,8.375511742115664,5.7374315089416985,7.452581535307394,7.314256301625635,7.629339627921416,6.310613249059331,6.474384066099789
[8.0-8.5),,,,,,,,,,6.7274752956276025,5.766877928545462,6.373709671152877,5.825884320697259,5.8455338211755805,5.788021396879446,5.2388978078923705,5.648755381298878,6.540162596419293,6.003488886125924,5.919351726490152,5.994580288798092,6.924900670478399
[7.5-8.0),,,,,,,,,,5.666496460243664,5.559422402590897,5.8151441269382795,5.836491821088773,6.106496073938934,5.706941362319612,6.161108871121529,5.606856852317074,7.216088237918549,5.430644050741584,6.633326572519876,6.422133171155979,5.506268103648289
[7.0-7.5),,,,,,,,,,5.8029246756342125,4.71445962806744,5.225075818861654,5.350310845562918,5.767559634197346,5.459834342051039,6.556105712813336,6.298727010924965,5.998182628272554,4.369252688359431,4.794485837260217,6.138921051465978,5.287208502756932
[6.5-7.0),,,,,,,,,,5.762567330588691,4.700346173029902,4.668541465133657,4.491185776024425,4.488816841574914,4.598177151036168,4.3209021702412045,4.367999384055883,4.884380322193102,4.116177012597032,5.302279932446034,4.327765363746739,4.987569316747567
[6.0-6.5),,,,,,,,,4.309899436089852,4.777567078369341,4.411241226313933,4.429085186185734,4.04008004270092,4.612984779227447,5.469584904157687,4.356950062266629,3.7741037005067097,3.8590237030582797,5.750378430480753,4.4095263867258705,4.841980631613453,3.718675758425646
[5.5-6.0),,,,,,,,,3.535654594343076,3.9185886569617727,4.474542091391877,3.7388762926682118,3.750292257671138,3.951749980452494,4.153290384981961,3.6754903783886848,3.7428968451805034,3.6759656435603207,3.802233833917065,4.841984469431385,4.588546695340041,3.392808457173211
[5.0-5.5),,,,,,,,3.2793614368558854,3.7438438682197197,3.4380985347096322,3.9410679614727138,3.344043478923798,3.4712629765414604,3.291474265888257,3.6126099259671873,3.2061092434023744,2.414057072930364,3.4778957720364976,2.7626461864757106,2.840556401693312,3.4402619849629774,3.345658143562229
[4.5-5.0),,,,,,,,3.2881551866732153,3.61171632340504,3.137841872580215,2.9024557136911295,3.2296786008543346,2.8460014852771387,2.416198036996926,3.043337528279447,2.6572620414159145,3.003340500890184,2.7339381966571024,2.37809908291207,2.5070313018541395,2.535588010773081,3.4361430026674045
[4.0-4.5),,,,,,,2.990668986847149,3.0968548267669633,2.748126486245118,2.5068917624042415,2.670521507135539,2.6731295871591954,2.550525729964498,2.262979294634787,2.750312139942314,2.380872094244444,2.289623135679965,2.7829471843114386,2.3260391837510173,2.6628369031190364,2.305355307355284,2.1668724716008736
