"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1554510.2332172806,1217625.8807179425,1001982.964325023,932677.1454392595,809179.750332232,773572.8712066403,668134.4736762065,594272.3263305462,565378.1757799037,529109.4501535564,492523.66841821896,431474.23589670705
[8.0-8.5),,,,,,,,,,1914206.0708970292,1450916.208142524,1143645.9335262345,949896.3049869703,831598.1262011954,747504.471079758,720213.4312831948,621956.379079949,564427.2474987468,517146.7281495674,487014.75618542766,453242.07161531725,392586.16876705736
[7.5-8.0),,,,,,,,,,1712922.0920670996,1329520.3987158325,1090124.0099010586,919176.0925605617,782216.5696079547,736246.7223003091,651849.4837849665,588585.2368555788,529367.3155469702,472326.2474255232,456446.89147110074,411633.6433154783,384334.38274312264
[7.0-7.5),,,,,,,,,,1570076.9634324717,1275148.1267748678,975032.7583609787,855885.5122333491,707070.9914228846,650671.6007367213,617974.3600008644,564494.5374103175,508026.5353137629,446365.5266804408,402680.26861958427,395035.50686885277,333919.8774910984
[6.5-7.0),,,,,,,,,,1393190.2665450203,1122866.0917534512,917491.1448400246,788745.0730722538,683061.8876953457,589235.3812132473,568029.1091003923,523084.42295379937,452914.8355716952,424963.6407584349,407438.3233986696,348204.9632040231,334676.59064806
[6.0-6.5),,,,,,,,,1416408.5328016342,1319163.1947526068,1057781.5800499907,846295.1132815127,706053.1655281073,668476.0177092949,548222.3400909953,532297.2930158168,467694.2398163965,432749.9530789118,369369.3455560789,352321.0511417024,340666.8841776548,303228.4042126821
[5.5-6.0),,,,,,,,,1290054.381832292,1204975.1196584534,949012.4312515147,779668.3417185957,670336.2427477845,574199.6037305534,529208.3172636352,490026.56880829926,432311.32529715606,381594.3719000831,347845.4544525056,315045.32410998066,304520.52700156055,278696.04802803573
[5.0-5.5),,,,,,,,1053605.4901829592,1035765.2185277285,955871.2511942828,820996.8019384509,709934.1655436192,573181.2535278343,523623.4317194329,481457.57672012906,418262.3987674659,390029.68897374725,360062.9535341991,324907.00247447385,297826.9535401906,282199.7732022754,250944.13904047455
[4.5-5.0),,,,,,,,879560.7542977575,863590.5474235426,818073.4467948516,703295.5649727309,654902.4966231359,518529.41281856847,479491.2050604727,428225.48304855655,378490.0237209671,362928.75258249324,310114.50999765657,281698.3181997884,269307.86214020854,240887.20826533504,222229.1258451333
[4.0-4.5),,,,,,,678991.8443167701,682479.258966297,720270.4005655365,695523.2030837653,615383.6914426191,534847.9404743573,482973.49513430014,422225.8758139767,371294.6877336724,352381.84652784374,303767.5819222932,272117.7567919013,255165.00734932028,237077.93222481915,204195.60904849504,189792.93322577156
[3.5-4.0),,,,,,523201.34308199503,561806.6055534962,521540.6886847412,541628.6714835849,586291.8062568124,530454.566183158,440510.72791973513,396870.47179850534,369851.7704357321,309007.913527896,302304.8406968972,253071.4278886331,241859.71250308224,215828.42360796363,201691.3683126799,186764.10400183295,152408.79168519168
[3.0-3.5),,,,,,392009.28695238347,415324.8752037152,408564.2685665263,400758.0409766624,424230.93524404964,400955.81479050487,366951.7479780844,325259.1319922639,291879.45574300044,258600.7007007201,260657.84677577586,226485.6986079011,198016.50470327245,178267.32853069916,167361.32486408117,152547.48526075392,134341.02857221494
[2.5-3.0),,,,,,280370.2038740614,304619.12998714374,312558.5705308723,318885.6471131186,294837.1534552347,328127.14906807,268504.9606976839,263338.83067399426,240523.16974729914,206874.30308188315,201831.9090193756,178967.09874086943,155938.64914643276,147682.03356706,143998.9647491113,125482.86782948136,107574.14936766298
[2.0-2.5),,,,,173663.15671642465,190707.8332345592,198746.24872563957,200389.62217567334,204645.64817204047,226078.07810628298,216356.36873990725,206291.60411589313,176104.05463913124,156973.52193072267,157299.5752376111,141407.378979881,131825.5272666276,112113.76386686508,112165.11592623878,110527.26033311666,94777.23302202148,85765.6267782351
[1.5-2.0),,,,83351.09152291782,102959.8385827763,117177.98517328432,120074.65007108776,124183.48005116452,131449.173909545,130345.8217672621,133595.9157623203,121498.1919600618,126239.80359703758,111487.9635093538,111370.46006422795,97686.61869250012,94428.36199927024,83042.21738475017,76705.19509001012,67710.68677834839,62577.50884969148,54512.9791585356
[1.0-1.5),,,27784.012639226366,42672.32487851396,52714.83303038455,59206.31069641413,61022.569541958685,65504.527701332096,63156.18982222305,61827.570534791834,66168.31372200506,71967.9350879369,73362.70233422227,66631.28825590854,61849.80586926368,60450.19362288381,53646.19997089355,51581.99462899717,44084.458704169185,38809.13394594813,39332.479527447336,33324.597840723036
[0.5-1.0),,5202.1081955054315,9932.950321655282,15247.027922592828,19155.113085017223,21596.51021840727,22631.37178005947,22368.630724440478,23673.672975553163,23376.30381650516,24282.208207710013,26730.54165322951,26453.3941327846,25986.79891457896,23259.996299384307,25599.363083083852,22898.02726533623,20432.297163077783,19222.46616696909,15940.104875737674,14653.899890446462,14283.879591558823
[0.0-0.5),154.7763430142996,582.665518344226,1113.5518914973563,1715.3858484927605,2179.295091731405,2346.591465831078,2451.4401463239997,2539.1198253595708,2856.142735083237,2634.0411319920076,2684.5711276317816,2660.834468545115,3024.5106012912825,2899.2789713019474,3296.8545828694355,2716.708133647146,2756.565831089237,2311.4133118357117,2414.5413779507503,2092.159015312252,1886.0493941790123,1646.460908046304
