"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Maximum [N·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,20199404.65340599,9883478.460695004,8522426.094341097,7595496.481706441,6999608.514345046,21773465.537981853,7991680.508066549,6703939.243819299,6816680.502502523,7192961.388111685,5817948.217912149,5495559.711684312
[8.0-8.5),,,,,,,,,,16801764.0622848,11562652.917638605,10289051.102500245,8852157.499192845,7335917.3429037575,6360851.77768317,6860586.5911855,6478381.873194907,6496614.775003235,6852285.550236437,5377303.506052115,5123688.496050758,5294472.24993376
[7.5-8.0),,,,,,,,,,15242742.105692891,11830983.649481999,9501643.113008147,7831870.52088278,7829868.06025432,7102371.052096102,6725853.405367716,6662212.9087887965,15226287.888302159,5724218.21931728,5635357.942799475,5811491.938220965,5622150.577296278
[7.0-7.5),,,,,,,,,,14847773.09084759,10540455.026218357,8109602.837160354,7086928.497010805,8085095.746038536,5775760.546184215,6094755.294593651,6792726.414489302,5114982.901045731,5425438.057021266,5280590.979722517,5513218.918639012,5283855.31374516
[6.5-7.0),,,,,,,,,,15737425.03964204,10676602.076742483,7995961.806271158,7514274.792976448,6300869.819675464,5965006.748934266,7054362.91494898,5170405.455486921,5761941.043746039,5653528.747571598,4944102.188426353,5100933.778116092,4398301.229777026
[6.0-6.5),,,,,,,,,17102708.57215533,12401061.851877596,8786815.86041958,8522329.067869816,6883658.7752700215,5152063.312358053,6008228.18408895,5709462.377928208,4591987.307677588,4575175.002851909,5769756.469372684,5342173.812255142,4815425.8824965,4045596.409573097
[5.5-6.0),,,,,,,,,14009411.747331707,10927142.063992321,10295547.395719735,8003963.70077394,6051409.604323273,6375323.154919007,5985164.243593497,5318651.431558759,4346270.150888366,4214242.07700782,4173504.0188209903,5336161.464528958,4039135.1566809453,3576147.959319993
[5.0-5.5),,,,,,,,14258765.470191503,13412049.838916901,9538695.092308795,8717671.709637733,7497438.886477429,5494026.51653602,5967378.3940581605,4824938.633971825,5217864.237938116,4317326.611810512,4531674.806674386,4653652.952760758,4024268.257723651,4253133.4839055315,3944955.042614647
[4.5-5.0),,,,,,,,13113753.323913109,14479079.848332195,11179618.895622632,7626215.043525657,6034897.580329905,4694062.345693572,4459016.584139918,4198181.3181643775,4577798.623923989,4005664.9688008837,4092494.8792037624,4524600.85239171,3761986.9779612315,3360556.713323315,3520816.4846393326
[4.0-4.5),,,,,,,12418706.704481805,12239668.136422066,10002644.568733733,7871290.3987596985,6262857.7657413175,5672548.266216047,5141123.146111713,4773454.809547036,3782275.9395165476,3897534.5382178323,3855477.165799199,3606609.7074403614,4030627.0461394363,3224560.9404343734,2893708.0061090863,2979064.0481994003
[3.5-4.0),,,,,,12953784.655413857,12974933.881827602,9602027.151806675,8221076.829623647,6634288.677638108,5417060.8548993785,4779140.600977047,4027240.937204564,3994739.4150398523,3896210.0766599663,3570764.233909796,3074417.0246621394,3314009.364754768,3412462.131273433,2752337.4772805264,2722189.2836330645,3017309.097644325
[3.0-3.5),,,,,,10662752.839288441,9419047.59380297,9168329.574079152,7546019.917955186,6183923.750199476,4620686.227804532,4502876.288238279,3517065.015223029,3510226.4965340416,3138363.4197045923,3622251.3851821073,2933204.9109063684,2790243.1528077046,2715757.5994816,2788697.3127818606,2998934.5198130505,2254997.341575743
[2.5-3.0),,,,,,8938217.129007416,8208054.178447384,8260622.403286198,7177534.271129451,6357449.93025938,4162709.664901551,3625330.8901507836,2931142.957136232,3366400.921334618,3071933.6208072226,3055830.0538157094,2689444.8969708662,2459282.560985328,2510577.95156693,2470577.0629978827,2284673.5717861545,2058897.1708306212
[2.0-2.5),,,,,7026160.097691924,7423280.1075996645,6803271.133725384,6436559.389025416,6440482.768607561,4903291.703340943,4251135.058212815,3081564.3476877925,2592658.7453646045,2805579.0963348,2541860.4330914523,2515390.9023655965,2765473.067453685,2169078.2258496876,2486227.125171885,2001729.7982081089,2046848.400001527,1862349.7120656634
[1.5-2.0),,,,5960793.272346001,6577674.965262842,5681052.274913315,5070522.089757228,5298875.967100338,5270725.099567997,3761283.933532143,2741992.149569539,2524727.868131946,2307125.776819266,2307933.3141993084,2399990.775087995,2065232.2193268372,1905109.523213233,2131343.021003284,1772031.0685710572,1801841.500518255,1763835.5255845843,1676470.0998771098
[1.0-1.5),,,3086246.110679736,3813377.1506804777,4643315.082291532,4760996.0686788075,3942189.932844906,3580711.597617605,3287822.2718853774,2539296.235998142,1988036.0636236283,1877825.5856005412,2007478.9198717088,1643686.174026195,1543302.5870053961,1677982.222069666,1407927.7023638864,1603671.613579965,1285385.0453204664,1338036.4193750706,1314765.3869793527,1217189.8870238818
