"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,74184717.882189,21235466.62674393,17501625.670724347,13901582.36231685,11805908.278094376,103061695.98558335,13884121.161524089,9770174.214091407,10101550.668086533,10245285.847696155,6702677.518080624,5980430.99894807
[8.0-8.5),,,,,,,,,,36425712.98124969,24308171.36250483,23014037.51953511,18882094.551931597,12967634.520943645,9749502.491001239,10232097.472859625,9123789.498900076,9175218.159737028,10207351.5786911,5725820.395287202,5198452.238527304,5550779.486201713
[7.5-8.0),,,,,,,,,,29979507.98718232,25449486.20260189,19626352.57542938,14780288.158041615,14772731.046021866,12155102.304012697,9834153.050107935,9648930.61783306,50399965.838577606,7123190.048339976,6288566.167024382,6687809.613466785,6259124.180949084
[7.0-7.5),,,,,,,,,,28445982.678361002,20200216.756314877,14296882.2122781,12102302.535359958,15751511.619906126,8038412.020929681,8075226.543690726,10030680.90045667,5687619.582171784,6398995.24142928,5521711.107945903,6018927.296007745,5528539.995364943
[6.5-7.0),,,,,,,,,,31956973.79075513,20725423.982745804,13899001.132031983,13605861.605870178,9566496.50228846,8573808.557790685,10818268.725175537,5811541.863941068,7217383.606870694,6948345.065134452,4840425.039525199,5152381.269054596,3830703.704526356
[6.0-6.5),,,,,,,,,26464524.617035393,19843398.071495976,14037842.357258381,15789150.595882349,11418014.008277584,6396085.873384539,8698507.44869417,7086513.183690787,4583988.572580884,4550483.979721949,7236976.025188683,5651251.691157354,4591747.807884594,3240960.4572575707
[5.5-6.0),,,,,,,,,17757184.441043984,15406765.636989724,19272417.48682026,13926833.678979754,8823989.927541193,9793914.537264202,8631853.258503644,6149576.750091746,4106535.7009789515,3860833.974700692,3786551.2598075992,5638538.450598779,3230616.398799209,2532442.4211779307
[5.0-5.5),,,,,,,,14307168.377572538,16275135.889286794,11740219.879230436,13817781.824912377,12219910.838361721,7273331.895036365,8580627.686234253,5609646.463034675,5918718.957729027,4052023.7115320074,4464364.468140725,4707931.696682374,3206878.2198261684,3582008.798399684,3081716.888762521
[4.5-5.0),,,,,,,,12101629.62432741,18967768.15158671,16126952.084046785,10574391.980017643,7917388.870667771,5309450.916929697,4791043.107863813,4246922.019321539,4555704.4002609495,3488119.965712736,3640981.377458482,4450437.58118778,2802484.3608613624,2236305.2323687924,2454682.914556053
[4.0-4.5),,,,,,,8879579.53947541,10542148.317426544,9052405.090475954,7994479.0376266595,7131524.980710241,6995174.74620667,6368951.133370022,5490571.281635597,3447135.248830309,3302342.494913237,3231457.4295650055,2827746.43082675,3531729.2141458085,2058968.9620940615,1658127.925667292,1757390.6145097425
[3.5-4.0),,,,,,7776122.44165335,9692815.986418666,6488072.529839332,6114933.240632957,5679198.226869315,5335372.419215125,4965257.583458099,3908113.1485051312,3845287.468451311,3657940.4726425684,2771816.785689003,2054791.313376609,2387534.362974413,2531499.5211685263,1500071.6017510758,1467389.0090943954,1802802.8100449922
[3.0-3.5),,,,,,5268760.156398343,5108032.405794499,5915211.394073163,5151932.930673102,4934311.348165311,3881952.94833136,4407803.231995334,2980661.764170064,2969081.9414384705,2373331.314250579,2852327.195098629,1870367.6194272256,1692490.6199544086,1603334.6389439267,1539966.8717458951,1780912.5255695707,1006933.2694086473
[2.5-3.0),,,,,,3702299.4718545116,3879002.771303708,4801925.06408816,4661061.743102465,5215118.660097418,3150573.0462299604,2857179.1441481463,2070264.8277516467,2730760.2802801356,2273921.968830307,2030021.1560442003,1572416.0551831813,1314797.98147099,1370217.7501943484,1208663.5691507414,1033610.5603204168,839417.3386246209
[2.0-2.5),,,,,1995684.2311692885,2553650.3989312504,2664865.0432140618,2915394.957779902,3752935.9407708915,3102228.3262002743,3285845.3242120133,2064356.267160976,1619729.9686543532,1896692.545973685,1556880.5930881605,1375476.389500785,1662574.192785151,1022804.4238815714,1343766.3734653164,793449.9376305498,829621.4599185765,686801.2772338731
[1.5-2.0),,,,1273754.8533533239,1749043.300051628,1495640.8391601394,1480283.91209577,1975865.347331694,2513477.7068052636,1825452.4940189717,1367003.8087819964,1385706.6974178434,1282609.4819431086,1283507.513925543,1387941.1374716805,927213.939075142,789009.194660381,987526.7550390011,682629.153908931,642897.5827702725,616062.5269929202,556544.9496597953
[1.0-1.5),,,354849.77658437286,521311.43504397594,871589.6257772008,1050425.823789088,894776.8723207599,902253.3902257452,978027.2882790711,832003.27408443,718597.7073214784,766571.5065078294,971077.4972841645,651013.0695626194,573923.5843512164,612092.2473004031,430926.17719209834,559078.8356961235,359177.1118985864,354523.061301794,342298.61837603303,293376.4794204376
[0.5-1.0),,85750.75905146991,167403.34615614126,307515.7535259975,309070.06040929555,362156.700332655,407384.36621431203,251594.25578374133,368962.1539731401,264085.9787035715,297130.69007137464,442851.0265294043,264236.8319611625,352204.88794743764,292602.1947910318,283679.2060627833,207989.83581260635,169907.3312950489,168972.65668471064,187586.93778101186,135540.25943423028,152415.45471779493
[0.0-0.5),2541.451981608786,8907.220228916025,16469.650121314877,21848.380863568575,32268.038986115414,34463.94771112281,35130.86741491581,36521.809594182894,38571.26633683097,34113.387138281105,40092.065020964736,37631.41178548153,33877.74559853787,34451.40931773359,30360.98993885617,39688.76707583414,26622.24558214772,32516.503619930496,23938.993421425308,27032.27684474487,28860.478457664994,18885.10158361528
