"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Average [N·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2409286.78358458,1955455.4433959364,1694586.965732309,1634590.4084964828,1518980.5425938729,1548806.247658823,1454177.2786143122,1360353.1380775776,1335379.5857487137,1344569.2030230316,1296045.0973531778,1217499.391671409
[8.0-8.5),,,,,,,,,,3116204.637513113,2318817.1758636152,1896446.5973593327,1642509.3335680603,1539488.8005301636,1464475.6822702233,1514298.513726195,1399890.4906382768,1333851.6766872345,1285181.5640244521,1308790.1103867816,1254467.1443688115,1144912.6274365368
[7.5-8.0),,,,,,,,,,2944909.8709660526,2216244.2753863637,1856859.7208345626,1633221.4956618294,1506840.3199244267,1468137.0794069413,1443639.4342698604,1373567.5776310351,1285837.3195079684,1224127.8244645577,1249191.0418696692,1190094.1635923032,1158624.9174703672
[7.0-7.5),,,,,,,,,,2828322.229392258,2189310.6978122494,1754840.0260830275,1570976.873524906,1420742.1812265194,1380106.3615252185,1413433.1244976332,1342371.3582608511,1276389.7814669556,1189043.3744200417,1179192.2872069892,1169231.075205944,1068751.0669671267
[6.5-7.0),,,,,,,,,,2671646.193299097,2042993.262773601,1695200.9942034523,1502947.6017139454,1400761.9852443438,1309311.0152669381,1354866.1917735361,1297174.4714365844,1198101.3331760128,1163475.4662250692,1191958.7444552619,1094536.2747673749,1079263.9002188817
[6.0-6.5),,,,,,,,,3150422.6432454847,2596008.559955708,1994264.08873863,1649273.5654764334,1434997.394777195,1406752.1431320366,1261717.648673009,1310291.0264496356,1227200.4572201692,1183121.0487271463,1086014.9275299865,1108012.3711844082,1091076.2842197693,1033725.8211470087
[5.5-6.0),,,,,,,,,3011510.6731931916,2505168.90694628,1879580.285945669,1573384.324847066,1407526.0881661656,1299165.4452926388,1246245.519566576,1247407.7082189827,1180384.3880313996,1106385.5365122606,1053331.578877773,1047063.2033814339,1036026.7375017466,993584.0502963583
[5.0-5.5),,,,,,,,3099511.43956956,2711943.0243241303,2201041.84632507,1740141.8236709272,1505520.3808988626,1283075.9911035926,1236942.4409547849,1186669.068992254,1163845.1021438143,1113184.4895891624,1076084.0241705521,1027319.5715574069,1029279.5227353113,997564.3039805441,939248.074388252
[4.5-5.0),,,,,,,,2827560.999966646,2480777.6084688753,2042042.734654432,1609859.943688575,1443801.399136721,1222520.2870314629,1186887.3774177062,1120230.827961445,1097738.681899853,1090475.8462878831,1004964.3395969607,958809.9368120799,973500.520042039,921170.0417709963,882117.7627433613
[4.0-4.5),,,,,,,2745649.4845997035,2490436.5548615945,2239512.3387707635,1872750.4169300224,1504345.5922535933,1306095.0195655676,1183637.3576418208,1112314.0342099664,1039281.5997988795,1066725.7639021121,991485.5328033256,931725.2514833683,907587.0838099633,921447.1366683652,844830.2481575172,817947.9549550005
[3.5-4.0),,,,,,2661875.037994895,2467791.809857396,2190729.926774542,1954662.368783675,1727579.4734534994,1405224.6898648706,1175221.0990085793,1070351.73959132,1039868.8179058761,949600.3811951987,989254.3898093823,897133.2265496342,881939.3964324419,836374.4677018331,850236.599680489,811968.401019691,724424.413093282
[3.0-3.5),,,,,,2348249.880564379,2155607.3353654887,1914052.7087554554,1685278.657744526,1467951.6535649765,1222530.063154341,1079554.6933069362,972184.2570749783,914249.2163862415,865419.8311606749,915693.6211456802,852656.5580251525,798908.3286628893,752291.1246636806,764052.1129569319,728090.2037795921,688176.3576634664
[2.5-3.0),,,,,,1955721.4126264085,1848847.1897736199,1679512.4710145716,1491064.961379701,1199609.8260831393,1099050.116624807,898565.2085242198,866535.0993076169,819674.6270770392,770798.2315957563,797675.8903131838,755178.0933100939,699998.2438530714,681802.2591614847,706596.7895960928,660233.8955045881,612822.2377684581
[2.0-2.5),,,,,1655512.9870264893,1630299.8746354838,1461191.1379618316,1339991.812697346,1204460.004321291,1054669.5470833604,874149.5807562063,790420.8712115021,705194.4865826806,660357.6035697334,667656.9662622141,655674.5099148994,644493.8124334037,601731.2084798709,598143.6507540462,624824.6325214024,572198.6422456262,547851.3744678338
[1.5-2.0),,,,1224143.6812365728,1271707.2864922301,1266243.9745689733,1160366.4953721326,1054291.592605463,963401.6091720171,799910.2361226018,685712.9898513809,601562.7129122111,592227.4719828777,551888.6624868549,557662.960719208,546724.3840150845,549609.544619005,510612.7178963967,491253.19621898036,483524.46558503347,461556.16259774286,426666.2291201402
[1.0-1.5),,,689443.6675156424,876389.9742150484,914391.7080302589,905339.557270202,817707.2559643633,771085.5399858358,662276.6015610708,547729.491848441,489953.000540279,467253.95325043506,445149.6595343276,426023.1503078166,413126.28264758445,432793.43887929793,405650.254491559,393203.1636424186,368286.47457163566,360475.9596276708,363468.3021301458,335702.6873779715
[0.5-1.0),,253609.30673231167,411136.379966295,527120.3492515223,547253.1917947388,541738.1658781088,503124.2904476474,451659.06616163364,409275.5075888139,342503.3242282336,291915.9732513037,282365.1059986095,266055.40989968745,261710.83397005082,249076.2166157644,275398.1319265796,262648.4070084109,250859.98256932996,242006.17273763023,230869.1382365129,218979.79756591402,215966.91917942138
[0.0-0.5),43766.181725584145,85151.4715946283,139485.60848356644,173357.0009087693,185265.15827759242,180206.45664420052,164303.08717349064,151070.58145122128,140836.31017333217,114021.27804958275,97822.9490864546,87721.01018863593,88978.96920735261,87430.38632939506,93780.86728465224,89258.61665573878,89736.33281344222,82443.87190661032,84908.251940332,83495.52652602337,77851.28931344881,73335.10031224955
