"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Average [radian/s]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-0.0016168324421994746,-0.002055694856634058,-0.00016894582850438393,-0.0002063935174450355,0.0005770305267925762,-0.005272393399639339,-0.0001575284924384974,-0.00300085760477187,-0.0037700817930026945,-0.00012286745126276595,-0.00018288675274893648,-0.0019784048673368126
[8.0-8.5),,,,,,,,,,0.00048748349727279063,-0.0006705197139174798,0.0004153038900823113,-0.0001200085195582455,-0.0005427561145016376,-0.00041688814299750216,-0.0005844029632125644,0.00045303267029462067,-0.0018617954523356933,-0.0015683220761816782,-0.00011972115041808788,0.00010147253966981053,-0.002308792551174311
[7.5-8.0),,,,,,,,,,-0.0005487565987034334,-0.0001802364589795409,-0.0018615622607173546,-0.0005214888217552078,-0.00036992620022332313,-0.0015629878112607227,0.00038124811096222345,-0.0015571934470880453,-0.0032068245302746424,0.00017411764467369686,-0.000305706932818866,-0.0004005615648905695,-0.0003349409209784354
[7.0-7.5),,,,,,,,,,-0.0005386101778659445,5.745737091556143e-05,-0.0004266759378216945,0.0001308240512254144,0.00017517271052002785,0.00019117455997014958,-1.7781275175944156e-05,4.803352538732453e-05,-0.002178888556141883,0.00031807110401123307,0.00011805480141045404,0.00031201949057309085,-0.00018931424046762763
[6.5-7.0),,,,,,,,,,0.0003151693111653442,0.0003485994668960534,9.489028388453615e-05,-0.0001080623883355079,-0.0007395708084326868,-0.000182586733659797,0.00012555808913528293,-3.587022508206205e-05,9.320569811640327e-05,5.546792824622622e-05,0.0003837550066789705,0.0005299754006667941,0.00018373727486832944
[6.0-6.5),,,,,,,,,-0.000406533156238499,1.4921217213501119e-05,0.0003760868693632123,0.00038753652592959866,7.0749509445362455e-06,9.24758072421537e-05,9.420796349243358e-05,0.0002456348488652708,-0.0003727538847222262,-0.00022474601424361045,0.0002347834630183215,-0.00028424985034426097,-3.873154687091544e-05,-0.0003182759983138224
[5.5-6.0),,,,,,,,,6.591065278970192e-05,0.0006427580427999216,0.0003415164066959061,-4.156862603564087e-05,-3.6261802922616704e-05,0.0001500176927978058,-0.00024657569885109794,0.000371687940133002,-0.0001330961524846981,-0.0001939934937898087,0.00024375538567354905,-0.00038697218233430604,-0.0003100922053524019,3.701489946299126e-05
[5.0-5.5),,,,,,,,-0.00014686671969070024,-0.00014340300336219782,-0.00036171049383283845,-0.0001791402309448174,-0.0002033407171432005,-6.0079304900805353e-05,-8.919476513324974e-05,1.9175037259754613e-05,-0.000213567631463924,0.0001377427094531587,-0.0004289095213837478,-0.000304202040012965,-0.00010752374817553968,0.0004048033457231782,-0.0003726752055474447
[4.5-5.0),,,,,,,,0.00011979964749896743,0.0001473046648654193,-0.0001794291384493928,-0.00014661563205170265,0.00033429953071773753,-0.0003152052480701647,0.00045536532227023215,-1.1586398711910647e-05,0.0002332181581039354,0.00032979057281800494,-0.00012599040694900244,-0.00048264233876097796,0.0001218125216573934,-0.0002379548454787606,9.04833092544234e-05
[4.0-4.5),,,,,,,-0.00015287148807654623,-0.0002614696348448494,-9.933733595109316e-05,0.0003148813181055074,-0.0004629911079118639,-0.0002578902700740212,-0.00023385100951488398,-0.00040466089482165595,-2.6984482623429425e-05,0.00026509196945323266,6.8590442878436e-05,-0.00019402832338410466,7.788752737336425e-05,0.00018349834950610452,1.2969169715447198e-05,-3.326422178013528e-05
[3.5-4.0),,,,,,-5.579757507662851e-05,0.0001178546710156469,0.00010190543640867448,3.842208544744423e-05,-0.00013715627377044684,0.0002589259373382359,0.0003147059161038373,-1.0180716515480632e-05,8.273592263843718e-05,0.000335270720826031,3.8736145943019656e-05,-0.0002854937547527451,-0.00012646857796200326,3.7130898891117375e-05,0.00016114865587148224,6.616990088856582e-05,0.00013500799546157298
[3.0-3.5),,,,,,-5.025726776642274e-05,0.00016015919447993365,-7.463694861131214e-05,-0.00014409766697849656,-5.791814362754726e-07,0.0003182525545992863,-0.00020946196684012595,0.00014198867456519606,-7.380469949662573e-05,-7.643490171500676e-05,0.00014591726776977867,3.33658750726348e-05,-6.86685819046722e-05,0.0001668732890482042,-0.0001474274411768551,0.0001941314668202477,0.00034297155413414446
[2.5-3.0),,,,,,2.2668124869119538e-05,-0.00021913301661029362,-7.04590977442788e-05,0.00011098364363673022,0.00047056385324762914,0.00018197514253613653,-0.00011524156780861193,2.0015918018329047e-06,-0.00010425904702229184,-6.160768931962465e-05,-0.0003595986347908315,0.00038660731694407094,9.977660449464565e-05,0.0001695375710098869,-0.00016515810041460146,2.4262808527105634e-05,3.921619841997531e-05
[2.0-2.5),,,,,7.345610095825796e-05,3.48088206372269e-06,2.8310031229606298e-05,9.208140115807142e-05,0.00012636465039656678,-3.3340761074980845e-05,-4.3392566671093954e-05,0.00011907414010166357,0.00013983149511376337,0.0003509581251489936,-1.31154267480671e-05,-0.00015544529259665354,7.014929958787959e-05,-0.00020434659228323726,0.0001222959832921195,0.0003914577087039764,0.00013160222030205828,0.00016006459011189245
[1.5-2.0),,,,-2.2384327872385798e-05,1.7147119810665133e-05,2.9781180153518512e-05,3.447766029670401e-05,-0.00010808270360266882,-3.472784371157788e-05,-7.23732086007872e-05,8.487689218304865e-05,-0.00016771445776703387,-0.00011105621248798905,-0.00033097208902434824,5.5341898324129166e-06,-8.313579446519138e-05,0.00011448866701989555,-0.00013196678174362485,-0.00015388802680942678,4.495782903739861e-05,5.8199139386340526e-05,-0.0002343259556810659
[1.0-1.5),,,6.084398471628343e-06,-5.07895548101392e-07,-2.0217669264083016e-05,3.2671157100641855e-05,-8.760512082451985e-05,-3.394397346246515e-05,0.00010776507534949752,4.891979278292504e-05,-7.71067632270339e-05,1.4733714612144152e-05,-4.6960636240846965e-05,2.808597082121475e-05,-8.976312455709034e-05,1.9106359655387587e-05,0.00021340161130254108,0.00015914047901623423,-0.0001406486958493159,-2.804893589131175e-05,-4.569931915029793e-05,-0.00014291040396674403
[0.5-1.0),,5.147882421801076e-06,8.725025791576025e-06,1.6558073333317476e-05,1.342630563612946e-06,1.0343130887885558e-05,-7.74580260727323e-07,-5.876629373539095e-06,-5.209468285814156e-05,1.654323065032687e-05,1.39099519744673e-05,8.6282887147648e-05,3.619692525023215e-05,0.00010563829272907895,-0.000278470479636892,6.409939912889291e-05,-0.00011087871335747948,4.8026457999799074e-05,0.00011696181945824197,0.00011042068943035421,9.118960845223979e-06,-0.0001237688243936886
[0.0-0.5),1.0837612697695871e-06,-7.719535764197557e-07,1.4499147723384486e-06,-5.678701260777253e-06,7.998558529716668e-06,1.001063839652074e-06,-6.101301331843884e-06,3.9041470349056245e-06,-1.1909928951624251e-05,1.2633402200735877e-05,6.8822212163834635e-06,-4.615070703005452e-05,-1.9646715405789355e-05,-1.0905258641788057e-05,2.638141055175184e-05,-4.877771238331883e-05,-3.968868135121258e-05,6.911081296052936e-06,-2.7856904883536185e-06,-1.1752095279299667e-06,-3.895896270320269e-05,5.154071526157912e-05
