"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,982942.8761827492,836794.4697974868,731843.3440752525,671695.6849421045,538419.7320378319,486214.00007449946,430614.7972468183,385499.5994785468,394523.2484519051,341166.7061236529,318599.6088870091,281342.1848500708
[8.0-8.5),,,,,,,,,,1195236.09057797,919145.3615655912,790036.6978458312,693496.5740761567,603503.4138869254,498625.6268094772,455462.49822166946,396638.5525308026,358399.70563773013,357168.2646250765,317786.6255357549,293924.94428255415,258650.00085627174
[7.5-8.0),,,,,,,,,,1100695.7343938788,856988.983329435,757760.0415490451,667627.3692355208,565425.6618845711,496715.2920750388,419779.5730393165,382969.2596848461,344972.405435988,325706.18493734015,296814.6605949905,267026.004276722,248341.3101637795
[7.0-7.5),,,,,,,,,,1037634.749997915,827492.07165767,680143.5734469893,622165.9832833547,519931.04246081586,438726.2357212953,394764.7150775688,355656.2029401609,321960.88090084266,302752.16186604335,261153.1332605991,255554.73126876075,219108.2308680067
[6.5-7.0),,,,,,,,,,938968.9023717993,722888.202043954,636125.2198043414,574686.7894887726,491072.17448255094,397147.5771946419,361395.4389622094,329072.6942294902,289891.1375442976,286253.2059768201,263087.5500240087,226759.330691121,216716.68142443695
[6.0-6.5),,,,,,,,,1086219.7303987509,899234.6276224324,692495.954364794,589014.3531558234,519029.6577823749,484473.64784507273,370057.8768604451,337587.98925416236,297750.55060524086,273502.8603643791,253839.04037035353,228395.54236125867,220446.0238008098,197399.6391043831
[5.5-6.0),,,,,,,,,1001601.4453181772,819507.1068290669,622338.60359111,548585.399782819,490304.3049708265,418558.4853958463,357628.9335097746,308444.04019431304,279243.75436801487,242584.66364888666,240343.05632183835,207186.706196707,197049.05669162422,181898.63232549178
[5.0-5.5),,,,,,,,864650.6509104982,828921.5481416982,684201.9897435087,558397.285206671,510841.9422886384,423784.6708776337,379231.20422834385,326254.1280517677,272404.8749090652,252600.28967321193,229532.3419914019,221626.01481326483,195926.49991666983,183850.06031699246,164160.73287978215
[4.5-5.0),,,,,,,,726222.1286207074,696239.119107485,608977.4818906209,486856.9020690474,464343.74481104495,382843.1898619501,348403.35147928353,291993.0715243989,246478.93781405478,233718.2424123841,199475.71084787845,192344.3898647187,176178.79238938083,158807.13343940844,144699.97542031802
[4.0-4.5),,,,,,,569048.5878499621,566704.2051825112,588332.1711594006,520686.04968702124,431130.45826665044,384221.683118909,355779.45900476986,310783.1466860811,253857.62730969625,227165.5144247944,199693.22888074603,175567.4262625416,174220.6288039158,155862.3261481102,135352.54628658766,124870.34405766545
[3.5-4.0),,,,,,444909.134093661,471329.3368531067,435722.2912349975,448170.0658589869,450881.78094752046,378435.8431125666,319328.6517493663,292038.07047359145,270441.6170720468,214592.00776012975,199053.71630819468,165940.35336680774,156870.04833002083,147965.16326257057,135016.82333590952,123576.13396244746,102331.64337849678
[3.0-3.5),,,,,,334586.42404823814,349151.177283467,341700.87399783585,336061.74351929716,343840.91175568145,300362.0161982262,272834.85439288843,242857.28046082213,214798.33034510558,181357.87152201988,172470.00324082942,149407.33551749462,131808.6310732225,123707.92776708043,112062.12016172297,101100.98216976893,89492.40157644408
[2.5-3.0),,,,,,239451.52872857894,256625.0462209848,261973.432288461,268197.67796404776,241136.65110242242,251356.87733517247,204771.05925579375,201796.7401837311,178220.7024637754,146498.4888198828,137447.92567027005,119344.13770447955,104344.07423865618,101946.60540747635,95080.69996799913,83553.92510839137,72294.44579728009
[2.0-2.5),,,,,152034.2027718363,163306.82712866925,167809.95453958874,168252.9177535159,172228.4720529473,187288.1004486424,168243.7913059046,158706.10911817453,137066.43199685786,118836.64125150625,112500.88132762676,96962.11506780196,90849.1041684413,78850.6192829555,78404.527828715,75192.91655723791,64169.88740923725,57517.576897836996
[1.5-2.0),,,,75594.37614669546,90206.60485412186,100333.85207931478,101551.3459990271,104521.58291652298,111205.56190259432,112142.65366100208,109911.01377444921,96522.96973800557,98652.51468243283,84636.05135285723,80336.9922571326,68891.93159101425,66904.05835517336,57296.44838122833,54211.86538024168,47599.81199148618,43521.54579023807,37619.73059860535
[1.0-1.5),,,26037.43199116405,38677.786407467436,46224.097949782685,50733.15345402157,51675.29203701744,55291.86605502116,53531.50309004621,53051.11490761987,56313.77699913107,58686.92689880568,58181.2689652651,51135.088428874966,46928.151161899674,43722.0318033847,38623.817149808325,36152.529752373885,31749.026786637634,27597.472716712182,27339.58492283499,23189.999870419106
[0.5-1.0),,4880.337741308703,9312.327602601677,13824.391462967511,16801.161842411708,18514.988537673147,19173.428453704695,18895.673381692795,20086.375193719774,20044.00128471737,20975.920906236937,22578.220671410483,21516.50981125767,20465.65490834368,18151.685062402736,19257.47069420901,17130.218775251884,15437.288880170856,13882.790920816306,11774.18099516538,10595.592083307718,10048.457158612833
[0.0-0.5),156.08531002421785,546.6683641742422,1044.4622302538394,1555.8332604451991,1911.0193086773738,2013.7672971260258,2080.8380482740954,2148.6775126560588,2428.8028693815677,2268.180400463806,2344.342408799975,2296.5405035159815,2485.447054022551,2322.674101867162,2691.8059731143535,2178.3227338916977,2124.9143980253066,1793.1204643546364,1760.5704314846384,1565.962102273865,1385.2581303904217,1213.2136121856988
