"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,7269169.1515724985,3691701.0210875603,3214977.7359698596,3431453.911980908,3228363.6523740226,8700123.815137614,2942337.5221275273,3116045.044922186,2867977.671283949
[8.0-8.5),,,,,,,,,,3108720.479223256,3183015.694770808,3260719.1051131445,2967681.2584759393,2796237.1024604775,3229660.8514561113,2603404.355488846,2841893.0479597845,3067443.1821169434,2633081.208735646
[7.5-8.0),,,,,,,,,,3044751.711460761,2944302.1715110918,2919083.0660408875,3310274.2738651508,3142086.824079785,3073752.0905751986,2846836.7026099563,2805479.2909184624,6319376.543766885,2724095.521489374
[7.0-7.5),,,,,,,,,,2716863.78943652,2658197.3908873196,2958505.6630816828,2843347.426671022,2800778.89417535,2940852.5554763847,2636326.3167974395,2992648.567661314,2682334.5144976876,2578839.761662915
[6.5-7.0),,,,,,,,,,3137138.008447212,2966630.782720271,2728504.224055834,2777257.5272795516,2758498.044635111,2770409.297551587,2616344.931052846,2478685.9850759446,2490418.511521563,2504009.7690258357
[6.0-6.5),,,,,,,,,2362491.219733409,2392011.7524245763,2494849.599014091,2627871.2320797415,2619451.103926703,3163950.2765106596,2763765.892952646,2754870.9656131696,2352567.432753426,2562957.9944974915,2666269.1598822
[5.5-6.0),,,,,,,,,2615581.0968411,2619007.429246557,2839502.012102272,2439870.52370057,2647758.1283175014,2688424.3211079594,2481998.58650962,2422465.6664801138,2507037.7307520686,2286560.270448741,2340765.847141649
[5.0-5.5),,,,,,,,1919793.1418240673,2200912.2434293726,2140242.6737813507,2488037.252519836,2277414.1961821653,2497152.3261153745,2383994.990421172,2255624.5165839903,2364796.2565771127,2158238.2523352564,2233426.529819413,2110854.00658193
[4.5-5.0),,,,,,,,1829950.1646780372,1999713.8456113457,2154365.114862112,2315491.89034236,2307822.9496004796,2385521.5632742774,2146730.990480539,2278233.4948287583,2162819.005602705,2350463.1094300817,2271916.9764920967,2080703.0790932225
[4.0-4.5),,,,,,,1656317.5865026047,1740964.1671079,1788670.0057886867,1941004.0452030853,2174202.8546867017,2213636.254983757,2150731.052534899,2086445.1437033229,2089957.5925364604,2143003.9571290524,2137859.84780816,2161273.953875365,2116687.522771275
[3.5-4.0),,,,,,1551915.1288165688,1743679.1367971464,1575751.959299737,1650032.5144239168,1984470.0039541,1977788.8813203732,2000689.1834796644,2228925.66104653,2094294.0780110247,2050299.8464127975,2033996.1157252477,1978161.6004793767,2082588.8620122396,1884448.474827631
[3.0-3.5),,,,,,1387198.7377309483,1440462.5982789712,1601979.917049953,1664349.1681549626,1639053.8709181307,1921538.3933499053,2169012.410278303,1995739.2777688915,1968078.4873284963,1884054.03443176,1893185.2690640222,1941660.807684635,1711109.6596606132,1742157.9639077482
[2.5-3.0),,,,,,1334762.1744066742,1353275.529226685,1446944.8198313767,1613411.4130223733,1639998.3984376506,1673140.551674945,1696635.0153431492,1849060.5382951105,1839665.071912249,1749904.4172543683,1684850.2766508712,1855481.3094982835,1778090.6310387745,1779005.6235319031
[2.0-2.5),,,,,1174369.9968693093,1225301.3418943007,1279149.449378376,1314529.6198384378,1434688.4538827685,1619768.1427261573,1722074.8870081338,1603018.4533632346,1600027.607808164,1831470.2812257244,1636163.9645158013,1662896.8953242444,1816018.0325741342,1645066.9574115837,1648061.5846041113
[1.5-2.0),,,,1106371.3168123118,1151498.7415708506,1167748.885492539,1179891.3629858734,1244374.6815891678,1292907.5370158853,1327410.7647489985,1442432.3993950894,1473779.7076536685,1562914.2145494523,1558484.5224277494,1545240.3718659496,1560402.6314942907,1476161.9753044795,1395557.9311230609,1504447.1039434487
[1.0-1.5),,,999181.2308318603,1032666.0404274823,1082786.8263092516,1118110.060117908,1135768.595689376,1162335.3920945218,1151200.5428848881,1223388.4977561913,1231392.680328519,1306149.455661941,1381382.5696253153,1332624.40501525,1326522.410129654,1390087.9693310775,1365825.3295189936,1336048.7630421664,1235159.8699265535
[0.5-1.0),,952211.80594208,980073.5997353133,1004392.4175002846,1024154.6877473439,1035987.8656317609,1066543.5227661475,1055928.799282127,1079113.9853015447,1070576.613105521,1103509.1318270913,1183542.1560177773,1161988.4995764645,1195232.365380848,1160826.2423922517,1168306.5800804598,1162102.6961326022,1135115.366214017,1142285.487161838
[0.0-0.5),941114.9594648004,944879.1793412892,952393.4171125218,959805.2203103469,965462.4731505656,969194.3762791643,977718.93892933,980265.2429218214,981949.72621438,983074.8482313583,984741.5277443475,993846.8493882538,992943.6840933557,999678.1209641316,995330.849275257,989609.8529007471,997753.7665363555,993544.7738733739,998530.3439845181
