"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Minimum [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-8.243651021985086,-8.176429943181512,-1.9873723382300652,-1.8875897990401118,-1.8640718177353397,-14.337203734533153,-1.829805857721144,-1.7235413647103626,-1.7682332842556603
[8.0-8.5),,,,,,,,,,-1.8302971677995024,-1.9005000678064958,-1.9712482995539877,-1.999729935807499,-1.8936908323430606,-1.9312983158588652,-1.7409408571293457,-1.7409868141006017,-1.7539737896014613,-1.756379704480419
[7.5-8.0),,,,,,,,,,-1.7965391272992406,-2.0216522520054245,-1.957594087137314,-1.9034802827069577,-1.9333456560462114,-1.8773499461535148,-1.8109165811310517,-1.7526893540908828,-7.980375537256629,-1.6592715696233986
[7.0-7.5),,,,,,,,,,-1.7858925805583512,-1.8541722065610506,-1.8733462727309285,-1.8253621029714484,-1.9170463766633796,-1.7508311918881305,-1.7324200297134194,-1.734020520465507,-1.6766287625683671,-1.6398631664602403
[6.5-7.0),,,,,,,,,,-1.7285378091110746,-1.8580898244105006,-1.816435815610644,-1.9411911043990893,-1.774761157983441,-1.6999787030906228,-1.7503480562588931,-1.6506122536192145,-1.706509653482157,-1.6839874588177444
[6.0-6.5),,,,,,,,,-1.6337788521742063,-1.7031180694928094,-1.7822827180621243,-1.9015175178020194,-1.8172422873647707,-1.7265373219335887,-1.7036184344152792,-1.6856801796092822,-1.6041200167315903,-1.575495440535625,-1.6569285613131257
[5.5-6.0),,,,,,,,,-1.5820471797827727,-1.6746630196615242,-1.8399184466434637,-1.8400070283509464,-1.747793907334638,-1.7693119917369657,-1.7654409201575316,-1.6446311601322507,-1.5863016814830475,-1.552325787637957,-1.5742347415902151
[5.0-5.5),,,,,,,,-1.3550587610494262,-1.483295006587625,-1.594127703539746,-1.7390326140044856,-1.8841376721797836,-1.7182679124780982,-1.7477787809859295,-1.6356730247078635,-1.6585152686060658,-1.588913180647178,-1.5652788965784368,-1.6353415280408634
[4.5-5.0),,,,,,,,-1.2045003680060014,-1.6056721718861449,-1.6338136723263055,-1.683466744910632,-1.742046609892814,-1.6687276866262808,-1.653011002974682,-1.5916835121444681,-1.582957891406604,-1.5208152960118413,-1.5090908724990668,-1.5678545755810678
[4.0-4.5),,,,,,,-0.9408395778829316,-1.2231240630655522,-1.3224107223609751,-1.5268095910793278,-1.621906760187241,-1.6912534540280297,-1.7012181116622338,-1.6476600785808617,-1.5728159731422144,-1.541182533356301,-1.529027803870138,-1.4602911100259752,-1.5273893137334495
[3.5-4.0),,,,,,-0.6492488304267048,-0.8659570684897699,-0.9630455005140479,-1.2203875821809116,-1.4397585949531708,-1.5478001196516993,-1.59331829606473,-1.5926374889760482,-1.5648142824645317,-1.547218885877707,-1.463679926820832,-1.4041879221188753,-1.4279859870925469,-1.432927053715453
[3.0-3.5),,,,,,-0.5481011762846835,-0.6889627055073018,-0.8753616730737267,-1.085133218124234,-1.269641415889121,-1.4328989435773456,-1.5556263190283757,-1.4755144853421798,-1.494659742416192,-1.4101755817800985,-1.441037118359194,-1.3407567721835314,-1.3269577352011879,-1.3507717054564665
[2.5-3.0),,,,,,-0.5078634816883241,-0.6735379069737263,-0.8568359707740313,-1.0584104227855964,-1.3244222935296388,-1.4071447273376303,-1.4632122494719304,-1.3999656796989115,-1.4661079159930348,-1.4109862601779077,-1.3604997055825048,-1.2506810903823373,-1.2336456330808971,-1.2752958122009481
[2.0-2.5),,,,,-0.2944260128658749,-0.3618459908611919,-0.5208154596814787,-0.5554294561678575,-1.0427354687032222,-1.2198776835686147,-1.4264930885472888,-1.3270237229501956,-1.3232813407811768,-1.3660313490653608,-1.3188887385407886,-1.1849088087581428,-1.260280626124322,-1.189829101784859,-1.30318871981053
[1.5-2.0),,,,-0.17665966723740936,-0.25207669234358626,-0.30955478646284945,-0.3843152756722701,-0.5447668800225954,-0.7061869915679011,-0.9598707937822651,-1.0089091888878106,-1.1309158279723626,-1.2724974861974636,-1.2761733487574143,-1.2709603398969047,-1.0090845754476545,-0.9964625264373156,-1.0645909678607128,-1.0041198931757527
[1.0-1.5),,,-0.0802959454259345,-0.11206910762616268,-0.17206191668565096,-0.25102944517352127,-0.3067683776921769,-0.3702776922998288,-0.5312762909890951,-0.6342834094254529,-0.7518462145284062,-0.9257954012443819,-1.0164444405980508,-0.9761012643711209,-0.8501539569458306,-0.8474318042785838,-0.9114999665727649,-0.8814818850332279,-0.7859162821240676
[0.5-1.0),,-0.029034665408184546,-0.05019921311361212,-0.07759046771902739,-0.12005580216084126,-0.14341861046642537,-0.18465416392391226,-0.21206711095142855,-0.33007631190469866,-0.3597966146008226,-0.4818684308591187,-0.7026604558371318,-0.6322745163164184,-0.6686956444699595,-0.5937866703103379,-0.6289765476956026,-0.5737193725745624,-0.5101819100894058,-0.5285346225198123
[0.0-0.5),-0.0034051605425600663,-0.010295539106390406,-0.01590832798003014,-0.02387680091452287,-0.03240311895036967,-0.042126443947341434,-0.055583858372766824,-0.07471883355900971,-0.09807478240715113,-0.11966914886144239,-0.15806786545416374,-0.1969855868998129,-0.2150429213381451,-0.22543247880127057,-0.23078719983524568,-0.22938024678491667,-0.2036584706354245,-0.2375820369640617,-0.2289935054099436
