"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Force Maximum [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,386258.386486305,459287.17287806305,394054.47045720485,340887.5319207368,256466.76209154524,345246.7317876596,238852.94922354427,237520.7617640543,228050.11605166897,226214.451004591,148783.62413242573,178079.6538216115
[8.0-8.5),,,,,,,,,,456868.5337967958,364909.59296056547,396521.3914173173,300445.4812395012,299048.627869028,245793.94568778016,250207.42045258908,220540.38032902626,286945.76890216995,212870.80616825336,196281.38419921062,141392.74189955197,176522.7877993484
[7.5-8.0),,,,,,,,,,453348.05926331074,342722.35752676707,320998.4612906671,308209.52677280933,287105.0745131382,319324.4780531791,255127.16349999624,206106.90119147627,204016.0671170939,192973.9574377259,190870.25504018212,175474.22413184194,145433.13076572336
[7.0-7.5),,,,,,,,,,387368.72573115083,342186.10902432987,270593.53295088885,298242.625125546,303103.1751418858,259251.10206436575,200891.0209509165,217489.8605508806,199175.93323905606,159192.6685756305,156237.50986976599,144848.94366388622,139588.14457444492
[6.5-7.0),,,,,,,,,,342198.8920497528,363100.9216444492,257736.084622963,235434.18797395608,248713.3809209483,201301.64198250946,197786.6522174802,164783.84786131253,168712.69637279108,144338.64478564332,166543.2935822354,108641.83835444297,125928.68446512718
[6.0-6.5),,,,,,,,,305364.03703010234,311980.7960514027,301390.4093575394,259172.64757960438,230806.79769997473,218412.89658841616,242153.93635054593,173076.17310289288,182449.0550266236,138198.4105053385,190741.21250303794,127926.44641310307,115401.16654531573,108436.70903381705
[5.5-6.0),,,,,,,,,278963.63127962913,281365.6404026874,330915.9380290241,219214.46823480946,212402.62613780762,194767.53260430554,192534.93830859367,180322.37449925204,139188.2603052028,127020.04551976248,152671.05478451552,124907.55719366914,117661.94614412216,78277.4220819035
[5.0-5.5),,,,,,,,277837.6241990696,292479.21046587225,269806.5029813264,234875.83275616987,224867.09412158633,192233.8179953173,169475.8266144728,149646.44785474395,150297.0422233606,124736.74947682356,109469.93755844052,104014.88338799123,88237.66305127306,94394.55376683331,85531.42111066815
[4.5-5.0),,,,,,,,257443.71301816066,295021.56892699486,211025.94713967922,196036.9126088918,191284.712814091,154906.8807874806,153668.22044426162,149030.9460021537,115136.46238729161,124810.57925621932,99200.97547916054,78967.85190826157,83887.74220403205,68448.34006336144,72285.94012721269
[4.0-4.5),,,,,,,258744.0956136695,244408.71090536262,222970.38313614327,187896.90548280906,173263.11554187955,147455.66498654243,144901.29737532474,128390.68084285055,128311.21792835002,113154.28273310405,89954.93141616171,96081.36983818933,75852.56231092403,71251.35466738488,50995.2279067007,53011.238677331385
[3.5-4.0),,,,,,274818.896038858,254549.5856976389,217082.96118384105,188351.6154053183,154628.64431695553,122120.30531335778,126971.6568178457,132110.98171943994,119691.29455586203,112666.61520420191,89711.15805554685,87261.64230474376,91578.6713146001,67217.48720690772,51719.16835015988,59022.224944639114,53697.015744234806
[3.0-3.5),,,,,,223570.6451892974,220359.27263751425,179705.5816659495,163929.1851346299,142230.1338524479,111298.9034647356,112395.88994321239,90503.64586457405,88303.95349633638,78036.17961466633,71124.62173111514,75759.5039981347,74525.63898391076,53007.62605462209,45374.56429063783,51034.62291898196,37731.415902725894
[2.5-3.0),,,,,,193180.69078189714,180757.13884968142,159494.66594723516,146298.1679671692,122336.72668659533,109435.44143790114,87137.29343476432,90600.8952972511,75490.5824663726,71126.21561502354,59415.1876309688,60191.86216300884,44751.303485954784,43295.13348006854,37018.72486563986,35026.621529150194,35160.25026632339
[2.0-2.5),,,,,164822.13884002136,157750.49520075208,148420.66293221945,137520.05927529634,133385.7026094952,104888.61179543163,97353.57518661841,72150.15652221414,68107.72748170754,59995.74502101594,49086.26687057126,43426.21750941811,41902.29515290591,36629.85702801607,32735.916629715615,33422.7004131914,27668.305897866827,22851.69690765337
[1.5-2.0),,,,120392.87791964175,133543.58877573584,141910.2561549705,108700.07080293105,105862.71755402251,106596.18487877904,72810.13148231755,62329.38533496512,59916.584630064106,50698.21680742998,43477.705230876214,39080.33037068175,33631.9309203945,26440.552336876834,24179.007379769384,22976.051403059846,21539.421492971902,17114.91747030712,15553.324610064787
[1.0-1.5),,,73676.21279478776,88287.92457052082,95756.74470167207,96322.26693453164,90284.2166000917,69019.57094388029,74280.61232588087,52113.582862481584,47516.751860522556,40994.69258378922,46655.37143756852,31869.016037965714,25028.871978066123,24131.249463905537,21577.846095295008,17282.016827581625,15270.38486846753,12375.919105763196,12308.788701915882,10725.424023150237
[0.5-1.0),,23772.132238925304,43042.89245547432,53683.36526364962,60287.52809972618,59079.84981391202,55672.48066370431,41141.1304849373,36524.80982065313,31698.41176625988,24942.89396386087,23858.64885289669,20516.519320612904,18807.233770311952,14948.646922035326,13916.485134635583,12388.221059516152,9777.034895685012,10269.469994400468,7075.721934187395,7389.014891027998,5750.183092393839
[0.0-0.5),2961.896457605411,8483.268627997499,14382.59213978246,21566.78573056331,19624.48184237467,24384.804599836672,18159.85208571233,17004.326990708247,14454.129762678676,12866.482665394784,10006.506586020145,9587.074880003322,7074.0018847543615,6546.609515718728,5895.8456913841865,5123.485657031349,4293.865495014991,3481.1422405038898,2929.0713193086754,2520.201408382223,2251.533247469995,2295.5333788892785
