"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Force Peak To Average [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,4.883193098816366,6.427805941675982,6.236630990237666,5.699769409371641,4.680416794769728,6.747053381378895,5.450136206625333,5.878232190707095,5.985772584470607,6.431123487836939,4.706861013339702,6.35645740103195
[8.0-8.5),,,,,,,,,,5.436925264878685,4.776650883298799,5.765633854188705,4.8794035248287395,5.302778528446957,4.959786088334674,5.4704060875430605,5.307014982841386,7.383098281889,6.132479596745006,6.477441861899889,4.9492274110612655,6.77334061380032
[7.5-8.0),,,,,,,,,,5.927159052513084,4.878463737019591,5.057978051829678,5.331580509988297,5.691685467006155,6.945621803647367,5.980766106912901,5.361482386142734,5.792757707658849,6.249840238546729,6.91257485074665,6.839564161901264,6.049226504376546
[7.0-7.5),,,,,,,,,,5.341069566132168,5.3367421494398535,4.654942701539298,5.651494670063408,6.47492413762809,6.188090820185974,5.117115752904554,6.1953135210349775,6.1714439195715345,5.678421398457658,6.435273918827899,6.069095193042522,6.57158537471505
[6.5-7.0),,,,,,,,,,5.164928030244764,6.02713405397887,4.795580283312829,4.843195346228656,5.8713979010555795,5.054675379557316,5.548489416781448,4.981314098712113,5.846349868261649,5.545022576469284,7.122084542056374,4.796956126176876,5.969668878676942
[6.0-6.5),,,,,,,,,4.344250080189534,5.2363161945956405,5.388897637339834,5.303000229931064,5.237086280908677,5.404304087863893,6.729968342459399,5.240341702539999,6.327305569592939,5.331940577312892,8.088883932855957,6.255698462053009,5.763820039253365,6.149833261254289
[5.5-6.0),,,,,,,,,4.33765336853261,4.870427262742462,6.622110814442499,4.9782734389022325,5.3240990507919825,5.455082443952599,6.120540049072679,6.1340453955178775,5.439968000831883,5.426740250250784,7.20798707238045,6.45357517386935,6.936601750074742,4.856129185525879
[5.0-5.5),,,,,,,,4.222903010028728,5.036248241626641,5.290117002767827,5.141364845823635,5.649802108476774,5.350200596560336,5.3028447757306125,5.296313209570299,5.900394570447182,5.456411408294844,5.32678166386445,5.623489532151467,5.362587654193557,6.137607039960569,6.590265300988331
[4.5-5.0),,,,,,,,4.321537218682555,5.720818554377885,4.692890396039146,4.88307830995156,5.301103862392522,4.850298014387762,5.42924168830413,5.893935121026888,5.0595832883841,6.009876658946927,5.563642684930583,4.828455933651675,5.942891754191208,5.398472679109206,5.797624690047245
[4.0-4.5),,,,,,,4.283222881663883,4.633547914918269,4.7002744228651485,4.642178796759728,4.803434071869651,4.653223711603565,5.216073535498307,5.140661821883247,5.787335071574709,5.692708988813839,5.092032577373827,6.221153209901516,5.107672267600321,5.68087351073773,4.560210794405692,5.015414721656045
[3.5-4.0),,,,,,4.694511083025075,4.847419733487173,4.62688416783071,4.714098129798514,4.301586237479263,3.812387791705442,4.622406377976504,5.42172701505942,5.428219844154544,6.043942570992252,5.169212033447324,5.710813254922521,6.9303634173460225,5.4080055619842655,4.9230883408769985,5.881590759207035,6.2075058954244735
[3.0-3.5),,,,,,4.338767118027342,4.786244839586962,4.407954342554151,4.642004626670482,4.64279544206529,4.161104033589468,4.914541450488128,4.32027297431956,4.8396838867409455,4.916224797188631,4.8474257736328505,5.755204728168997,6.583265715549873,5.30212007756634,5.136243599156055,6.51027232536913,5.021839250432437
[2.5-3.0),,,,,,4.432064947327953,4.649535318025836,4.631484010518602,4.840574048213188,4.851942869420124,4.913633702160147,4.421885818368033,5.277072565525485,5.017208155474196,5.488588653829794,5.002188927048138,5.78890252388608,4.964999224190387,5.0843226571728986,4.959561277063556,5.458517445975535,5.963499237504817
[2.0-2.5),,,,,4.397754685770416,4.337414493484866,4.63212469812835,5.000116418669624,5.4718519562300605,4.897114803169819,5.361958681899555,4.5928124282713965,4.995317043063342,5.007659893659554,4.7209714307511215,4.591191387490924,5.028694819820401,5.187705370101875,4.975389662330453,5.896074415945154,5.329444717878305,4.91849403837905
[1.5-2.0),,,,4.363610996746665,4.4952657150966715,4.973339233365091,4.3747991065042005,4.805532532299148,5.494445105244928,4.4581738774646515,4.454259266003206,5.01256129971231,4.8263057066311505,4.734914457241251,4.887011155069089,4.749662053286857,4.273873371586362,4.403708826205129,4.653627405231997,5.1210501059850415,4.527815416942698,4.452962753829579
[1.0-1.5),,,4.960763131551468,4.419302833446665,4.47012129415401,4.587530571042175,4.909070522057026,4.3292853071930555,5.3963158129015225,4.523132079945908,4.748963275709191,4.806996952344329,6.241293325740584,4.96737284363997,4.570075351220526,4.837191703706858,4.905616463208405,4.53901575059807,4.511711869031723,4.288040064032021,4.6857230170211395,4.528986737472086
[0.5-1.0),,4.574600429445205,4.8192814981843695,4.349061738262442,4.538540165530402,4.5478454445801955,4.883309376290367,4.117717787620899,4.311398698880148,4.379000627098306,4.090838017615428,4.576823176050916,4.562342816331369,4.8031497172777415,4.5159633467192934,4.635227958115739,4.7420497354457565,4.315385357926185,5.153735574276931,4.187875702980332,4.8469479304116945,4.1629948524044895
[0.0-0.5),4.70417729829487,4.7953168927970795,4.749949993307127,5.181408886539886,4.193316703438963,5.281876404871821,4.43270243549842,4.926155289794566,4.808477686568271,5.156195518663371,4.81349996099639,5.4507242483288,4.563756996565574,4.942150785535912,5.213849815025053,5.051125746465019,4.86011094062711,4.5593379379852434,4.304513534093258,4.468118619709931,4.401329938489733,5.0400560876058735
