"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Maximum [N·m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,86.09563329427122,81.924698150414,62.03951188531885,68.51922072570147,69.34732634932648,82.00860707985662,57.89044485014364,59.49181126017269,81.18334538489034
[8.0-8.5),,,,,,,,,,85.48234068993153,104.16265313074092,83.67589081193783,56.81846290400747,64.58522483585669,53.55908385560347,59.91948877191948,74.32934999895636,52.54986001677319,73.82790666925949
[7.5-8.0),,,,,,,,,,73.21159088761326,56.90477688607451,55.284024500490375,73.72011265675745,50.79523698787363,70.70029104769996,67.76912205748253,63.51098771930488,39.44040132399444,33.076781126078274
[7.0-7.5),,,,,,,,,,59.774042609467074,56.00888539637225,68.69774870539177,71.30897703134076,48.8548284399083,61.1736694425036,38.162819306238234,66.53028429819184,47.11366391488153,36.101610683855306
[6.5-7.0),,,,,,,,,,100.3111758986159,72.3621948128261,52.36344844160954,49.51717627539379,36.45870288139906,41.40250289170849,34.51330616966509,37.09908713254085,46.16241456921445,15.430415325757549
[6.0-6.5),,,,,,,,,190.94033717304987,56.4891988340252,45.624166003451165,46.58559173121757,43.048883934519274,36.12683118271058,62.79395043213166,35.14569851395516,28.91126605206339,20.3034746822286,31.422753612897022
[5.5-6.0),,,,,,,,,59.08358703842234,46.37887523869892,60.11483102892951,39.91645285439158,31.953829205958385,41.82993065757868,33.30848175913916,31.629613848418575,25.46235713040977,15.527786079681109,12.62979934298642
[5.0-5.5),,,,,,,,161.12401328139694,50.558298505805126,49.49573629718845,43.239316853621276,40.40922218897457,35.78662330770192,25.3781817668165,21.999940802754878,17.190759382835623,7.96709551450695,17.789739359281985,7.162899798528289
[4.5-5.0),,,,,,,,94.44201865519199,41.40780270884813,47.142326975681044,38.93318145992077,36.891863945825214,28.030789365876107,29.643438348715787,11.3579999136334,15.478020964985205,6.3391810321380975,9.56782311926567,6.054075397816343
[4.0-4.5),,,,,,,126.15162261234752,91.34014864582365,40.16210266003998,33.16017286470216,31.170544094679503,31.124353492420507,29.003521255890707,11.640579924994405,23.67738021864994,7.045135389697719,6.660859396797833,4.869293767084974,5.28408596256129
[3.5-4.0),,,,,,159.0127422983972,99.87631692556614,51.61748700967069,34.70563334958929,39.719418351981666,25.5525381051759,12.107369932062158,8.738884071466979,12.289669459078425,24.815633805909233,5.756994258665554,4.945929600851208,4.0425261094641085,3.8071515864534597
[3.0-3.5),,,,,,95.21328337812385,81.4781054995275,54.9625582040802,36.13177661003957,11.822720397518271,9.222078558379605,6.115729759705363,4.921811895519506,4.836109601357956,4.112042972243187,3.7927259313050383,3.10226670106488,3.6015112583379087,3.3956434731851917
[2.5-3.0),,,,,,71.57487092376022,53.18882425570385,37.855303528089294,16.959900263959085,28.86785540867975,6.770344130301781,4.729824070488322,3.8005433666491,3.492339074833265,3.544688578146036,3.4731103250308935,2.7385958865079876,2.56923770858088,2.0670737171561124
[2.0-2.5),,,,,85.46763624667481,56.409895295528784,43.54636478916783,28.851711687435998,19.79901155559148,6.047502638976419,7.333469846734207,3.6622283590504456,3.500543016952468,2.8307396119069064,2.846875718581893,2.3293819760330945,2.286725081164337,2.012978599804045,1.6882746322188231
[1.5-2.0),,,,113.75421437238528,71.92191234423936,45.524597334920905,34.28238658738405,24.662210679157347,5.882778332283792,4.662406608950806,3.7701099681970436,2.9936783644390728,2.63989900109905,2.1618987153977978,2.0008239833186305,1.7726299778382522,1.5289607694349339,1.757511607725111,1.3808523801138115
[1.0-1.5),,,137.6481851030103,95.14315263074461,63.22755487845283,28.54317195743009,21.621346118349162,16.61251805288566,3.8383746193969484,3.3624080260149296,2.1173033118470537,2.113039234066018,1.8916942883033543,1.5767232129689475,1.3964877262562958,1.1561175287157044,1.1304400294158776,1.0258585723262783,0.9879926024487277
[0.5-1.0),,145.6942859406246,83.45718575002778,45.99822204514978,28.614997935036566,17.699041084682158,12.897803165525824,9.54443168594631,2.0456665935560774,1.9604114243399229,1.3070695151914113,1.2229333466296377,1.030001209695486,0.8328208426728966,0.743666448005087,0.7864504898963848,0.6224268794333355,0.5834709002486349,0.5422561822255424
[0.0-0.5),84.64455950329517,53.71728365501538,26.61645900456721,16.245825494816476,9.40289745227702,5.762303966159646,4.527927532640672,3.0837553258744004,0.7065271541025715,0.632430716254819,0.43815219389971327,0.4410107119931561,0.34389309946569685,0.26928127052695233,0.27595638240181375,0.23795415807919892,0.22797971661916525,0.2261942884125688,0.17278930770124232
