"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Maximum [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,73.149671778481,28.973962376586027,9.958567367554885,3.9462981286788086,4.010079440913031,9.837094034266535,3.3529585223937324,3.291248154348771,3.574308360815621
[8.0-8.5),,,,,,,,,,91.94376428706067,54.37320842330098,22.598942754740293,3.8128554577850116,4.15210183103808,3.656822581645418,3.289118757269702,3.3620633424101993,3.391778924486036,3.3447636761949
[7.5-8.0),,,,,,,,,,47.641591388236705,51.30987524365822,28.99285611816659,9.98103940202688,3.6038915828474303,4.063738899023399,3.54407470806969,3.4643449461974973,2.298794829551577,1.709461937698969
[7.0-7.5),,,,,,,,,,41.39674471723409,16.173335629877187,10.336001589706449,4.201962213847252,3.4413453656434516,3.7677346201513604,3.766106589107532,3.539994106704319,2.9337109445945466,1.795142310899418
[6.5-7.0),,,,,,,,,,22.678767672831412,16.289359705882557,4.086755547305802,3.4596294411714497,3.0928631730615033,2.220360890378561,1.9178736283779545,1.866447078584653,2.3070463506226333,0.8023178224215857
[6.0-6.5),,,,,,,,,21.354963375043408,15.922144385718546,9.865382132304418,3.920800583975387,2.31906997612044,1.9905915031524088,3.7894191577890286,1.9342224228892966,1.5678884922148828,0.9564506025556134,1.720861477715191
[5.5-6.0),,,,,,,,,10.256951387481488,9.836792045875033,6.7532376793832265,2.630124952078745,2.2541045140858245,2.5323879969915093,1.883639615373717,1.819625405820241,1.5347945201896693,0.683640652180301,0.48464524788388397
[5.0-5.5),,,,,,,,1.7397833143941626,14.440028770711978,2.741379643645677,3.8479033482820992,2.8393105187231287,2.1238360094976527,1.9144231454527287,1.35338544733418,0.9310712345439472,0.4969736155205793,0.7767831190680785,0.3252595413953699
[4.5-5.0),,,,,,,,0.8598974502327901,9.841913130858032,2.4895264775452075,2.1608114866189103,2.3552380724626616,1.9361797266695526,1.6356837567331703,0.6007436479443484,0.8360292242678303,0.25038918278521166,0.48503089711898173,0.1842693471799761
[4.0-4.5),,,,,,,1.578354372385455,0.8478082987671898,3.1822050346823927,2.284738389058495,2.0767461005091556,2.039744232049793,1.5090063845764512,0.7454935546559992,1.711057257156348,0.3195565925963953,0.2531346893180697,0.23522430367776492,0.31818159077922076
[3.5-4.0),,,,,,2.8371317056772756,1.3835278484121813,0.41750809250221854,2.314172448024077,2.157292780283086,1.433482868030522,0.6456822041511167,0.7208841128937399,0.634419201072076,1.7521192960643108,0.3466618545713505,0.16208357554064667,0.14902362624428953,0.13886438444239105
[3.0-3.5),,,,,,0.7216036756603739,0.6180147128799723,0.30548576901137725,2.164040103537699,0.509642279883108,0.609896173515109,0.2893007418944893,0.23419357479398903,0.24358092846336013,0.14280081607702072,0.14249449357169008,0.11898784711324704,0.10143067749723457,0.11468253382024311
[2.5-3.0),,,,,,0.5369593464962499,0.36257468316253,0.286429499644409,1.151253114872782,1.5412656164948988,0.26246810314215535,0.1953104118919189,0.1715149072897781,0.1472220038952267,0.17205005726380893,0.11597992474295409,0.0915239864110058,0.08888424296262296,0.07835004520491892
[2.0-2.5),,,,,0.482587693909766,0.39774741616109044,0.27371746424259474,0.1330118307032678,1.444338506842422,0.24574261015470933,0.4334938490083822,0.14044685020442002,0.12466364125456603,0.13333383400016272,0.10145792773846492,0.09330019299313029,0.09429858824175473,0.09357524659753426,0.06594049860842287
[1.5-2.0),,,,0.6238629035941486,0.35417607561319975,0.23537744046639372,0.15589156623620604,0.09261435965282237,0.25561192711247005,0.19047241215785288,0.15215838407352233,0.13892477186429117,0.1117636194180908,0.10364127612752971,0.08905468460172011,0.06444366496193295,0.06621005259381221,0.05477817500233,0.05124477769538507
[1.0-1.5),,,0.5264226315809175,0.3926659672911385,0.22687119937838438,0.16719935893017365,0.09999838501875209,0.09420364508091239,0.17981972155518028,0.13937941297115006,0.10750637030764214,0.09112095726610389,0.08768233900721593,0.06440525972809381,0.0677010588358608,0.0543049087902819,0.058179513811312034,0.046628019865984145,0.039545066798910275
[0.5-1.0),,0.5860989202057325,0.27407125172464714,0.19234636618756348,0.13770079780769504,0.10108340631428363,0.057062494598976894,0.03576812258092111,0.1144850260553527,0.07953098033565731,0.06826019204658833,0.062433645369178115,0.04595789275261104,0.04081451647618761,0.03440463098577771,0.029706783055559755,0.02885707531955876,0.025162835028133296,0.026883392887156035
[0.0-0.5),0.3316622541995576,0.19326849927993184,0.09415674344288266,0.07314560296324565,0.045648011578412674,0.03758173813627421,0.02030640699077979,0.013187738809437051,0.03689446821844579,0.025709541598330665,0.02408165926552509,0.02307067427113615,0.01852104507140723,0.013902562911605725,0.013025764471718587,0.010017054023372177,0.008757407747557783,0.008334759297094254,0.006716676664045731
