"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Average [radian/s]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[2.5-3.0),,,,,,-0.000567099124995834,-0.0003351210391921316,0.0005143236082259524,0.00030890279254222256,0.00020232792345640358,-0.0005961977142328672,7.153552981869453e-05,4.086697545229453e-05,0.00016341965614219392,-3.403941452522333e-05,-5.911559676643386e-05,0.00011872252203910932,-3.6107601580023763e-05,-1.3203671506804611e-06,-0.00017307324591046887,-5.853092058577603e-05,0.0001616062070382457
[2.0-2.5),,,,,-8.032582079827191e-05,0.00022230032223430454,0.00019910518521663233,-0.0002979715116524537,0.00048100278046031965,0.0002703739442856621,-5.9074167596696175e-06,0.0004889907675488044,1.2662726639294013e-05,-2.4108728939060517e-05,-0.00010494412241095282,-6.8007466357182e-05,-0.00017469788005943556,-0.00011312928953421951,1.60152840884514e-05,6.438373742438724e-05,8.766277676486109e-06,0.00015433396596290563
[1.5-2.0),,,,0.000401486471368059,3.917493241607893e-06,-0.00044747002304200596,-0.00030665182437559954,0.0003804468182481023,0.0004057014406314734,-0.0005137275151408572,0.00015900207405224965,-0.0003030167589708753,0.00021923478808380084,-0.00016597475097002224,-0.00022329964070312116,-1.6298703810489434e-05,4.558833428132374e-05,1.066458410314273e-05,8.382303536405053e-05,3.493186330168994e-05,7.052562890974302e-05,-1.352714783837435e-05
[1.0-1.5),,,-1.6411676265191276e-05,-9.306788726915266e-05,-0.00012227364293220143,-0.00030319159420365895,0.00019031040885857182,0.00019357996443098368,0.0004128074026598985,-6.045659341581288e-06,6.897437492312009e-05,-0.00010037679801037667,5.705354662674761e-05,0.0001657212881824418,0.00010597133300233937,-9.118382800455393e-05,7.899784874462579e-05,-1.9245004482629975e-05,8.70013797151258e-06,-1.577709529651142e-05,8.262310196747655e-06,-7.061108113773805e-05
[0.5-1.0),,-7.122331613541714e-05,-0.0004623800054075935,-0.0001547840339933446,-5.874538993549332e-05,7.52530938641749e-05,8.92156175355801e-05,0.0001246548629168935,-0.00017141558749488378,-2.0554131078749745e-06,-7.205389744159772e-05,-0.0001631882549979369,-3.6056542911931695e-05,8.337916816352397e-05,-0.00014808265442184816,3.995761910229658e-05,-4.5889632191834093e-05,-2.280002802026458e-05,-3.159357706965051e-05,2.8787216918432934e-05,-2.4854620263989194e-05,-5.1398054292406215e-05
[0.0-0.5),2.865208033152335e-05,-5.2435077132715134e-05,-6.666317765058915e-05,-2.4635304227022552e-05,-3.291396202915834e-05,5.419244820703677e-05,0.00016706051779347763,1.3274052457563416e-05,-1.0568213580343088e-05,-6.413240579906822e-05,6.57906164540991e-05,3.0459829152791136e-05,-2.293008470837343e-05,-2.096391000824085e-05,-9.07654250376225e-06,-1.5529823759561483e-06,-2.856176784032229e-05,2.588001191085389e-05,1.647237807707324e-05,-3.785842123004667e-06,-1.4133385309499784e-05,-4.078306307235334e-06
