"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Maximum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2.8975399771712214,4.170418158579137,2.8948006240165065,3.287174589879954,3.128426895955657,4.300165743573533,2.793019724940342,3.5161064440341723,2.9714751840439555
[8.0-8.5),,,,,,,,,,3.258876568036587,3.1145633101164107,3.504581358998842,2.648344024908114,2.732555861492662,3.196500456397395,2.0427609536357547,2.324802009019733,3.3373160312479424,2.489330031504058
[7.5-8.0),,,,,,,,,,2.3655138498463066,2.9367487871618816,2.6084067425082695,2.977362062660092,2.8392750489425955,3.0012290688676577,2.949222868138513,2.5340068390308748,3.779908734959169,2.0126591602426394
[7.0-7.5),,,,,,,,,,2.3638920950647844,2.2285599694289804,2.620947537846893,2.6848539972357868,2.559988104902284,2.5730833117120024,3.719119114662146,3.1092494737746326,2.636087289971349,2.0107081368668887
[6.5-7.0),,,,,,,,,,3.1308689376373295,2.283143180586938,2.398959836123413,2.2674668721379674,2.0799750665745176,2.2424553424874185,2.1519198465586875,1.9679043677927288,2.193772367144403,2.0079664931443597
[6.0-6.5),,,,,,,,,2.1533322368794447,2.6724729289537756,1.9730258108382244,1.9940973904242185,1.6978769050411473,2.765676213470897,2.6322607446103534,2.1275474823354767,2.084351284542898,1.9019877484958971,2.4130314132447315
[5.5-6.0),,,,,,,,,1.7989185842452142,2.2185010271420116,2.3167405372558956,1.597803157804682,1.6955979061153343,1.7120032335461313,1.8900820403990621,1.577126549589493,1.9834217161230137,1.6423247860088994,1.7807243198941152
[5.0-5.5),,,,,,,,1.6460302847935186,2.08464556085111,1.6432964557453236,1.9884057580146905,1.6795127779468948,1.6815519629423903,1.54050523789808,1.73288436989687,1.5774644216961438,1.0359303393468955,1.6839106015696896,1.273532275634694
[4.5-5.0),,,,,,,,1.5802555633215285,1.4110506267180651,1.7057387993180766,1.5505380910847937,1.4393954939346378,1.3496456563489794,1.1956081722684875,1.450799569791568,1.1112336726497942,1.562498671093436,1.2994323122577385,1.004128451760612
[4.0-4.5),,,,,,,1.7050613576942093,1.5142288831472963,1.3360143653836718,1.3717490347323715,1.1949029502110469,1.213234625099548,1.0392217759818003,1.0961650821955435,1.0776708289340629,1.077743610400319,1.135085348083591,1.315738830070239,1.0488078129165648
[3.5-4.0),,,,,,1.401988541638445,1.5081496297982324,1.1435860716081594,1.1313149332891803,1.219699036708132,1.0228421525475997,1.1589923913855447,1.2470053333969104,0.9644905937466534,1.0398218722510884,0.9871166916273355,0.9206295417130366,1.19193802497773,0.7481025743873545
[3.0-3.5),,,,,,1.0700617966158763,1.1053242487442343,0.9106838009348518,1.007419629717115,0.9504993828701583,0.8855642369995327,0.9069670343099234,0.8320027581833648,0.8978141386679265,0.7397854383308083,0.7291530922609105,0.810161409791003,0.6460202576741573,0.5500266110050481
[2.5-3.0),,,,,,0.9504994447712445,0.9084963739504459,0.8543500386294984,0.8131408394251831,1.0137816541661628,0.7158080178826242,0.6568842458349288,0.6263737396843639,0.7102967036144384,0.5762621032951138,0.49340623803658495,0.673037796392734,0.5661906779120088,0.577536977225856
[2.0-2.5),,,,,0.7829736158226841,0.7879580140228714,0.7018572528856211,0.6533743559850749,0.7779410511571885,0.680346227355772,0.5360266501613717,0.489497621167846,0.5385441185281024,0.4916939806485938,0.36978000965381075,0.464902784056799,0.6091027601083185,0.39840517326540065,0.416984788159147
[1.5-2.0),,,,0.7189831961739729,0.6513624376711851,0.5742924203773115,0.5735128676501393,0.5371226459204534,0.5160761367855343,0.4570600048660694,0.40062886405740245,0.3119747361723117,0.4208605996498319,0.31191963000813616,0.28117053734308656,0.31406227311340046,0.2587835539009403,0.2357310305975159,0.2930412410360899
[1.0-1.5),,,0.5091580694413101,0.4722478571572809,0.4533352932056865,0.4062510395444553,0.39346453676375953,0.3333576450349383,0.3216771228383218,0.34088719586475413,0.2671542209867004,0.22695420017306944,0.22448250951381013,0.22522144618310425,0.19679209853174232,0.211410682661104,0.165683782417529,0.14752498166740946,0.13726935992968656
[0.5-1.0),,0.2464944889385835,0.33118899256623663,0.31158088687370994,0.27331326795280936,0.25656171379338827,0.23078592409167584,0.18298220599158802,0.18894675466298808,0.16676463196388122,0.1409477571064544,0.14186173314186143,0.1207321260241331,0.09692497385097974,0.0888182841740503,0.08338354802355162,0.08265769001022438,0.07468548445166981,0.07305976132249711
[0.0-0.5),0.028395758657803204,0.08734751141891223,0.09730962687748661,0.09793442628237793,0.08679886053437175,0.10813095381336317,0.07848673287763179,0.07220586752115724,0.07055121818755769,0.0535402847634039,0.049789825557392094,0.04517006909973539,0.03235905904108246,0.03280176551515502,0.035176853358872454,0.025850180852953264,0.026136454040313846,0.02442241534682955,0.018649426165990114
