"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Force Average [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,79099.5520082812,71453.17967678234,63183.868193264425,59807.249633686006,54795.71015516005,51170.00152103458,43825.133935769925,40406.83560264108,38098.69366626433
[8.0-8.5),,,,,,,,,,84030.68122860983,76394.44495230842,68773.25224688808,61574.22310138746,56394.704448765915,49557.36826349891,45738.36319434294,41556.38923991666,38865.22404910389,34712.02843972621
[7.5-8.0),,,,,,,,,,76486.56890202627,70252.10722098082,63463.79086689569,57808.28521587605,50442.89185996717,45974.93026261402,42657.940293820575,38442.148336471146,35219.16113414439,30876.622453088177
[7.0-7.5),,,,,,,,,,72526.43331730107,64118.913644768436,58130.36814855076,52772.34475781605,46811.84963703981,41895.16760463033,39258.64308167891,35105.54547601768,32273.79780725355,28034.66974445918
[6.5-7.0),,,,,,,,,,66254.33888834578,60244.374588739185,53744.50418853517,48611.33428311665,42360.16449783343,39824.84073984971,35646.93691570772,33080.396978764365,28857.783091068413,26030.307865319628
[6.0-6.5),,,,,,,,,70291.54201380131,59580.205712824514,55928.02640547413,48872.8335550107,44071.60495739013,40414.620094915146,35981.437657410024,33027.65028070644,28835.18948467053,25918.97049516362,23580.658850632386
[5.5-6.0),,,,,,,,,64312.10785614252,57770.21711320144,49971.36823915913,44034.23615138923,39894.56697020162,35703.86600118595,31457.181354080767,29396.974243296743,25586.227765295316,23406.32491372561,21180.81695367076
[5.0-5.5),,,,,,,,65793.03941844015,58074.820071102244,51001.99160815568,45683.556759633786,39800.879712973176,35930.207573694555,31959.416837941077,28254.833491406196,25472.371453960204,22860.583658922526,20550.85874854926,18496.501646051187
[4.5-5.0),,,,,,,,59572.25403617925,51569.817522219455,44967.158687061514,40146.17422976297,36083.939832063465,31937.600602678434,28303.809125922555,25285.474465180127,22756.115637353847,20767.577496022874,17830.22043235299,16354.680045415595
[4.0-4.5),,,,,,,60408.73957816466,52747.6386115398,47437.737263056886,40476.01648044284,36070.67630147362,31688.926672241847,27779.76506450496,24975.51585601394,22171.036641470473,19877.05378150402,17665.82009232848,15444.302140842205,14850.710526609604
[3.5-4.0),,,,,,58540.47230447023,52512.387969861054,46917.742763726725,39954.96279865703,35946.88930555259,32032.498262389046,27468.7352074459,24366.955649461455,22049.824434570997,18641.24516088926,17354.90002636222,15280.072803908843,13214.122521394424,12429.256300957793
[3.0-3.5),,,,,,51528.611494351346,46040.11704853164,40768.47619111695,35314.30886405848,30634.589791269933,26747.44552558723,22870.066531242475,20948.59431395728,18245.810173317015,15873.191897020599,14672.658242234736,13163.650569601437,11320.466498546299,9997.43975601406
[2.5-3.0),,,,,,43587.062256017656,38876.38795836264,34437.05421091933,30223.30957237862,25213.966853904098,22271.794779857275,19705.91214110628,17168.779502699366,15046.332567247786,12958.92625609564,11877.837582202344,10397.80198658487,9013.355584814239,8515.418158796101
[2.0-2.5),,,,,37478.702341749005,36369.70721560173,32041.594862977265,27503.37147387584,24376.701649909748,21418.450661507675,18156.345649446415,15709.362759534553,13634.31527860361,11980.794681559648,10397.492886916598,9458.59447892684,8332.63831953963,7060.897721586826,6579.568405981339
[1.5-2.0),,,,27590.19491182919,29707.607345045224,28534.199960244885,24846.87140063689,22029.341564643157,19400.718878240074,16331.828565583992,13993.210007035155,11953.28716149625,10504.559779081681,9182.363403500229,7996.775356271774,7080.910292790317,6186.554920569095,5490.6008398846625,4937.234849792282
[1.0-1.5),,,14851.790105879472,19977.79466533278,21421.509261259194,20996.539520095135,18391.30568494264,15942.486125644135,13765.060256164146,11521.569996493405,10005.710531300454,8528.12951416507,7475.272992722619,6415.668209558612,5476.686937203713,4988.689913904626,4398.600309895102,3807.437069436146,3384.6099466774613
[0.5-1.0),,5196.548333688746,8931.392049144759,12343.665943242611,13283.46250135711,12990.733861529805,11400.563915529803,9991.245783919418,8471.684567270515,7238.7319540679,6097.2577883688045,5212.927818086033,4496.9262825169435,3915.604317445936,3310.178974967778,3002.3302543879104,2612.419048859185,2265.622669763957,1992.6264835271986
[0.0-0.5),629.6311277806246,1769.0736227964403,3027.946012073415,4162.340051291625,4679.942687438924,4616.693525305698,4096.790242512727,3451.8455043298836,3005.967939303124,2495.344216258528,2078.84214544562,1758.8625737107748,1550.0391212936745,1324.647870898345,1130.8046646057555,1014.3255017194869,883.4912510167813,763.5192406997134,680.465120183594
