"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Delta [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,5.5018564566525745,7.138174910294795,6.434866734594623,6.1463531542847445,6.193981434117655,6.938105550508242,5.201092620798049,6.494234576084535,6.464256296299238
[8.0-8.5),,,,,,,,,,5.7355240994022765,5.386244860839616,5.863619831012077,5.263483688159333,5.119991912977855,5.248808270306194,4.546774579709307,4.9698009083740065,5.900536301158602,5.261101600558899
[7.5-8.0),,,,,,,,,,4.752385324323546,5.15866092764559,5.196346949619915,5.323638808065949,5.497243153943794,5.025508744371145,5.581352312266663,4.98597283547149,6.468617920846652,4.659388546813311
[7.0-7.5),,,,,,,,,,5.359029209654667,4.411811009594484,4.75977021174198,4.998217521386594,5.1419990613252065,4.8030272266756056,5.953049685376317,5.655805770686307,5.27851285693599,3.843707154443671
[6.5-7.0),,,,,,,,,,5.28581266422168,4.38301134992291,4.136369394621389,4.084359781580521,4.152567516031714,4.236327263646978,3.843019811973008,3.8853814999382346,4.225707984068652,3.6540182063104134
[6.0-6.5),,,,,,,,,3.9839955404720264,4.540854502036442,4.106017218871406,4.027715890949973,3.6440893788528665,4.126716250188818,4.84415850651353,3.843548834553366,3.353439057452392,3.360724133802208,5.078468602497695
[5.5-6.0),,,,,,,,,3.221000569794378,3.7489120896550387,4.253854009245008,3.503123436332153,3.3482325149312926,3.6272227872188703,3.6922934015860367,3.303231641476721,3.3642067674224796,3.2587170842755127,3.3393674801911524
[5.0-5.5),,,,,,,,3.1134838365561643,3.588436247634734,3.2836563155717595,3.6453298774336913,3.0541979552633527,3.1137830246797082,2.9712019525693507,3.279261020202802,2.911266198843589,2.141389126280157,3.0683212027215614,2.361942831101
[4.5-5.0),,,,,,,,3.0590405047223412,3.3763889656186845,3.0125008887351963,2.766981983695514,2.962051229053656,2.6341718254839757,2.1324610037845253,2.765680715866326,2.348958209541673,2.6817304765014085,2.3773586876863835,2.0986339541231938
[4.0-4.5),,,,,,,2.8804047156502426,2.943419497569241,2.5817222062414023,2.3467986880359506,2.5825961507816,2.5049573582207927,2.3529029494855873,2.037997570446214,2.460857003321511,2.1359594912047557,2.085752678187464,2.4477453926922097,2.0043911394431237
[3.5-4.0),,,,,,2.7202913124378094,2.7840521709293595,2.197743594846143,2.0367460828778032,2.1855231293803454,1.8764925502465215,2.0763456160408964,2.117155662146128,2.042471917707941,2.346304017456018,2.0684943194348953,1.7513395450381233,1.9356402150878467,1.578560753363909
[3.0-3.5),,,,,,2.122146674411729,2.1037174936003815,1.945311906502659,2.1170393049680163,1.9347425181651638,1.6258465107746058,1.7516237704425945,1.6771943081930285,1.7472919805692007,1.4175973515616478,1.440462438662224,1.508294604308194,1.1905552274451636,1.2224218511957594
[2.5-3.0),,,,,,1.899213263474583,1.6828625760440832,1.7351752467597286,1.6519342614275128,1.6514030924102625,1.396965888992405,1.363127089732047,1.3159398743349362,1.3550610776402001,1.1342535121301687,1.0475051580847679,1.2116642567213778,1.0796475285492027,1.122962522968598
[2.0-2.5),,,,,1.5730623322001949,1.5126963364315031,1.4441654253382976,1.3907553136652524,1.4365285830638768,1.235828576692191,1.379056656706443,1.0140592946751703,0.9313420783356514,1.0674787957657386,0.7929175991462605,0.8289721532723393,1.0585466461635833,0.7729669637896395,0.8919096476074202
[1.5-2.0),,,,1.3582858678948697,1.2779471899406887,1.2079782272337949,1.0548566853361392,1.060297424925193,1.1345391845194173,0.8346065293750659,0.7388093550017902,0.6658950107122383,0.8096478001298583,0.6517966945402941,0.7216299110543907,0.5275327471474862,0.48983033294012723,0.5520818311008915,0.5588910682402708
[1.0-1.5),,,1.018193757047222,0.9264965533215669,0.9364769284838419,0.7988723609222674,0.8074542622920078,0.6518971084764484,0.6280575308608858,0.624488466990547,0.5135581881739897,0.45283841163993627,0.5342596589603384,0.40649293223068983,0.3630730786197668,0.40965524156378197,0.3491101024107313,0.3017973811796032,0.27168365815756246
[0.5-1.0),,0.49708441916307394,0.6366284126504778,0.610250702545198,0.5333687206380122,0.4866113773684747,0.4914322945570109,0.3895944233885156,0.36092484098786226,0.30285668260855836,0.28172289097447134,0.2900406931525919,0.22292702740458525,0.19611224275781913,0.16646329467003596,0.1727105375709115,0.15513040101531028,0.13869088814350816,0.1488938685039315
[0.0-0.5),0.05802908037134537,0.18493643284141179,0.19676403217322874,0.20460620784355352,0.1743298095948162,0.20178560110632754,0.1574631610836595,0.14171140087776113,0.12863377532704068,0.10613454243202715,0.10179679914219494,0.08506132889237913,0.0691362788326002,0.061599355083699237,0.06296747580699735,0.05118207724760329,0.04932276378016702,0.0442398080668857,0.03623337376920679
