"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio []",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,78.98855230001611,21.39891130061871,18.06778141750127,16.26357663997794,15.318441050162287,162.36519101795375,19.644497561912544,88.573306210857,114.05790134818525
[8.0-8.5),,,,,,,,,,20.367244102467996,18.968697233554607,21.158431293804252,21.451678223967026,17.532288003505517,16.168029171895956,15.941503175331917,13.87936707499685,140.02272435635462,43.51764986989441
[7.5-8.0),,,,,,,,,,21.22225833350437,22.445673761044628,32.19914834857966,17.016925150041974,21.09642095538401,116.36474476437171,16.661217971372835,70.29738318961026,103.63319922972349,15.469588435143327
[7.0-7.5),,,,,,,,,,20.753526508379714,17.25428672350714,14.858802906766153,15.694287407234548,24.59323764117248,13.131273853526249,15.82649279407486,17.587827096801025,52.69022217549048,15.855473371148666
[6.5-7.0),,,,,,,,,,21.343732380139055,18.181947662647598,13.787017286287243,16.14247276025707,14.045198003558395,15.447152340650833,19.082435018426665,12.348988049031119,17.59121035291343,19.042447086252942
[6.0-6.5),,,,,,,,,18.28103856184628,15.174969772019445,16.05989540520514,17.36873519594036,15.756973616210278,10.915630694554126,16.099810028209195,13.792561817739342,11.512884385398586,11.225399447670636,20.908270672489873
[5.5-6.0),,,,,,,,,13.204920612223036,14.978323225918018,26.20388252044729,16.76871035290857,14.85072756517736,15.997018257935608,19.08578677793176,13.915388516172559,11.37163135577396,10.966428406114632,11.300616620176736
[5.0-5.5),,,,,,,,13.878258338529765,15.126056781938342,13.864203029620894,16.91956010261473,18.967977919724905,13.59012869146144,16.437607104012827,12.556347578003038,14.571696114013827,13.397801313565367,12.448655365082494,15.630363810253886
[4.5-5.0),,,,,,,,13.29073386371347,20.779150816630878,20.782781084871427,14.31056162380663,13.476896228120001,10.991569764864487,11.803978643911703,10.428602404406405,12.937113946299869,10.00207451165734,12.317874082592919,17.625936304438454
[4.0-4.5),,,,,,,13.177291527741756,15.495494172396272,13.84436789299696,12.924990745728884,12.95569887393846,14.088048532774613,14.026680031195024,13.235428888166055,12.37001588445797,11.32545055313338,11.931094403215605,10.776822665022323,15.096415004555986
[3.5-4.0),,,,,,15.064629661889338,17.521699641252557,12.727423877632022,11.30933354608342,11.924463305934925,11.157400645920108,10.829637907887989,10.157661708726147,11.722404988244541,10.536451133974666,8.384569836298665,9.740798694057991,10.362263690759535,12.454259576950056
[3.0-3.5),,,,,,13.49448653322465,12.248899714509456,14.682145523310652,12.457630088852637,10.459445586103882,9.983542205119313,12.638548859286994,8.599273720346412,9.7031357311323,7.706893705304991,11.148258883233465,8.956899996534066,8.977533465489412,9.326630413078657
[2.5-3.0),,,,,,13.479754053946925,12.445772898945057,15.387639358212523,13.352390581835486,13.833144531092422,10.192257304907448,10.195720015392679,8.54240392297028,13.503578118656693,10.847875425482886,10.736957793352865,10.203898738221026,9.124648259910538,10.17238060040292
[2.0-2.5),,,,,11.525502638950886,13.475212512445824,13.551102058624126,14.595623341949311,17.975227850423316,13.562228853442699,15.495726126034064,8.905310129347328,9.266248996571147,11.060650222165828,9.26778828858174,10.114767672510359,10.576508398136836,8.471717046371088,12.698320775996669
[1.5-2.0),,,,15.308395044175416,17.110609220886996,12.59816474030319,12.397029316372215,16.286086337920977,18.97214285884823,12.74228146709658,9.650097500048119,10.68476341967548,10.213828455142378,10.777052050855572,13.30769185204381,8.771781363778118,8.255373818681718,11.504351295396487,9.779325372403749
[1.0-1.5),,,12.77259016626751,12.509763570617793,16.289232447220108,17.585160042691914,14.678108346186802,13.720330907716997,15.548941798303844,11.889861032217087,10.016203435155308,10.400873672745554,13.469916602427244,9.749638288659934,9.351478350228797,9.789718818071698,9.092109029682376,11.155754287617308,8.40640566495767
[0.5-1.0),,16.64745517092373,16.863077962515245,19.855761302131583,16.21436322380979,17.02148176837165,18.123363194410636,11.147670396018466,15.373447370949886,11.118213732830034,12.305346220707596,16.141550401467555,9.574268999411428,14.37795491255432,11.790250698696825,10.729057048599994,9.033827786644984,8.716674501700039,8.130307802959331
[0.0-0.5),16.175301737671244,15.290766071668365,15.307388650857932,12.971458609926044,15.330716875908475,14.842556114424182,14.347759220938897,14.409281137821552,13.635803858644833,13.537457039846261,14.079963724681274,13.4549722900668,11.893210019607764,11.040414669515517,10.231453821517444,13.787444591816248,10.199786759161316,13.214557560151146,9.008140917192017
