"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Minimum [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-8.341124953397511,-8.166123098645247,-1.9661903135181589,-1.849476947096002,-1.9791630892032008,-20.695376752632004,-1.8216815612753139,-14.331694519292244,-14.347119170946382
[8.0-8.5),,,,,,,,,,-3.1331521731499423,-2.0237374645185593,-1.9418447671703258,-1.9344719993146169,-1.9185060579921371,-1.948314221427684,-1.8190529295875428,-1.8488429686336034,-8.06671760132754,-8.047230624518782
[7.5-8.0),,,,,,,,,,-1.925771949214882,-2.080501110883619,-8.205050964977845,-1.91064957546938,-1.880428809937449,-8.047071636161926,-1.835596082531393,-8.061163054887436,-14.22468236147215,-1.6917662182336926
[7.0-7.5),,,,,,,,,,-1.9126811835176594,-1.9055630240444024,-1.8755354828011712,-1.8169172860231426,-1.892262234083465,-1.7613255717468579,-1.8200912471880946,-1.7853363347511402,-8.004909618090254,-1.6398590592709037
[6.5-7.0),,,,,,,,,,-1.8293682308306496,-1.8920593532456105,-1.817279190347902,-1.868981734471906,-1.7752242447933502,-1.757919842739029,-1.7569406365227844,-1.6926069611258525,-1.7145299414377762,-1.6993288155256059
[6.0-6.5),,,,,,,,,-1.71269229373384,-1.84994374806227,-1.919011474769016,-1.9728196726878338,-1.7941627790117294,-1.7459791122605444,-1.7076472945182737,-1.6927925141563631,-1.6765889457076089,-1.642389359583007,-1.668307148792542
[5.5-6.0),,,,,,,,,-1.6542576021621436,-1.822367694740489,-2.0240129721564264,-1.8020047748637011,-1.7271630999124479,-1.8091351877726072,-1.7907232170345588,-1.6877617600039645,-1.6489075113229807,-1.5929932529548165,-1.5773273521562823
[5.0-5.5),,,,,,,,-1.4791305206642562,-1.588848253486915,-1.7581586428071498,-1.7905694956018403,-1.8802667663795964,-1.743190896768867,-1.6957251644925952,-1.6611655084811703,-1.6903880382638743,-1.6851436801548796,-1.5838274852673107,-1.636283699945544
[4.5-5.0),,,,,,,,-1.3793623799672172,-1.6622531054273704,-1.767261855748922,-1.7250441739373885,-1.7667976456806755,-1.680635123898918,-1.6734899516093886,-1.614758224655599,-1.6177252005246543,-1.5653585709149127,-1.5393967995935733,-1.587307659150733
[4.0-4.5),,,,,,,-1.1555377630561627,-1.441999456333566,-1.5165459849528993,-1.703773440067833,-1.742153912843916,-1.7033426461645045,-1.6665626510266534,-1.6367090071653043,-1.6347015736209394,-1.5876398067064985,-1.5776573983425937,-1.5006434750971267,-1.5338757315404596
[3.5-4.0),,,,,,-0.7955242633774806,-1.085596126022013,-1.183148257512237,-1.406385059087874,-1.6581227988288056,-1.6220767885875709,-1.5940611993411424,-1.5591728917194732,-1.567855669005648,-1.5323634190036164,-1.4731097966259994,-1.4811319178512823,-1.4658834754193844,-1.448231888248344
[3.0-3.5),,,,,,-0.6790429556240313,-0.8555873593868171,-1.1191726797749735,-1.301776864633862,-1.4486552874797134,-1.5383602889881867,-1.5893748454182866,-1.486751365409653,-1.501101204493898,-1.4390817962370606,-1.4789415614087489,-1.3722485244732008,-1.4098644765876442,-1.3631737859276918
[2.5-3.0),,,,,,-0.6210261558446853,-0.8482555585379472,-1.071920783091678,-1.2438427009702795,-1.4344841963085233,-1.494660716473399,-1.481410581975243,-1.4140055683861028,-1.4994062546574067,-1.4394363620901451,-1.41229377456352,-1.3726041672791063,-1.3067463465787275,-1.3123365140460699
[2.0-2.5),,,,,-0.371326214471374,-0.44935734956310364,-0.651976135319481,-0.6989882559927473,-1.2387224263719412,-1.3933756839723443,-1.5374408426057697,-1.3529386780702746,-1.3127418659768066,-1.3299034026353629,-1.336451255117791,-1.2548142213446352,-1.3130053798084773,-1.2394554977830363,-1.3377632396881105
[1.5-2.0),,,,-0.21848443641403012,-0.3176315671173849,-0.3840910806753862,-0.48680471649303786,-0.672101585041509,-0.9002655521077588,-1.2223539782489348,-1.198943333635521,-1.231649490559079,-1.2816475612370521,-1.2659680250352459,-1.3291195032140133,-1.070597324442726,-1.100914547882455,-1.1980199186587996,-1.0663795599839438
[1.0-1.5),,,-0.09914150104011767,-0.13962427203538058,-0.21290349779913367,-0.31019527871680885,-0.38829656219367725,-0.46413770339278104,-0.6667409570740549,-0.844333332961469,-0.9058739799547951,-0.9992879549839573,-1.0724233361929913,-0.9948546117330319,-0.9556005329631868,-0.9423519202896522,-1.0084791109938007,-0.9154644660673517,-0.7994718624996255
[0.5-1.0),,-0.03680428078077875,-0.06315403805811899,-0.09732167830724875,-0.14959284163535178,-0.18029407353888835,-0.23433445751942322,-0.26788359458357286,-0.41937960529843693,-0.4941415010111882,-0.6202900233787332,-0.7995168778542409,-0.6433965487396652,-0.6889322574990364,-0.6684027475426574,-0.7184400895382901,-0.6468245782706985,-0.5948077319866274,-0.5433889075597029
[0.0-0.5),-0.004544711688216249,-0.01298921383719473,-0.019656147467155733,-0.029516578316704654,-0.040576964806760575,-0.05237601538045309,-0.0706195589176888,-0.09363394045773046,-0.12530393828257694,-0.16371126755151044,-0.21020732727986663,-0.23142504041138745,-0.22229686766646328,-0.22731024658920573,-0.2560452644874103,-0.26318040670917436,-0.2367121337393757,-0.27956841623427037,-0.22735557599880157
