"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,7335995.972963496,2909776.0243670666,2326720.582543007,2472083.8124109386,2419384.3323017973,4507082.003832605,2229055.5538956034,5214183.788937738,4513352.234457644
[8.0-8.5),,,,,,,,,,2570801.201208874,2357904.5325187724,2365158.615140609,2123149.5767143955,2056581.4707777163,2370802.2900928883,2016471.42575224,2090314.3624526279,7746536.067916383,3016965.5821180125
[7.5-8.0),,,,,,,,,,2304235.6483154953,2223923.0787392124,4377080.487895305,2396457.7846244522,2294663.9251403655,7448884.302100826,2222355.091845358,3746734.512344829,4581306.358329515,2055324.2707253285
[7.0-7.5),,,,,,,,,,2293047.382512414,2036919.6616831217,2174031.3538356894,2099158.7512951265,2020862.655980627,2213030.7913539913,1950000.0828613616,2303492.181560077,3920672.693466739,1854590.1337718717
[6.5-7.0),,,,,,,,,,2429989.286548554,2278973.7536787675,2027062.4185292867,1983493.7379420255,2072855.008933363,1991831.401574943,2027683.1393918633,1850092.4051456267,1869192.2036992102,1833265.316087822
[6.0-6.5),,,,,,,,,1859965.5693337154,2094245.6188395352,1951493.455320606,2004566.4045658805,1877327.0934674814,2287064.3533450756,2051947.7960052986,2093554.1958685175,1761164.5371931102,1909417.198064594,1931207.7692350978
[5.5-6.0),,,,,,,,,2021686.121864574,2115122.583512467,2144238.4075635807,1767638.573738324,1929927.6489790198,1968658.8183490632,1798196.198750455,1826004.4494367593,1846973.6394511454,1704308.7708538428,1728218.9808788232
[5.0-5.5),,,,,,,,1479663.948030573,1709102.8666879216,1712606.0174856079,1837792.6785824692,1661121.9544789805,1792562.7157056278,1713323.9102546568,1660536.17365571,1724400.3971618891,1584824.8839290186,1666948.2403081532,1546950.5999994217
[4.5-5.0),,,,,,,,1422808.3865740946,1517750.2452682683,1691925.5989218613,1767140.310814174,1659237.7982000792,1707039.9586894105,1549609.7906594013,1665166.2048829088,1565040.0213832085,1740818.5369004833,1655469.6608244728,1522706.3140706848
[4.0-4.5),,,,,,,1252298.8543757147,1352681.641657552,1391589.700815463,1525394.7503306416,1689990.6217107335,1629234.400442107,1596267.2936519445,1588847.3772971968,1556234.0470727351,1568379.7957474196,1570894.2538818144,1625529.8047399577,1515740.23038804
[3.5-4.0),,,,,,1196265.7012251974,1347084.7801905163,1196363.1174864117,1312716.346079862,1563424.4370604213,1460738.823058909,1486181.2881371593,1609072.9438996932,1496303.0407896326,1469998.885415292,1463140.0470999267,1478773.9608450255,1547857.6637958675,1364312.1156444713
[3.0-3.5),,,,,,1044429.9463588883,1089802.515754883,1228384.5787059823,1287160.9828922728,1275178.5307979092,1441796.7902196003,1603348.9021629822,1443897.0038579213,1414453.99882298,1368839.0362301387,1385384.8581477208,1438644.2358097355,1282694.5138737857,1261285.5967228385
[2.5-3.0),,,,,,994281.6354922713,1013208.8109679772,1090319.1930367835,1266602.5286835895,1266292.2293479936,1279038.70815983,1265548.9315972487,1327066.2765942954,1344963.9216807922,1292935.5668451327,1249139.2691642842,1356882.443929454,1304181.9071887133,1276024.2792468248
[2.0-2.5),,,,,865559.8593372714,907603.0305369518,948888.0876405908,983143.718064717,1119337.0684807973,1259940.5951198232,1321400.3142953066,1190491.9280660276,1174043.0863754714,1327091.992961441,1175835.9783709655,1252707.9562340882,1324447.5992076145,1190030.8871171018,1164801.4654393848
[1.5-2.0),,,,807510.4052815064,843921.6592216336,852602.7613727672,863839.9797647141,918602.6343915196,962147.0715272233,1046919.9517543443,1116520.5095139937,1083696.0043106214,1113132.6422644397,1138960.7718980773,1108969.2960410367,1135718.0275989184,1078307.0178773168,1019666.6127839909,1083805.628755841
[1.0-1.5),,,714281.9369398694,741555.2977215605,783884.1407828513,811003.2024399815,825609.4623482218,848639.1214241416,844525.3865821364,922041.233020358,938261.6669714873,961827.182751935,998232.2903477935,944543.2293207315,971446.5353928272,1007818.0021335081,1006018.1660652644,971447.7381311324,899400.2813513129
[0.5-1.0),,671887.4940153529,696312.4022823186,715902.835576797,730700.1147928522,741886.8474353162,766533.502787207,757629.5051064865,779796.946155467,772768.2602767472,808814.618925778,874406.4320280725,831743.7239636857,860827.7304194039,840879.6750567219,847100.9314303028,844019.0603057818,819595.1413667592,813256.5700247593
[0.0-0.5),661032.9448123274,664782.9493074162,671349.7157292056,677211.3962699238,681495.300779898,684360.7106615178,691445.8827476774,693468.4061726875,694999.9559529572,697598.4347495849,697800.5671655318,704134.965009693,703193.776136305,706426.2096555718,706514.73724192,699800.6230695782,708180.3272155158,706912.527416085,704299.8187292678
