"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Maximum [N·m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,14831840.70008349,7122854.54028977,6120829.937384338,5563436.621723014,4510482.488915726,13954536.831952732,4567937.677490997,9177378.131560648,11291400.811940772
[8.0-8.5),,,,,,,,,,9318033.0152636,7028452.073676254,6881992.592341202,6492345.634932837,5475301.000511209,4459344.990497219,4232005.071522465,3685000.2846386675,11125981.059665972,6636177.353944837
[7.5-8.0),,,,,,,,,,9127686.210540203,7382488.484273339,8314514.175403165,5673570.370539833,5813544.27602173,11940422.892472645,4153548.216119975,8149046.003562046,9390676.151688168,3778341.5837274124
[7.0-7.5),,,,,,,,,,8763941.4478503,6360324.322427486,5351075.097657035,5259842.83452006,6019072.334843129,3769688.500617988,3925696.659920086,3928045.593073855,6468771.355880163,3687924.8973038252
[6.5-7.0),,,,,,,,,,8454580.22476207,6102455.28105486,4984886.82299905,5126836.57117193,4420642.877813359,3890051.993533443,4124425.4893518537,3166043.234356205,3546668.2135916674,3929935.2407180457
[6.0-6.5),,,,,,,,,10700934.362014072,6976405.08489681,5613436.471622458,5383886.197901368,4813725.560018076,3870867.7355997926,3833543.8445832953,3388997.086616543,2907860.6522992766,2751928.023935385,3877815.1317514563
[5.5-6.0),,,,,,,,,8733288.21177718,6616666.153299127,6797434.444449014,5105294.383243649,4542088.1059200335,4355584.374477414,4103236.885774511,3253801.778716368,2798712.9211334307,2561648.321089318,2774059.0154095157
[5.0-5.5),,,,,,,,9549807.474758063,8503192.326137865,5816622.550933895,5173864.114941074,5239654.212359894,4039552.360716602,4202620.415163254,3178812.4463004875,3129087.6105193067,2889275.2751426296,2654840.280969522,3132879.907872754
[4.5-5.0),,,,,,,,8564776.137443617,9133884.853015665,6718676.181652518,4443015.6216168795,4210789.94708666,3452941.0101222657,3413533.781034651,2740656.2105630375,2804554.222961233,2401300.8861540523,2461887.047017871,3099307.7020687847
[4.0-4.5),,,,,,,8310554.002437045,8169354.257679936,6853466.409054707,4899303.603503026,3978172.5007776045,3916202.9489694084,3760249.9642806714,3413866.8212470785,2783142.6678227726,2519150.8706548894,2424247.984042165,2160342.3137344746,2729829.5902625015
[3.5-4.0),,,,,,8909008.011174908,8721527.925284727,6492051.249832706,5406327.538201004,4379071.393145251,3458808.211087527,3130219.17297109,2899115.0011965646,2997049.7920706063,2361615.457403772,2028994.0375425965,1996772.2013719396,2002407.9807601834,2285006.979475242
[3.0-3.5),,,,,,7312178.732634009,6276210.754469768,6174824.279025099,4913485.4892280605,3581495.161828292,2914832.948729803,3125700.5305994083,2432513.648616943,2430078.703139249,1856791.4264899895,2177787.7014939203,1816854.10953872,1708463.3772390808,1808048.1218095215
[2.5-3.0),,,,,,6182501.775589339,5423787.679013429,5535048.373854414,4544325.640590664,3449239.344500202,2694197.3905564877,2432159.622854647,2210018.7595281485,2611273.3811745583,1979904.075106749,1907941.0427317868,1733160.7610963688,1532488.3923660023,1714140.912581141
[2.0-2.5),,,,,4881058.4829102475,5104867.105160865,4576551.899993409,4320155.925916174,4225246.985894768,3009898.7609762037,2717842.7447822406,2001106.4047600222,1896995.813350942,1929809.0959910399,1603693.049717063,1555371.8285778316,1539524.8961595679,1283640.786029182,1679548.5186607377
[1.5-2.0),,,,4333542.026385747,4581053.128598561,3868938.6511643454,3405209.8424923173,3596815.4218718833,3488059.3966216138,2257565.0492176376,1733545.691508862,1709411.5281609073,1689651.7218937615,1607594.5396640839,1623919.0800710926,1220909.0487789614,1167212.2467151529,1275117.3382811868,1225604.8166906326
[1.0-1.5),,,2323121.913483871,2802133.3230796116,3199616.7095820433,3250375.6071687024,2643131.3037114916,2401152.3297634446,2190874.8106989376,1499915.8984486265,1264176.5562761617,1315086.836142657,1490125.626323368,1188509.3235283506,1040428.1431362911,1027520.5337077926,930711.6415853413,997410.7590941162,869599.3691362917
[0.5-1.0),,980874.2300317143,1596360.5449338101,2110569.8106394694,1924566.9781297648,1931856.5036474364,1789004.8148120614,1265260.769427186,1334439.3569471806,891540.3050689483,855177.5131359386,1016169.8740886037,763989.8012675251,913082.9170067236,726566.2597502578,713897.1243592785,617835.11907507,576124.2590052384,565510.5623764861
[0.0-0.5),166383.32229899408,314623.4229375809,509366.48118657764,572281.058053283,631142.1611682943,594940.3850949537,524388.7959239535,485080.22789355135,437017.60300582636,330931.87798998284,305815.94498987583,295887.9602831115,289401.40655722324,269547.72269330645,260642.83031062008,272181.2689949038,231217.92439589702,241761.0201244849,211979.13859809333
