"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio []",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,93.42259023498197,143.68470810252455,119.75833436836592,241.93754697220925,135.36886723686135,230.39038874286535,105.44134996057551,136.0239078689501,229.1606160266847
[8.0-8.5),,,,,,,,,,103.81049182133005,88.53997021318865,109.160351874718,117.61785180798854,130.08580987644046,119.16700065520735,116.78516435044432,110.0864845176144,175.81492107843226,190.0960594417578
[7.5-8.0),,,,,,,,,,137.66756373010318,91.787303140277,64.48353641782826,125.8534761157579,112.6684434856769,181.47324607804669,145.71349592321917,169.3055802111738,183.54074916317234,124.96293199835937
[7.0-7.5),,,,,,,,,,58.401368283721006,101.74313610679874,98.89471507650566,122.61904230536923,96.77852714872617,144.27292096665306,83.85406099804902,156.92527762214544,205.98823410991193,118.44971187291381
[6.5-7.0),,,,,,,,,,91.99443312375323,117.13081963812573,81.50385761824103,77.78095721073007,133.2920830587985,97.22093727318922,75.3739835844951,117.86358343693023,116.94853653779607,103.134884071345
[6.0-6.5),,,,,,,,,65.53133088806541,20.166519189819347,96.77607726146866,81.96125672459127,73.78354953085989,81.19427728318641,185.69213078067853,81.50351134557508,87.33694730603125,89.42855651475817,155.4317809537429
[5.5-6.0),,,,,,,,,68.07840052987534,39.54989990918994,109.37771637813279,69.91604244570408,18.360790062800312,100.06731536094277,92.8164521099775,46.44419076641713,45.462427998454174,106.76694688184321,104.36402153221758
[5.0-5.5),,,,,,,,17.127785499316957,15.162128194823543,15.325595554082472,82.56237810714505,17.165429940867963,79.98471034119487,14.532052140625565,15.043167001605775,34.25185606018835,14.256921555346324,16.910360185988896,15.451527175101148
[4.5-5.0),,,,,,,,12.676407879366497,18.752387990952332,18.104191010106064,15.220042983276866,13.531403538889174,15.218537085486465,14.201181387687027,17.868506448532884,15.740338785984955,11.794229290248802,12.764709078126533,26.267318580512004
[4.0-4.5),,,,,,,13.94614866191896,16.421218388656566,14.324141945932734,17.414558480902073,19.007451385696573,11.916838949873894,13.900565939130134,13.589749142608172,19.044903937302575,16.896896941191443,12.513021484674264,15.925470514742644,15.244946245186512
[3.5-4.0),,,,,,16.503284360924955,17.88805709142071,12.21829079148959,13.526876188669751,13.964388461627124,12.040545910945795,13.288872674205285,15.018683444222399,15.406032645397039,11.04625009895186,11.663769576593669,14.74151959321058,15.504570063201355,15.184870895411331
[3.0-3.5),,,,,,12.612578904221385,14.633399427946797,14.323044575284893,15.310904875188841,12.646433371426102,10.324005951664558,11.299805000535944,9.674346568196505,11.391034913824019,12.980067693086857,11.588813348011579,10.086564237630471,13.616187500205138,12.394052781671528
[2.5-3.0),,,,,,17.74160530462272,16.329463955621595,14.888075027995933,13.85678320852167,11.601588450907192,10.715758527207004,10.392333927443888,11.959225213246228,14.196762176960918,13.951511081477722,13.152785179588552,11.067952357890075,10.99327471652899,11.796813723384503
[2.0-2.5),,,,,12.44971666287453,14.326260086767643,15.275863889564242,14.831831697267058,17.29547780465428,11.164010575070897,17.462326670327325,12.677395862052283,11.451772212459298,9.952740775638519,11.018522642896079,11.141348917306038,14.972690166350088,14.580691082668768,13.691774314352799
[1.5-2.0),,,,16.004545979774395,16.758845378409276,14.222005329934312,13.203567838802895,19.099771580428826,20.412594834803205,11.125429607561577,10.298762754270022,10.24234463058855,11.395513198949047,10.572981244211194,16.757585379536707,10.822817268082773,9.882110994691804,12.69031803268421,12.469668292014795
[1.0-1.5),,,14.28675434286809,14.41254246438862,14.764788047973093,16.986947628148442,15.804190416465863,14.899474051204141,14.609637761171284,15.95648125383857,14.236718131904174,9.375309538734436,13.629072566909008,10.78765730189481,12.166263427527484,11.764127815561181,12.555202301401609,13.971436393636422,10.39824357037779
[0.5-1.0),,18.448673419846926,18.08580453346395,18.96836262255749,16.13469300171186,19.70899984686259,20.504340626519507,13.21719868721539,15.546952781991909,10.946648283578485,12.905387092847631,15.954994801158875,9.95005452140829,14.837449324858955,13.988618412022227,14.700867796649987,11.966063248018937,10.56597449517288,10.035760210409348
[0.0-0.5),18.112820239900973,15.148975461999836,16.765875598742305,14.205723169626394,20.610299458695057,16.742237710835024,15.486878385217093,18.12539075661286,14.156876471195673,13.368387092178772,13.524163529153252,16.371041047049673,17.942518058128208,14.615078210563366,15.706797149802078,12.09812155324526,13.882723545667945,14.106737811376354,11.368639423218543
