"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Delta [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,8.459007293128314,8.418528810116104,8.50656319183016,10.352013150788558,9.042594879772551,11.82285526588026,8.685042038945337,9.820954829272342,10.575105448011186,11.163391604322019,8.614207447121277,9.327561498450478
[8.0-8.5),,,,,,,,,,8.558773783902886,8.858878030777628,8.381560514233604,7.985957130029083,8.293279950048483,8.09490094951858,9.041034703713915,8.702834149640257,8.840478939876192,8.405269691999386,8.472789640233913,8.74279522711966,9.324313461718976
[7.5-8.0),,,,,,,,,,8.389484835474326,8.46688755643859,7.9860390306624796,7.511229482047733,7.785151869711665,8.294099186152426,9.623182784950977,9.029799760309139,9.374652142881892,8.513129785386308,8.678372950508484,7.994950522719456,8.288653236728962
[7.0-7.5),,,,,,,,,,7.253740533068374,7.223702733054716,7.125494981926371,7.938163988562161,6.9743826585879365,7.748228028505512,7.497286825189658,8.602697428945774,9.492798326698148,7.472389284807427,7.832732048903103,7.725185622456008,7.953220849030201
[6.5-7.0),,,,,,,,,,6.8086030160875275,7.977414446207426,7.1884123101890935,7.090326618234252,7.226242328334028,7.259869939979289,7.879005509616719,7.885505592770693,7.888510673396805,6.857848183913058,7.321738506441218,6.692004284306229,8.139145065243605
[6.0-6.5),,,,,,,,,7.474542917145662,6.871265486544652,7.008737591626208,7.565490387856629,6.104784387045148,6.712953797491384,6.975614937510528,7.0676552058078705,6.169452004426791,6.2698450462998725,7.4809917598078695,6.487684750098406,7.80200655731766,6.231272002106007
[5.5-6.0),,,,,,,,,7.7681655975638515,6.148194628515656,7.494578600422882,5.556906775470766,5.999487912468443,6.515821190508738,6.341489862402712,6.626923589775507,5.701979291555956,6.063867337949574,7.333465336582069,7.7281841781061456,6.563886839843654,6.82421709115404
[5.0-5.5),,,,,,,,5.984682201073698,6.381948387866465,5.904248624552101,5.965365260467205,5.831326573545261,5.570189640415676,4.962457473499571,5.155873295295157,5.648462507878295,5.7266738465267455,5.524624037684064,5.460409764997369,5.51479951440717,6.186319703608773,5.326127991962237
[4.5-5.0),,,,,,,,5.231539828432021,6.534302724788743,4.79610139351405,5.039850859394757,5.063243041055734,4.8572817793709975,4.596880058124574,4.861957251626398,5.083636041165496,4.919496526225461,5.3527216356311556,5.107947142538023,5.075688941935699,5.0360747795666665,5.994982351320729
[4.0-4.5),,,,,,,4.825927038975157,5.447148321499021,4.635464096374593,4.56062294090187,4.990676868136854,4.680882124476101,4.528439187975777,4.787861954438783,5.242420916250831,4.851507484997012,4.921333947235536,4.70615092480889,4.582471446425161,4.540907048993318,4.649322033794071,4.335714229932777
