"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Force Average [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,134717.360364725,131075.69322001038,132862.71850839333,128302.19273764142,119486.6482218687,111741.98453929645,113049.81630121946,114174.90230910895,123488.45083485087,117302.5890061051,115911.32765066907,106226.28588266109
[8.0-8.5),,,,,,,,,,136334.97746302458,128333.82586833605,125872.65070928597,130371.5922559808,124114.67306327018,111838.3603839483,105813.61098231687,109697.61469953117,110349.67453041428,112101.81021987139,103863.99763517095,106487.95801845109,102697.70696350413
[7.5-8.0),,,,,,,,,,124263.38569164398,119560.36610384998,119132.09871374593,125417.87161271715,113687.9168288193,106611.51302704033,97844.17824628337,101601.36176022097,101782.2984589461,101036.82423871654,98420.5785259899,99037.02365148927,96659.43297774094
[7.0-7.5),,,,,,,,,,118554.71404906789,112166.64188951389,108141.96483244751,115632.20067287935,104962.6210579392,98753.92807856214,92246.58605716798,94979.01454850382,96389.52900956263,95748.02729875018,86915.85067132176,93235.00264585298,87379.73516429574
[6.5-7.0),,,,,,,,,,111563.78253609496,105612.77823855191,102979.25964311288,108860.43783104267,100209.697670484,93644.44943823651,87574.26335883625,92989.69042050156,89139.17346290845,90100.3626869752,89186.43166186598,91879.69027660118,90416.94146942867
[6.0-6.5),,,,,,,,,103687.13543243408,105033.43640917505,98685.30256905023,96563.27636518603,101199.79790760114,97869.17007464283,86283.87265501815,80962.54211518918,82933.47240732674,81917.12414337741,87020.37011183337,79009.02424260232,83225.55120496346,76788.85945285312
[5.5-6.0),,,,,,,,,96450.01373069688,101009.01408079301,90613.48386497943,89888.35478603066,93252.58294240503,87020.6703328261,80223.74345627055,73462.3490590015,76288.06178309667,76437.67785875645,79174.3904949304,77081.93020519604,71249.06911417827,74936.71106630392
[5.0-5.5),,,,,,,,88881.14661794079,87718.44730276946,88743.44264392638,85091.50775013493,82633.79583292098,85580.0685098887,78766.75997816806,74275.4809289269,66323.64547018794,68867.5850253483,71378.6546860101,72886.04897334163,67619.4947819782,70029.23306713894,64220.31832034999
[4.5-5.0),,,,,,,,80856.97587946168,80366.09319557501,81291.92297121846,76217.92462831255,77181.86556933646,78313.40986254961,74124.21043518474,68394.58902902895,60588.01043507836,64628.8757657612,62609.85994326303,65482.61883843081,61258.44382559889,58587.45642769054,62354.00482363389
[4.0-4.5),,,,,,,71149.48254092482,71669.69319588382,73030.87296042309,75056.33980378261,69481.59310951774,68808.43630050548,72867.5812444101,66370.74979301545,60876.9988758105,56746.08839467028,57125.527926622235,56991.43626099951,59760.55425653562,56313.69544685574,53730.83663517016,55263.24279157308
[3.5-4.0),,,,,,58494.967854153896,63735.349490071116,63425.730026486555,62988.273240718925,66707.59100651197,62767.1933690074,60783.63756630894,63472.216233577434,60566.930485686775,53449.456878028745,51266.62813429687,51434.45927484967,50270.21274420084,53993.97859950897,48826.00379166318,50855.202567021246,46064.3777317291
[3.0-3.5),,,,,,51551.75665142776,56427.436888679884,55853.14321926726,54597.101339816305,56724.23897804552,54040.24365342658,52930.722153031384,55620.10716845181,51612.55785561336,47565.20765306759,44429.58110933507,45705.59264684428,44714.71172030588,43931.6752349921,41982.745285337216,42529.91854707694,42989.519098620796
[2.5-3.0),,,,,,43051.7682742528,47518.59736104534,47330.42581137407,48150.94314285732,48158.07260062182,46289.485086579465,44824.83009191656,48613.45769235907,43801.854939714125,40050.680771826475,36704.69523735299,38681.5567062065,36713.04160345719,39893.07953268633,39090.87651444953,35845.067344672396,35078.62713372051
[2.0-2.5),,,,,32928.596581304984,35888.49532462602,38641.68055033955,38818.569578263356,38677.73158590568,41017.96670721496,38467.36204307621,38067.886351909336,39575.91822750453,35738.1483644145,33612.122986318165,30248.471761766763,31336.94984763208,30635.09911745001,32818.51173207805,31108.910384197345,30395.88472081744,30097.597774316473
[1.5-2.0),,,,21352.832668913365,25823.031089582593,28194.61523952017,30502.346913565012,30440.37087179835,31202.363195198464,31935.93090570388,29680.19421318112,28326.571860979155,31433.49350855518,28440.113428023153,26583.436933600584,23880.231773092528,25867.52367826714,24981.311618983356,25659.99219264472,24206.82674854953,23654.92120039866,22694.746180118284
[1.0-1.5),,,10806.720023201719,15453.56446080852,18658.315876115517,20321.102336409404,21957.505941555904,22280.23936858356,21752.420672862077,22158.79027418878,21202.21754659174,21347.03671236188,22857.199119471723,20747.290070414856,18949.82575856809,17989.19235336409,18025.62355351859,18194.399271453545,18440.87285908436,17091.362943063577,17916.494167498244,16704.09332206045
[0.5-1.0),,3202.9325161916536,6548.775730979176,9509.011990349307,11295.821483020156,12336.842010606806,13389.231507179917,13405.625147999966,13379.533911859226,13704.325347239308,12802.985008176118,12881.113528721091,13540.16954867689,12374.019771127121,11416.616975125304,10969.021121409602,11340.230189896853,11063.548725953819,11361.791233370963,10495.731264685819,10434.225007439833,10704.74219964704
[0.0-0.5),234.843108631128,1064.4889815612166,2244.296779123,3195.3561926996495,3923.4137520959735,4238.342269614578,4573.549519731793,4583.964489313606,4661.2633318862145,4663.613942040318,4353.847693611752,4267.315686961994,4510.976344936012,4208.541129286339,3938.327247400132,3566.367256750679,3702.601156033875,3700.7390800169514,3922.5543641491067,3706.3149516268218,3604.7745937999694,3685.8059611206254
