"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio []",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,16.989864210343608,27.5371130658428,21.54923836402367,19.934374122543165,18.60215445921609,29.643663832436008,20.001096057923572,23.52511520946457,17.65022350521913,20.117244454530372,16.538193563143953,18.55275353805481
[8.0-8.5),,,,,,,,,,24.066792461280706,18.080597187450408,24.5518602099276,16.136159498065638,16.502588213058647,21.760035794644402,20.52780380874853,17.76131694893839,26.327233331083843,20.18348031844892,25.292176153258975,21.259992348565483,24.049382746094555
[7.5-8.0),,,,,,,,,,19.095550934363757,18.046719364107247,15.271298160243525,24.44034039303359,20.9886870260754,26.166268799125426,26.771234245503912,21.783516597718236,32.39843634118385,15.594600927972033,29.78394135133643,20.344512937374088,21.886164949147055
[7.0-7.5),,,,,,,,,,16.173321296232427,18.705184701740958,24.011415795075486,18.137246943958985,19.33580585675597,19.670409506307394,20.355982387231492,26.38412968930571,26.607765721679918,20.075564541853815,27.97044820912883,27.527435852228976,22.654267064470282
[6.5-7.0),,,,,,,,,,33.65213658489923,28.114113300953147,20.372648271929435,20.48077875755294,18.32320852347848,18.072059939804763,18.336247612775,20.27050062460625,24.358113830882033,18.728384188215635,28.796724586354888,16.757328763567003,22.129424831548235
[6.0-6.5),,,,,,,,,19.16445456207907,16.938958313154174,21.643654337800502,18.100672796863158,17.887869795686548,25.401540669596375,28.910235340045844,23.583519953076543,17.347731540124418,22.467258154933337,28.156043775008126,18.086336070161735,23.658639436582515,19.519108735084714
[5.5-6.0),,,,,,,,,27.13898176141436,21.91248783173713,33.72139324919015,17.90938557675808,20.577535744113575,21.337379313419646,23.412772625864754,23.986532567659157,22.133982993180517,20.638551309892033,26.218389138496097,22.903776552821128,30.45469530897781,25.02560583091701
[5.0-5.5),,,,,,,,16.923171217016577,25.463521098997578,20.822659083723547,23.15957210562046,16.31035762719873,21.03434045583988,22.278754541408357,19.12877394061905,23.628768567378025,15.6255047262296,20.310602528551208,19.846645518653567,21.329648705986497,25.231837648539557,21.310655519652197
[4.5-5.0),,,,,,,,18.1956819026133,19.38679968192009,22.7857683646987,19.13460843508056,19.173471705732254,21.33390384281793,15.65217606728064,21.230172509869078,19.2512445456299,23.76992085946031,21.568192772801556,25.98454738703884,21.49417766635867,20.717638316833675,28.57313011485783
[4.0-4.5),,,,,,,16.9120447584559,19.218975111490895,18.178996404645574,21.161595427806258,23.672368312442124,19.323986950985006,18.07615058444383,18.93242839670844,22.92486341291984,21.996654522473673,23.039311605912662,25.063373022402473,23.338891777295412,29.162149377749444,23.528137977380315,18.544586860137404
[3.5-4.0),,,,,,29.74034998533156,25.86612252509744,20.064649009156852,16.173982822252153,16.832216019815668,15.605741079079529,18.440650284294342,26.340127543331427,20.659812717297687,27.503794869918732,24.830983729484746,20.258129182893036,25.56270468201499,17.744482010886465,17.08432980981749,27.856541101979214,25.0222373769238
[3.0-3.5),,,,,,20.15049789048404,17.05764781377618,15.902503407183765,18.740520208298094,19.76894186204834,16.2938456396851,27.090959572010473,18.369096276673332,22.030725699502426,21.70491269481274,17.445967494136266,25.20218512545222,17.905044005914725,18.169033287009388,20.649517858946663,25.23040672130662,23.637709581759136
[2.5-3.0),,,,,,23.37496211444692,19.59341068778968,20.22592775079268,23.22737444625169,19.042894557382592,15.661092568279608,17.751308404822023,22.719742376184954,22.269350120837913,16.075622527073214,19.94628187336185,25.96904526437964,26.99552336001174,29.041785217185527,20.02792462979451,17.898266166480433,26.158674130806478
[2.0-2.5),,,,,17.928749653273545,21.34505976432521,18.7354566523223,18.43733091645579,25.752039836680318,24.48429957406767,28.118286066811873,19.535291487704495,15.838623295464167,30.101051069835453,19.212843464125456,26.430840115744587,34.17175899825816,21.820775657398585,32.74862543064013,16.596694277528808,23.97483831607994,17.022646004216103
[1.5-2.0),,,,22.542560336946906,19.331493454596025,20.32783727963772,16.972174626839845,24.06549545358035,17.498934048302303,18.30920629433539,20.035382889175562,19.296457337939252,19.85070229756727,21.041968650110007,23.673867230588062,25.038289462495317,15.732381022123597,17.915032312807778,24.76266011209664,22.381925984270445,18.883305168039495,23.73067526113088
[1.0-1.5),,,24.47898082260041,20.847305697371578,24.2477950285254,27.519052462041863,19.974683274720316,18.82467580486198,19.07747033497762,23.478748499495815,20.185369286712042,17.634689716264948,23.9721575441114,19.12789579943806,20.982247309159078,20.21732655243579,22.62161453953319,18.579203557825448,13.704199432086371,18.110575152826385,20.468983790652704,21.204751772932585
[0.5-1.0),,35.004578005281836,25.64486974343016,30.34313728697854,21.315979373498212,21.33529068390815,19.773513336102447,17.689139886446302,23.11929848078168,15.467623388037321,18.922113496868242,23.133573591810823,19.238454377286658,22.635588432440425,21.648298295476774,19.279838516110285,16.944150389487582,14.766947199083395,18.07531512414385,17.376224153161942,20.67903413787643,22.62378701760066
[0.0-0.5),28.869350129876345,33.384361652542395,23.378952972239002,18.84572398341767,18.964884893688772,20.946162828647047,20.820871132552526,23.815387620858083,19.542436270024844,15.05813564639883,15.308090077065453,19.70613536743507,17.75135218357035,25.231794176458703,20.32967099809497,17.682125907413827,19.7942406034171,20.708229941362173,17.342853242433403,18.111451821190226,23.792116325908857,20.3133226941159
