"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Maximum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2.454385669029682,2.5383405736043807,2.505650448817149,3.1186238658900542,3.3502568854018264,5.119092574929062,3.065395727476962,3.43874504217211,3.446076336054441,4.2290013283034185,3.5642791600775743,3.024307287151926
[8.0-8.5),,,,,,,,,,2.4452493037335166,3.1086100337871,2.9937638562624302,2.2529577193925405,2.6100509590598455,2.934612702496191,3.1951228063686403,3.155374117561006,3.116611853687038,3.1507028105642743,3.0072087710736657,3.6928355789313003,3.1321379824687456
[7.5-8.0),,,,,,,,,,2.1695950105825985,2.3592827542537016,2.4052269685912524,2.1978286727381056,2.4143721523151154,2.850191570478264,3.7883579303589108,3.1593788190000596,3.6757432867963713,3.520665826301872,3.955368430619735,3.0520133136617376,3.0530805378805095
[7.0-7.5),,,,,,,,,,1.914904452161378,1.8607532049636968,2.430330189027796,2.588766973047544,2.2510527397302953,2.9520130613224276,2.817794137315332,3.0663641502334933,2.9382152841580065,2.5531298381856495,3.1086532281878636,3.3292643506110795,2.8480221947138746
[6.5-7.0),,,,,,,,,,1.9055648568668546,2.3213903835316763,1.9863981955791798,2.2389838187815747,2.3502353421916164,2.7395267619463777,3.4133756654045238,2.5507126175048342,2.8889931305251935,2.299438119858841,2.7678991535274924,2.5897342664704657,2.6573941443288462
[6.0-6.5),,,,,,,,,1.9532630819122245,1.7439650936794935,1.8587251579262731,2.3267890550890975,1.9836097716168182,2.2477990848051883,2.719387579187898,2.7796317811901985,2.3778134886768827,2.2432142965599113,2.521344336585489,2.422095025726225,3.14122554652816,2.238597587027028
[5.5-6.0),,,,,,,,,2.2025034381338253,1.5655143340141453,2.038750351331794,1.6506944658563176,1.7545188055828742,1.8922531958621307,2.5446321436688057,2.613015732086941,2.20574904399863,2.008649873834738,2.2929895384302923,2.5971291898244,2.7477064050609274,2.4019423602667467
[5.0-5.5),,,,,,,,1.422480572525032,1.6414737591155657,1.625234964376957,1.955086740286775,1.780495433146278,1.6359342789446607,1.5730261787289106,1.9895674943615393,2.0883016212216794,2.1090558363812986,2.1034810135999047,1.7763014125238836,1.960981175078734,2.2516300290563542,1.9990362388905074
[4.5-5.0),,,,,,,,1.256092082764627,1.7554152991710195,1.2082583750347027,1.6078750939386162,1.5892448561775179,1.262005294493642,1.4510417080580302,1.8273577859306331,2.0589778314129417,1.7045751164056266,1.9255198167296812,1.59855544165566,2.1376884986419227,2.013476233759595,2.1072241705555856
[4.0-4.5),,,,,,,1.1107137423631657,1.438167557912676,1.0514772382312736,1.1985179448212155,1.4545868694799708,1.4979078094554699,1.1492122649165444,1.4189016244580668,1.7446102363760758,1.7627465185309839,1.6971474715216701,1.6254556832467648,1.6178750863018732,1.8690402357044125,1.8241936453627536,1.6114610336439357
[3.5-4.0),,,,,,0.922189931976019,0.9142563071454487,0.9988015988002609,0.9263014682874118,1.1950976192557672,1.2582354780885214,1.1823131009329102,1.5520988700555103,1.2598433248267225,1.581824784224386,1.9529717730129383,1.4787369479710306,1.3522433349361518,1.7586366811693657,1.4950667618959241,1.9449759094422432,1.3986851094854584
[3.0-3.5),,,,,,0.7549333233789024,0.7364719341358699,1.0464651336791446,1.0772332539974645,0.8291300572835956,1.1690633488244497,1.2398393625339947,1.1660151161980066,1.014896351742087,1.0101341852980354,1.3207874256014316,1.3124576026652275,1.2146094585880363,1.2020594613501827,1.4476806420296022,1.0385042700873137,1.3425439718600036
[2.5-3.0),,,,,,0.7302954753057015,0.7757986396392645,0.7714577481860857,0.8129340089853907,0.7876291444463412,0.8304606412105546,0.9341393604055558,0.8738607055920533,0.99288741709058,0.9457038646293092,1.0315210294849535,1.1339219017621227,1.2531943062869588,1.023602647583963,1.379708041453941,0.9329722005002128,1.1258684412224074
[2.0-2.5),,,,,0.4854225220209372,0.6025502236201085,0.5217850667024067,0.5893985661789459,0.7439192857106216,0.8193662165651575,0.8373245933554908,0.7475668517081534,0.6141373842064105,0.688549356970024,0.7414991453236635,0.956192688591306,0.8270184330112617,0.9648176826401703,0.8476775466476835,0.962733583194136,0.9639659824224845,0.9337566885466163
[1.5-2.0),,,,0.4369116248989494,0.5458504212491248,0.4064575961696318,0.4158792892205861,0.47465968212867393,0.5927251989488472,0.47256944173290644,0.5508524003567666,0.6108104494056414,0.5395230485757405,0.6842729533767182,0.6175636897109746,0.7471311571200788,0.7421757981381737,0.6907649036664087,0.6484824812363523,0.7092656166864979,0.7210332351742053,0.6779232526027471
[1.0-1.5),,,0.3703819959376656,0.3289014580901413,0.31610719612517335,0.31798888692464483,0.3417491761616243,0.30399247322440726,0.3764923974635215,0.4029532305960322,0.3623324380052965,0.3837861063272158,0.3695624636949643,0.43390646270856476,0.4772862202986317,0.6086735470984718,0.5680116620696402,0.5477209627743228,0.4925835121221004,0.546959565899415,0.532695834250656,0.4898214161709418
[0.5-1.0),,0.22602834500642627,0.2269701255219611,0.16577713512302159,0.21527116750816852,0.23938939728074862,0.20170039618016183,0.22747801883590701,0.22916004648307461,0.18994925112492086,0.2271374234938839,0.27830765551646564,0.23752867346150652,0.23416804292109888,0.2571064746193631,0.33231834180287395,0.30540451385918077,0.2798450878003918,0.3031736565948997,0.2773084371323538,0.3310165784663575,0.3363457189701207
[0.0-0.5),0.08721410834158332,0.10731241259687986,0.10133054575207638,0.0960196282992504,0.08023032758232401,0.08553160560083242,0.08718932305142238,0.09177169422516555,0.09003953048889517,0.09040702376331868,0.08814353678092875,0.0906757662552711,0.07679826284555931,0.11170458866714228,0.11701122236851749,0.12182513078323949,0.12084620110593486,0.11052160772449814,0.10714432824680982,0.1207727494187662,0.12587289622091635,0.12137081357046343
