"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Force Maximum [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,202929.6302673817,264388.34942455345,227314.98360935837,225910.56208548023,220442.93358573414,283555.2708114706,217383.40197297867,252314.95365358927,211124.55280938876,243429.55928688054,201802.6308019742,208813.22086012855
[8.0-8.5),,,,,,,,,,274036.6543552085,215175.53611463937,240054.63348252862,187587.2143538541,195132.69501771708,210869.86917020823,204190.05937893502,197043.67043173304,238779.0157467712,195665.41869408166,223870.73978508386,214295.28010905435,217665.1797278529
[7.5-8.0),,,,,,,,,,224937.301371239,197829.48227849355,181999.6838296965,224703.99350951158,204502.15246813433,231146.43225754242,227757.1656291524,207385.6077759841,257449.1796058098,163717.27333038888,240338.20318785348,191807.5203098769,211476.8906311519
[7.0-7.5),,,,,,,,,,184551.25085810025,190073.50948651167,207859.07059176336,183209.57804902666,182582.59946869902,199438.28872524915,187589.52199324276,221120.69310124998,212840.91833072723,176440.09189491978,197059.9150167431,210908.08647190852,186763.6678415243
[6.5-7.0),,,,,,,,,,242723.9222705036,211099.70356635546,174264.2019860679,172049.4590342044,163917.2268103398,167498.42341712947,169634.9455580042,174954.80682334924,176813.62416214615,166210.73480830606,198362.56389790148,161300.05779536374,191229.97176970082
[6.0-6.5),,,,,,,,,184289.42505889456,161821.23094339846,174922.246472368,159531.18003323555,158559.37993085408,183743.7995225009,210468.3295502569,181014.12765178434,151591.98724029175,159871.96856942182,196333.727015877,146732.35778769435,181320.57627176156,152494.34632959103
[5.5-6.0),,,,,,,,,194664.64820925714,171669.05669231626,199273.78016060975,149538.9767061983,150329.1579880138,154879.7147802285,163371.4626725886,156831.25639104805,155930.45369171104,148644.16846397135,157579.25797547572,153399.91873879088,171294.12777582265,161663.1705260341
[5.0-5.5),,,,,,,,144903.08944824783,171239.42646329466,152866.0529722956,163006.91567174776,129545.15443965654,147284.2809217103,134003.2698479949,129369.57781672385,141934.15874774463,122041.71078601868,132377.30700389686,126610.52255725634,126661.25769686092,142517.5891102992,127723.47469462868
[4.5-5.0),,,,,,,,137583.02708059674,138006.15205859087,137131.73212423513,128938.05429096862,128904.41344864717,124334.45267483863,112632.23484936816,129819.74542534983,114641.33102627363,129863.27215305244,119830.77260205045,130343.383425071,121685.34197362505,112289.37446801396,150384.3037441069
[4.0-4.5),,,,,,,116162.94083013406,121843.04941141017,119024.44403974904,127111.71294208762,119574.53745291547,113187.86379918113,106850.70370750743,106137.49408461373,112376.99607759409,108917.48943410581,121014.15525586533,115705.63224472509,112073.77977341964,127689.56174469489,111101.98098707078,99837.59620862672
[3.5-4.0),,,,,,135076.39983203658,128445.84537127108,106325.29471561752,101072.13205148191,99767.89608376866,94680.24267303167,94955.35301810615,114920.15050454515,98350.67705342674,105502.00446943234,104578.00349807931,93718.40881538086,109220.36131401766,92331.5941063441,85198.19101895881,111237.08079167137,102744.19917148734
[3.0-3.5),,,,,,94395.65030421769,93316.27138999641,85918.14264479048,90771.05516003838,92288.42829615546,80389.22167297997,101639.72024706448,86485.63091785315,85129.87883135074,90708.55929610005,78929.72646219864,99003.61889735189,76166.79246800493,75829.13247331341,79477.21959248488,87562.46117641326,87581.6054329511
[2.5-3.0),,,,,,84207.19787773493,81954.60699810844,82117.81494208245,91181.8879182839,80473.70826055054,68345.69121266749,69862.10506245351,81460.73935313647,75408.45972602506,67517.01589187194,68726.68840704014,83709.05706132986,76013.61792154048,81639.94044213802,72223.60003546049,67600.48747772949,81421.52729901404
[2.0-2.5),,,,,61804.44105727515,64019.42837384831,66497.57911738243,66256.91020074184,74962.72324819323,73263.66740690508,76518.53782499148,60103.0005118051,58177.52162559755,69549.85219489953,58387.90422991983,66283.7776688685,74916.95758003325,57045.521219585964,69019.82844352545,52860.554848094194,60231.7293981079,52208.908035635795
[1.5-2.0),,,,47269.957949698524,47609.81938874158,52508.40888521278,49565.55323296899,59709.25021852583,50521.88299678396,49704.87208136151,46901.59569523463,45571.64210807697,48182.39487018345,48124.057438614975,50001.83586971248,51037.35462067512,43478.331432795494,47713.796665565045,50401.986695419066,47048.36269315538,41787.444467535235,46695.20952804756
[1.0-1.5),,,28024.35933983398,34719.10022595653,37441.97998921182,42445.23041613689,36547.5405854775,39812.4852799707,37607.397534553005,39227.019455815825,34420.346056529204,33874.75365711196,38833.12470278851,33406.25444942838,35035.189112972446,35896.67244193045,37300.614314483944,30876.168024047573,25496.189493110953,29070.18295855567,32428.867816243164,30910.689925752013
[0.5-1.0),,12400.561616902356,16684.227114470617,24872.774825404,22059.050217283617,22307.85030434758,23050.719401020615,22959.799929256027,24718.37446637118,18899.443259941985,20334.35853840222,24448.248374447503,20092.85057039368,21878.703059401018,20571.038733250964,19496.40395803307,20242.433758713516,17522.542140134607,19768.236138855133,20009.821084244944,18517.109668919245,20109.42930771768
[0.0-0.5),1931.0265993677176,4157.282331750659,6208.172446436795,6775.387905909268,8530.594642943523,7388.980566029707,7598.6134411222065,8278.858998751404,7482.196075643717,6571.6570805681395,6391.618468141772,6684.625201203969,7265.694115412036,7394.881110637088,6806.56777222978,6191.649427481067,6572.158052716712,7311.499557291446,5892.509038559623,6166.101984531749,7545.086246747697,7144.722088137412
