"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Power Peak To Average []",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,16.334119322969556,27.239788139860767,25.79643260084804,19.968943794590512,14.201087284769477,27.802517541929717,20.52748017810453,20.659140420674582,21.01906465114315
[8.0-8.5),,,,,,,,,,19.916271824997466,15.738338720108043,22.56726024490313,16.07169063012461,18.803847880489965,15.747545042818091,19.325159002730707,18.426356721157944,33.13065696840775,21.76450036404886
[7.5-8.0),,,,,,,,,,27.162512298863877,16.496026807552425,18.01548024251479,18.441065700566355,21.2274143675522,31.261846291653058,22.07327119573608,18.016044888205048,20.984742915226946,25.10199605269459
[7.0-7.5),,,,,,,,,,20.260623491635013,19.8856181860962,15.166271806503728,20.867567693910633,27.417058808346493,25.275876678556145,17.101881589017285,22.999661567713073,22.459812702545978,20.57369424334734
[6.5-7.0),,,,,,,,,,17.293010364670867,24.77852877470689,15.673231004967386,14.938224780535066,20.746496376359183,16.592175505432188,19.68121343465599,15.760564448609108,21.983055937307803,19.06196372158318
[6.0-6.5),,,,,,,,,12.503524119281208,17.945142906105456,20.899515094413555,18.30877948093019,19.48661960168264,19.83831175318428,28.98376428004899,17.507853136466228,26.40931991475664,17.708942106243217,39.18587010593585
[5.5-6.0),,,,,,,,,12.343830300182002,16.831519381845737,29.746077571751126,16.12418351878595,19.925565619885013,19.04204599228385,24.13118038200487,22.48828183016412,19.041091206573252,19.674995962761486,31.880640689079403
[5.0-5.5),,,,,,,,11.319675937347295,17.502283199326445,18.92108009899353,19.105591717466883,22.367849409061,19.79703304071693,17.40897283589341,19.527217243941617,23.173936973057145,20.909855716604316,18.025820172048473,21.292796373004133
[4.5-5.0),,,,,,,,12.5469758340085,23.00644260059989,15.010190996315892,16.15432650830264,19.794755073376724,16.370243951783586,20.395627622755494,22.32393152619901,17.258622602947558,23.984980322252333,20.506602410578946,16.535020077359466
[4.0-4.5),,,,,,,12.405472347313584,13.585257123392067,13.022776656489151,14.943366972057492,15.204599786733624,14.900264970528566,18.641307771939097,16.989099550218484,23.251141318217748,21.440219635350477,17.691344892445112,24.71252030785034,17.210278154767906
[3.5-4.0),,,,,,14.395722391661264,14.799327059838655,15.807697297219741,16.186754578897943,13.46202738570017,10.650687790976928,15.133653913649754,21.539101073200946,21.048521607916086,25.71556038284431,19.165312376605158,22.00923968892942,31.68982726763121,19.022795634023215
[3.0-3.5),,,,,,13.319647836073187,14.029662082367778,13.584032094003334,13.797255531404476,16.147496620686926,11.440564160968869,17.33446346431631,13.571461027439637,15.671968249198686,17.072722955009947,17.435418341941066,23.97053983473492,29.83971879139445,21.869734489788094
[2.5-3.0),,,,,,12.603203023103408,14.667112732294164,15.365927704127174,16.24572268342043,16.852953630958453,14.395710346850747,13.688142538747055,17.439909760751938,16.974751139153867,20.250679069648427,17.722910991493315,22.619970079811214,18.05580904285308,21.07257980174257
[2.0-2.5),,,,,12.029483209176604,11.493356284983394,13.901741102133014,15.879875631635601,21.602807857019087,16.86702928153418,20.313515404009763,13.642301235879701,18.967242088886074,17.03734987863623,16.87107796518018,14.867651903324047,16.19329635347923,18.398661164139785,19.108459126821113
[1.5-2.0),,,,12.952848039940148,11.82956141561134,17.015512843048427,12.16066683188867,16.883993686788568,20.081537592298115,15.057517561247394,12.75000104904335,14.207602603744004,15.560833938543798,17.967652080391733,18.29042674990481,12.954205841491934,13.602675729041117,15.555470205057711,13.78625294481977
[1.0-1.5),,,15.690317382372319,13.614775228139864,13.535902396530954,12.923185187446446,17.083601922549033,13.649047410031024,18.23679867211305,12.816477728926467,15.54755157568708,13.319314201070267,24.588380786286407,15.588509190112848,16.349779751207876,17.413633019403004,16.64616556070645,17.128521342070524,14.531539259380377
[0.5-1.0),,14.464552338168538,14.653241736003812,11.658702047530992,13.395671706686368,14.122233787754995,13.466740332770518,11.206593103766071,11.825900852994007,13.751450083369333,12.103013070637017,15.011354294598368,12.54160607104161,14.239037717227559,12.35984357882372,14.178836868108624,13.377184376765339,12.565622332023569,15.506100244833332
[0.0-0.5),13.166065655983884,15.497785173367292,14.421312492941148,18.649397568004943,12.653807853645647,19.76803681393249,15.44378546265272,16.155648729924653,14.978268773818371,16.090835945646358,13.83554295072523,16.383072955962426,13.028892646450581,14.438899106923047,17.845324110534722,14.295817697929035,14.336468255307434,14.327275585347598,12.551461809051741
