"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Force Maximum [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,228697.42501041008,263553.25980675,224874.5135478126,185824.68914537557,145068.3230845021,191812.05401955757,138732.4003156229,129043.2359429876,122026.20286078018
[8.0-8.5),,,,,,,,,,265073.5077388709,214503.77032320516,230034.66021568174,170810.72562901047,172542.7334143226,137590.81414930706,140994.1875240002,124304.05222628177,156020.5499259225,113750.76829751821
[7.5-8.0),,,,,,,,,,282450.00059899903,203394.83161436085,191065.15287719786,172865.36910219863,161916.45110617855,177163.98381479422,141236.64033634632,116196.32310702368,112212.90374490863,107158.74228483874
[7.0-7.5),,,,,,,,,,228154.54410154678,203139.5764332187,159277.53023330763,168480.3635350388,170049.55815939142,145866.77558746003,112100.60608355551,119600.33178669901,107206.15017880076,87779.8722298645
[6.5-7.0),,,,,,,,,,193844.36097952718,215034.18573951928,148846.0113755,132491.94850006854,134505.7007288774,112301.36932958318,109845.12061567821,91331.32295305828,93245.76364207586,79056.16593583494
[6.0-6.5),,,,,,,,,173173.50121763104,179511.85327497515,180581.76784941077,148151.01023567322,133761.04390727408,124074.95581835603,134259.02638876028,96295.44579263663,102335.84649631674,75251.673954325,103870.01603173756
[5.5-6.0),,,,,,,,,157117.5461473169,165299.73430148646,194947.47847486212,123524.53042697589,122610.28447030927,106847.30779418445,107067.55511065485,96634.82071365962,76153.35863442038,70214.06235468821,82754.89664460473
[5.0-5.5),,,,,,,,154655.58861698746,169877.56966126015,156422.13086958206,140963.61503227867,130127.65320024839,111002.1423860957,90685.55129329013,85292.77000838985,84012.12224177184,70995.20203936819,59314.611460263885,58019.75578747019
[4.5-5.0),,,,,,,,147409.09951469404,172789.32561906835,119796.02206947205,114472.11454959837,110037.3645932626,87804.75253806371,86817.35187794264,81195.88935696843,63851.4772091924,69108.93688666703,54420.737826962424,44221.15482965048
[4.0-4.5),,,,,,,149395.41524007186,135664.35196448935,118620.81417401577,107125.55935895703,98533.3861837516,84294.15503468373,82409.64562655306,68897.15377315911,72627.64900543954,62097.882266630935,50752.403954909016,51344.724023050236,41534.91854291267
[3.5-4.0),,,,,,158188.26600959813,142772.81953702838,128081.06807244346,110655.44688723974,90333.26810234188,71817.55967431705,73032.29790703779,76211.96847181085,67127.03163557572,62982.31883218252,50905.066591020746,48381.01408766553,49593.12729396158,36312.711117064966
[3.0-3.5),,,,,,132603.58512890124,121565.22525156935,102664.01160304784,89179.10915169163,83029.34389201847,61718.572991511355,64144.60368443918,50937.573637687405,47820.305473073626,43046.827249607646,40301.12641825429,42508.43727667687,39717.23269811756,30185.622420379525
[2.5-3.0),,,,,,109499.41683484965,103948.55295417624,92044.9823926164,83098.71148662547,70245.73114262888,57911.59034613054,47801.093018372725,47197.517162422926,40645.9735670151,37584.74579497715,32349.79982490381,32869.28394327947,24379.505680548627,24681.608798511752
[2.0-2.5),,,,,97208.18616878067,86091.69686500699,82944.2298297484,75080.54836667258,76201.81508831182,58414.935153135564,55213.591943171516,37829.14623001618,38200.7615006635,31542.78108216765,26929.351522051056,23099.599178789336,21341.08230282877,18916.42826205592,17854.789730537337
[1.5-2.0),,,,80704.3747127344,76222.75453278229,82283.77559848143,59843.605755294215,60524.810252770934,57162.09264463234,41462.963629204125,32906.35396946558,28834.870784051396,26458.39817140355,24250.975276202844,21314.645925373556,16040.89325794543,14216.811271177401,13209.766897378675,11155.222033504828
[1.0-1.5),,,54493.57601740988,60602.40058401944,59315.007220524436,52736.94706029032,52035.50489913922,38956.07976965921,38141.07635848089,26858.43245569487,25521.01910746867,19730.95886297748,23343.657215139705,15584.65599885037,13505.48885480432,12659.12751060377,10806.133107894319,9312.311911000896,7641.937810544624
[0.5-1.0),,18846.63657238838,32174.334744142547,34532.030875175966,36821.86451494692,33836.44411874658,28331.02060755192,21815.800135965128,18556.82985205641,16902.886779430788,13507.282186260782,12475.194827071875,9753.76269335032,8745.468511321576,6880.259503694065,6637.74823390752,5604.421605826283,4560.730165103698,4493.067209573746
[0.0-0.5),2018.1921812444295,6680.811275197906,10901.541870645673,15249.097289597203,12756.083799972357,14349.231534650056,10907.310822524074,9165.38400731867,7378.724384455692,6321.991911230617,4944.772855741393,4412.43977677884,3359.662918742872,2965.4709905444197,2785.8334174116735,2214.8377346770544,1925.0517885835,1610.9081912871363,1336.319813593023
