"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Average [m/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,7.164823826445705e-05,9.06787941952667e-05,-0.0003179811771463652,2.716744300151038e-06,1.382438625960362e-05,8.469414478689742e-05,-0.0003061594854127819,-0.00014837582614602468,-4.145151941148128e-06
[8.0-8.5),,,,,,,,,,-1.5217630067532561e-05,-0.0001405269739903321,0.00016833553191013045,0.0001878343628954172,0.00023098479285496202,2.220053572361744e-05,0.0003331019060827764,0.00021136095865420174,-4.374839525244472e-05,0.0003178880804774577
[7.5-8.0),,,,,,,,,,-0.00032867244536167637,-0.0002258202567174481,-0.0003700197475487054,0.0003227659192211933,-0.00024690852907339973,-0.0002852936810494464,-1.8770694975251245e-05,0.00018457494207176347,-3.3602480195694177e-05,-0.00021948795493841554
[7.0-7.5),,,,,,,,,,-2.6776070957727587e-05,-0.00023062935558824474,-0.0003015270372976181,6.745137117616831e-06,7.691125248277568e-05,0.00012129440793498918,-0.00017261864790243595,-0.0002321438225425959,9.994830265614155e-05,-0.0002094817534287443
[6.5-7.0),,,,,,,,,,-0.0002550413748947284,0.0001761027757086313,0.00012294234225528235,-0.00013079256039853415,-0.00017411983083709924,-7.094773451999979e-05,3.736427255770958e-05,0.00025383488194162166,2.302953058584817e-05,0.00044186138892630256
[6.0-6.5),,,,,,,,,-7.772853911045619e-07,1.31140428253185e-05,0.000445227052480289,-0.00017263913047433296,9.274390802907315e-05,2.818383975036791e-05,-1.672920671357369e-05,-5.997484546251325e-05,-4.450547748457622e-05,0.00017319374819945747,0.00015502066485801734
[5.5-6.0),,,,,,,,,-0.00024504933475000517,7.853878068690218e-05,0.0002949894364909478,-0.00010474277252333592,0.00020664083623485785,-0.00028137982850411444,-0.00015495727295466207,-2.8822657669463027e-05,-0.00013240418097712492,-1.6002395870995202e-05,-6.491428387346431e-05
[5.0-5.5),,,,,,,,-0.00013834991251361059,-8.916857443254185e-05,-5.590445191211138e-05,0.0003345261645717815,1.3560154952221937e-06,0.00036408608688121355,5.118366133238333e-05,0.00011894878295163006,5.279862376909746e-06,-9.332957805040572e-05,0.0002459850227163537,0.0005052261749552084
[4.5-5.0),,,,,,,,0.00012213607450014757,0.00023272362533927646,-1.8087978967939098e-05,-4.678867373456518e-05,7.04885177344558e-05,-3.180960238365262e-05,5.885200173904048e-05,-4.493588306629446e-05,2.2484375227167297e-05,7.033872765005534e-05,0.00010969910133205826,0.00010056850759933548
[4.0-4.5),,,,,,,0.00026968930117929525,0.00024401897930102637,0.00010434946371604297,-2.2962301529627745e-05,2.8260807681343783e-05,1.6652406310897094e-05,-1.865644437924766e-05,3.507861700594177e-05,4.072268262077336e-05,-4.726245477418901e-05,8.809360993298378e-05,-0.0002712318946995485,-0.00011853071287137527
